
[00:00:00.000 --> 00:00:03.480]  我們今天將會看的這段聖經
[00:00:03.480 --> 00:00:07.280]  是在《文素記》第七章
[00:00:07.280 --> 00:00:11.560]  亦是整本書裏最長的一章聖經
[00:00:11.560 --> 00:00:16.840]  這段經文讓我們有很多反思和學習
[00:00:16.840 --> 00:00:21.440]  不過同樣好像比較累贅
[00:00:21.440 --> 00:00:24.400]  因為它會重複十二次
[00:00:24.400 --> 00:00:27.440]  即是十二個支派的領袖
[00:00:27.440 --> 00:00:32.680]  照著神的吩咐帶禮物到祭壇裏呈獻
[00:00:32.680 --> 00:00:36.040]  我會用一個比較特別的方式
[00:00:36.040 --> 00:00:38.720]  幫助大家濃縮
[00:00:38.720 --> 00:00:42.200]  否則讀完八十九節經文
[00:00:42.200 --> 00:00:46.000]  我已經沒有時間講道
[00:00:46.000 --> 00:00:50.760]  我們看這段聖經時必須要明白
[00:00:50.760 --> 00:00:52.760]  它是緊接前文
[00:00:52.760 --> 00:00:56.680]  頭六章是以色列起行前的準備
[00:00:56.680 --> 00:00:59.720]  百姓和安營的位置都有關係
[00:00:59.720 --> 00:01:03.040]  第五章亦提到他們納潔淨的條例
[00:01:03.040 --> 00:01:04.760]  是照著神的吩咐
[00:01:04.760 --> 00:01:07.880]  這個對他們在抗疫路是非常重要
[00:01:07.880 --> 00:01:11.920]  因為這個和他們的衛生很有關係
[00:01:11.920 --> 00:01:14.200]  亦是給他們一個提醒
[00:01:14.200 --> 00:01:16.840]  神的聖潔人不能冒犯
[00:01:16.840 --> 00:01:19.840]  我們必須是尊神為聖
[00:01:19.840 --> 00:01:21.960]  我們也要看到我們的生活
[00:01:21.960 --> 00:01:24.240]  必須要分別為聖
[00:01:24.240 --> 00:01:28.600]  第六章其實是講道分別為聖歸於神
[00:01:28.600 --> 00:01:31.720]  其中是拿洗爾人的條例
[00:01:31.720 --> 00:01:36.720]  最後是大祭司祝福祈禱
[00:01:36.720 --> 00:01:39.720]  跟著第七章之後
[00:01:39.720 --> 00:01:42.880]  我們去到第十章都會看到
[00:01:42.880 --> 00:01:45.560]  神是透過這個會幕
[00:01:45.560 --> 00:01:52.240]  日間有雲彩在他們的會幕中停留
[00:01:52.240 --> 00:01:54.920]  表示他們不要起行了
[00:01:54.920 --> 00:01:56.920]  他們就停在這個地方
[00:01:56.920 --> 00:02:00.440]  夜間亦都在雲彩裏面有火
[00:02:00.440 --> 00:02:02.200]  所謂火柱
[00:02:02.200 --> 00:02:05.640]  這些都是很清楚神的同在
[00:02:05.640 --> 00:02:07.120]  和神的引導
[00:02:07.120 --> 00:02:08.280]  何時動呢
[00:02:08.280 --> 00:02:10.440]  就是雲彩要行
[00:02:10.440 --> 00:02:12.840]  代表神要吩咐他們要行
[00:02:12.840 --> 00:02:14.240]  他們一行的時候
[00:02:14.240 --> 00:02:20.240]  整個會幕的基建組件全部拆出來
[00:02:20.240 --> 00:02:24.800]  所以工程都是很多事情要做
[00:02:24.800 --> 00:02:26.960]  你要明白這個背景
[00:02:26.960 --> 00:02:29.760]  我們之前其實有看過
[00:02:29.760 --> 00:02:32.240]  為什麼利美的三個兒子要分配
[00:02:32.240 --> 00:02:37.320]  有不同的在會幕和聖所、致聖所的聖物
[00:02:37.320 --> 00:02:40.160]  很清楚的有吩咐
[00:02:40.160 --> 00:02:42.840]  他亦都吩咐他們要守逾節
[00:02:42.840 --> 00:02:46.640]  紀念他們從埃及離開維勞之家
[00:02:46.640 --> 00:02:49.360]  他們從西乃這個地方
[00:02:49.360 --> 00:02:53.240]  其實原本是要進入牛奶乳麥之地
[00:02:53.240 --> 00:02:54.880]  就是迦南地
[00:02:54.880 --> 00:02:56.160]  原本很快的
[00:02:56.160 --> 00:02:59.760]  但就因為他們的信心不足
[00:02:59.760 --> 00:03:02.040]  他們接不上神的應許
[00:03:02.040 --> 00:03:04.040]  所以在第十章到二十五章
[00:03:04.040 --> 00:03:09.760]  記載他們在曠野裏不斷的信心軟弱、失敗
[00:03:09.760 --> 00:03:13.160]  亦都經歷上帝多方面的管教
[00:03:13.160 --> 00:03:15.160]  在二十六章到三十六章
[00:03:15.160 --> 00:03:19.440]  他們在摩洛平原要重新去數點民數
[00:03:19.440 --> 00:03:21.320]  即是百姓一次
[00:03:21.320 --> 00:03:23.760]  當時這個新的數點
[00:03:23.760 --> 00:03:26.400]  就是新的一代起來
[00:03:26.400 --> 00:03:30.760]  但舊的一代亦都很多已經在曠野路裏面
[00:03:30.760 --> 00:03:32.960]  他們都已經死去
[00:03:32.960 --> 00:03:36.160]  剩下的就是加納和約書亞
[00:03:36.160 --> 00:03:42.480]  後來摩西都被神來到去接軀
[00:03:42.480 --> 00:03:44.400]  在尼泊爾山上面
[00:03:44.400 --> 00:03:48.320]  我們看到整件事都是要提醒我們
[00:03:48.320 --> 00:03:52.120]  今天很好的 我們來到去跟隨神
[00:03:52.120 --> 00:03:55.800]  第七章你可以這樣來分
[00:03:55.800 --> 00:03:57.120]  這幾個段落
[00:03:57.120 --> 00:03:58.920]  首先就是頭九節
[00:03:58.920 --> 00:04:04.520]  十二個支派領袖奉獻給回眸的物件是甚麼呢
[00:04:04.520 --> 00:04:06.040]  是講回眸
[00:04:06.040 --> 00:04:07.520]  而接著那個段落
[00:04:07.520 --> 00:04:12.200]  是講十二個領袖奉獻給祭壇的物件又是甚麼呢
[00:04:12.200 --> 00:04:14.680]  因為重複十二次
[00:04:14.680 --> 00:04:17.080]  這個祭壇的奉獻禮連續十二日
[00:04:17.080 --> 00:04:21.960]  每日一日每日派一個領袖出來
[00:04:21.960 --> 00:04:25.560]  這個就給我們看得很清楚
