
[00:00:00.000 --> 00:00:04.800]  我今天給的題目是spiritual talking
[00:00:04.800 --> 00:00:09.440]  其實為什麼會有這個題目呢?
[00:00:09.440 --> 00:00:15.080]  我們今天6月第一個星期有一個新的series
[00:00:15.080 --> 00:00:19.280]  我們整年都在討論生命轉化
[00:00:19.280 --> 00:00:21.920]  但是6月就特別為了這個camp
[00:00:21.920 --> 00:00:26.920]  做了一個promotion 或者是牧者去討論這個題目
[00:00:26.920 --> 00:00:28.920]  就是如何去見到耶穌呢?
[00:00:28.920 --> 00:00:32.560]  很明顯見到這兩個人在talking
[00:00:32.560 --> 00:00:38.720]  talking這個字其實是指大家一邊走路一邊玩遊戲機
[00:00:38.720 --> 00:00:40.720]  在那裡低頭
[00:00:40.720 --> 00:00:43.120]  為什麼有時候我們看不到耶穌呢?
[00:00:43.120 --> 00:00:45.120]  可能是因為我們自己低頭
[00:00:45.120 --> 00:00:50.480]  在我開始進入今天的講道之前
[00:00:50.480 --> 00:00:54.720]  就想給大家一個小暖和
[00:00:54.720 --> 00:01:02.920]  其實我有一個朋友很喜歡去collect一些很奇怪的signs
[00:01:02.920 --> 00:01:05.560]  然後就在朋友group那裡發出來
[00:01:05.560 --> 00:01:07.560]  我今天就想跟大家分享一下
[00:01:07.560 --> 00:01:11.280]  如何去講到spiritual talking這件事呢?
[00:01:11.280 --> 00:01:14.800]  這有兩個signs
[00:01:14.800 --> 00:01:18.160]  左邊那個你覺得有什麼奇怪呢?
[00:01:18.160 --> 00:01:21.160]  左又不行,右又不行,下又不行,上又不行
[00:01:21.160 --> 00:01:23.160]  後又不行,前又不行
[00:01:23.160 --> 00:01:25.160]  其實是不是可以簡單一點
[00:01:25.160 --> 00:01:27.160]  一個stop sign就算了呢?
[00:01:27.160 --> 00:01:30.160]  第二個sign他覺得很好笑
[00:01:30.160 --> 00:01:32.160]  就是我都會滑雪的
[00:01:32.160 --> 00:01:35.160]  但是其實是不是滑雪和hospital有關呢?
[00:01:35.160 --> 00:01:38.160]  放在一起就更加諷刺了這件事
[00:01:38.160 --> 00:01:43.160]  而有一些signs其實你不講都可以的
[00:01:43.160 --> 00:01:46.160]  不知道為什麼政府要花錢去弄一個sign出來
[00:01:46.160 --> 00:01:49.160]  就是Caution, water on road during rain
[00:01:49.160 --> 00:01:54.160]  我都知道,if door does not open, do not enter
[00:01:54.160 --> 00:01:58.160]  我都知道,其實你都不用弄這些signs出來
[00:01:58.160 --> 00:02:06.160]  另外美國人有些很奇怪的想法
[00:02:06.160 --> 00:02:08.160]  就是curve yellow fruit
[00:02:08.160 --> 00:02:10.160]  我想有些fruit你可以叫banana
[00:02:10.160 --> 00:02:12.160]  就可以了,不用curve yellow fruit
[00:02:12.160 --> 00:02:17.160]  不過在過去十年裡面
[00:02:17.160 --> 00:02:23.160]  其實有一種新的路標出現了
[00:02:23.160 --> 00:02:25.160]  十年前應該沒有見過
[00:02:25.160 --> 00:02:27.160]  黃色那個和白色那個
[00:02:27.160 --> 00:02:30.160]  就是那些人低著頭
[00:02:30.160 --> 00:02:33.160]  其實說真的有一個sign
[00:02:33.160 --> 00:02:36.160]  你低著頭其實你都不是太看到
[00:02:36.160 --> 00:02:38.160]  不過都好的有個sign
[00:02:38.160 --> 00:02:40.160]  如果你正在行的時候
[00:02:40.160 --> 00:02:43.160]  有一眼看到那個sign
[00:02:43.160 --> 00:02:45.160]  可能都會提醒你
[00:02:45.160 --> 00:02:47.160]  我看回出來
[00:02:47.160 --> 00:02:49.160]  或者我停止自己一會兒
[00:02:49.160 --> 00:02:53.160]  不要text while walking
[00:02:53.160 --> 00:02:59.160]  其實這些signs不只是在美國或外國
[00:02:59.160 --> 00:03:03.160]  在Asian,韓國都有
[00:03:03.160 --> 00:03:05.160]  有一個我覺得很好笑
[00:03:05.160 --> 00:03:07.160]  pay attention while walking
[00:03:07.160 --> 00:03:10.160]  your facebook status update can wait
[00:03:10.160 --> 00:03:12.160]  或者你們是IG
[00:03:12.160 --> 00:03:14.160]  我老闆一點就是facebook
[00:03:14.160 --> 00:03:17.160]  可能你facebook的message update
[00:03:17.160 --> 00:03:20.160]  IG你們是booking人的message
[00:03:20.160 --> 00:03:25.160]  book到停不了
[00:03:25.160 --> 00:03:30.160]  而不知道旁邊發生什麼事
[00:03:30.160 --> 00:03:36.160]  其實在過去十年裡面
[00:03:36.160 --> 00:03:39.160]  在字典裡面就出現了這個字
[00:03:39.160 --> 00:03:40.160]  talking
[00:03:40.160 --> 00:03:44.160]  talking refers to the act of walking while using a mobile phone
[00:03:44.160 --> 00:03:47.160]  particularly for texting or browsing the internet
[00:03:47.160 --> 00:03:50.160]  和他說一路走路
[00:03:50.160 --> 00:03:52.160]  一路聊電話
[00:03:52.160 --> 00:03:56.160]  或者一路做social networking
[00:03:56.160 --> 00:03:58.160]  這件事
[00:03:58.160 --> 00:03:59.160]  while walking you are doing that
[00:03:59.160 --> 00:04:00.160]  so it's talking
[00:04:00.160 --> 00:04:02.160]  尤其是美國人
[00:04:02.160 --> 00:04:04.160]  他們好多用tweeting
[00:04:04.160 --> 00:04:06.160]  這個字tweeter
[00:04:06.160 --> 00:04:07.160]  現在是x
[00:04:07.160 --> 00:04:08.160]  所以就是talking
[00:04:08.160 --> 00:04:11.160]  其實聽起來覺得很好笑
[00:04:11.160 --> 00:04:14.160]  就是talking
[00:04:14.160 --> 00:04:17.160]  但是其實有研究顯示
[00:04:17.160 --> 00:04:19.160]  因著行人
[00:04:19.160 --> 00:04:26.160]  行人因為talking交通意外而死亡
[00:04:26.160 --> 00:04:32.160]  其實在2022年是達到7500個左右
[00:04:32.160 --> 00:04:35.160]  比起過去的十年是升了83%
[00:04:35.160 --> 00:04:40.160]  同時用智能手機有關的distracted walking
[00:04:40.160 --> 00:04:43.160]  他說是其中一個主要的原因
[00:04:43.160 --> 00:04:44.160]  研究說
[00:04:44.160 --> 00:04:46.160]  所以talking有問題
[00:04:46.160 --> 00:04:47.160]  還有過去十年
[00:04:47.160 --> 00:04:49.160]  其實美國有近400宗的死亡
[00:04:49.160 --> 00:04:54.160]  是和在state park裡面去拍selfie有關的
[00:04:54.160 --> 00:04:58.160]  而這個number是比鯊魚咬死人
[00:04:58.160 --> 00:05:02.160]  而肇事死亡是四倍
[00:05:02.160 --> 00:05:04.160]  其實我想說
[00:05:04.160 --> 00:05:08.160]  很多這些意外是可以避免的
[00:05:08.160 --> 00:05:11.160]  如果你只保持頭上
[00:05:11.160 --> 00:05:14.160]  即是look up
[00:05:14.160 --> 00:05:19.160]  同時一個physical的talking
[00:05:19.160 --> 00:05:21.160]  是會導致死亡的
[00:05:21.160 --> 00:05:25.160]  那spiritual talking呢
[00:05:25.160 --> 00:05:30.160]  其實如果我們是一個基督的跟從者
[00:05:30.160 --> 00:05:33.160]  如果我們不look up to他的時候
[00:05:33.160 --> 00:05:36.160]  其實我們很容易fall down
[00:05:36.160 --> 00:05:38.160]  很容易stumble
[00:05:38.160 --> 00:05:41.160]  甚至可以會死的
[00:05:41.160 --> 00:05:44.160]  我們一起來看一下
[00:05:44.160 --> 00:05:48.160]  保羅對哥羅西教會有什麼勸勉
[00:05:48.160 --> 00:05:52.160]  看的經文不長 兩節
