
[00:00:00.000 --> 00:00:04.000]  (掌聲歡迎梁美芬)
[00:00:04.000 --> 00:00:07.500]  好,很久不見大家了
[00:00:07.500 --> 00:00:11.500]  今天的題目是一個問題
[00:00:11.500 --> 00:00:15.500]  它說我們這個時代
[00:00:15.500 --> 00:00:21.000]  需要的盼望是甚麼呢?
[00:00:21.000 --> 00:00:25.000]  每一個星期當你完結崇拜
[00:00:25.000 --> 00:00:27.000]  或者小組分組的時候
[00:00:27.000 --> 00:00:31.000]  你們都會彼此說再見
[00:00:31.000 --> 00:00:35.000]  大家都很希望下星期會見到大家
[00:00:35.000 --> 00:00:38.000]  當你見不到大家的時候
[00:00:38.000 --> 00:00:41.000]  你總會有點失望
[00:00:41.000 --> 00:00:45.000]  到底今天我們所說的盼望
[00:00:45.000 --> 00:00:48.000]  是不是就是這些盼望呢?
[00:00:48.000 --> 00:00:51.000]  我們今天一起看看經文裡
[00:00:51.000 --> 00:00:53.000]  到底告訴我們
[00:00:53.000 --> 00:00:57.000]  我們這個年代需要的盼望是甚麼呢?
[00:00:57.000 --> 00:01:00.000]  我們先看看經文
[00:01:00.000 --> 00:01:05.000]  Karen帶我們一起讀這段經文
[00:01:05.000 --> 00:01:09.000]  願頌贊歸於我們主耶穌基督的父神
[00:01:09.000 --> 00:01:11.000]  他普照自己的大年敏
[00:01:11.000 --> 00:01:14.000]  藉耶穌基督從死裡復活
[00:01:14.000 --> 00:01:15.000]  重生了我們
[00:01:15.000 --> 00:01:18.000]  叫我們有活潑的盼望
[00:01:18.000 --> 00:01:20.000]  可以得著不能惱壞
[00:01:20.000 --> 00:01:21.000]  不能戰戮
[00:01:21.000 --> 00:01:22.000]  不能衰殘
[00:01:22.000 --> 00:01:25.000]  為你們存留在天上的基業
[00:01:25.000 --> 00:01:29.000]  你們這因信蒙神能力保守的人
[00:01:29.000 --> 00:01:31.000]  必能得著所預備
[00:01:31.000 --> 00:01:34.000]  到末世要顯現的救恩
[00:01:34.000 --> 00:01:37.000]  因此你們是大有喜樂
