
[00:00:00.000 --> 00:00:05.000]  (主持人:丁姐妹早安)
[00:00:05.000 --> 00:00:08.800]  (主持人:其實我們今天在看肥立比書之前)
[00:00:08.800 --> 00:00:11.600]  (主持人:我要先講一個故事給大家聽)
[00:00:11.600 --> 00:00:16.600]  (主持人:話說很多年前有一個精文比賽)
[00:00:16.600 --> 00:00:18.600]  (主持人:這個精文比賽裏面)
[00:00:18.600 --> 00:00:22.600]  (主持人:就是叫一些投稿的人)
[00:00:22.600 --> 00:00:28.600]  (主持人:怎樣可以縮短一個長途的旅程)
[00:00:28.600 --> 00:00:34.600]  (主持人:一個長途的旅程你怎樣有辦法縮短呢)
[00:00:34.600 --> 00:00:37.600]  (主持人:通常每一個投稿者都會計算)
[00:00:37.600 --> 00:00:39.600]  (主持人:由這個城市去那個城市)
[00:00:39.600 --> 00:00:43.600]  (主持人:坐飛機還是坐快車)
[00:00:43.600 --> 00:00:46.600]  (主持人:用什麼途徑可以最快去到那個)
[00:00:46.600 --> 00:00:49.600]  (主持人:就叫做想著一定可以拿獎)
[00:00:49.600 --> 00:00:53.600]  (主持人:但結果獲獎的人的答案)
[00:00:53.600 --> 00:00:55.600]  (主持人:出乎很多人意料之外)
[00:00:55.600 --> 00:00:58.600]  (主持人:不知道大家知不知道那個答案是什麼)
[00:00:58.600 --> 00:01:03.600]  (主持人:是走路嗎?不是的)
[00:01:03.600 --> 00:01:05.600]  (主持人:走路應該是最慢的)
[00:01:05.600 --> 00:01:10.600]  (主持人:不過他的答案背後不是說交通工具)
[00:01:10.600 --> 00:01:15.600]  (主持人:是說你和你一起在這個踏上這個旅途)
[00:01:15.600 --> 00:01:19.600]  (主持人:你的同伴是一群什麼的朋友)
[00:01:19.600 --> 00:01:22.600]  (主持人:如果那群是你一群很好的朋友)
[00:01:22.600 --> 00:01:27.600]  (主持人:就會發覺時間過得很快)
[00:01:27.600 --> 00:01:29.600]  (主持人:這件事是很真實的)
[00:01:29.600 --> 00:01:31.600]  (主持人:不知道你是否有這樣的想法)
[00:01:31.600 --> 00:01:34.600]  (主持人:我很多年前曾經和夫婦團)
[00:01:34.600 --> 00:01:36.600]  (主持人:我們一群頂姐妹)
[00:01:36.600 --> 00:01:41.600]  (主持人:我們去到土耳其參觀啟示錄七教會)
[00:01:41.600 --> 00:01:42.600]  (主持人:後來又去到希臘)
[00:01:42.600 --> 00:01:45.600]  (主持人:我們去到菲臘比 貼薩羅尼加)
[00:01:45.600 --> 00:01:47.600]  (主持人:去到哥倫多)
[00:01:47.600 --> 00:01:50.600]  (主持人:看保羅宣教的過程)
[00:01:50.600 --> 00:01:52.600]  (主持人:特別是在土耳其)
[00:01:52.600 --> 00:01:54.600]  (主持人:那些城市之間)
[00:01:54.600 --> 00:01:56.600]  (主持人:其實是由東到西)
[00:01:56.600 --> 00:01:59.600]  (主持人:應該說是在土耳其那個地方)
[00:01:59.600 --> 00:02:02.600]  (主持人:其實有些旅途是很長的)
[00:02:02.600 --> 00:02:03.600]  (主持人:長到什麼程度呢)
[00:02:03.600 --> 00:02:06.600]  (主持人:可以說是要幾個小時)
[00:02:06.600 --> 00:02:09.600]  (主持人:甚至可能要五個小時的時間)
[00:02:09.600 --> 00:02:11.600]  (主持人:那麼長的長途)
[00:02:11.600 --> 00:02:14.600]  (主持人:大家在旅遊巴士可以做什麼)
[00:02:14.600 --> 00:02:16.600]  (主持人:除了睡覺之外)
[00:02:16.600 --> 00:02:19.600]  (主持人:我們一起唱詩讚美神)
[00:02:19.600 --> 00:02:22.600]  (主持人:我們一起分享生命的見證)
[00:02:22.600 --> 00:02:24.600]  (主持人:我們發覺是很激勵性的)
[00:02:24.600 --> 00:02:27.600]  (主持人:而且很快我們一點都不覺得)
[00:02:27.600 --> 00:02:30.600]  (主持人:那個車程很長)
[00:02:30.600 --> 00:02:32.600]  (主持人:因為我們有一群同心合意)
[00:02:32.600 --> 00:02:35.600]  (主持人:有一群志同道合的朋友)
[00:02:35.600 --> 00:02:37.600]  (主持人:和我們一起踏上這個征途)
[00:02:37.600 --> 00:02:40.600]  (主持人:這個正正就是我們去看菲勒比書)
[00:02:40.600 --> 00:02:44.600]  (主持人:你要領會到一個很重要的精髓)
[00:02:44.600 --> 00:02:46.600]  (主持人:保羅要告訴我們)
[00:02:46.600 --> 00:02:51.600]  (主持人:他不單是一個為福音竭盡心力)
[00:02:51.600 --> 00:02:54.600]  (主持人:他人生最高的目標就是)
