
[00:00:00.000 --> 00:00:04.000]  好,正式Hello Explorers,大家好
[00:00:04.000 --> 00:00:08.000]  其實很開心可以來到實體的崇拜
[00:00:08.000 --> 00:00:11.000]  而這次對於我來說也是一個大的挑戰
[00:00:11.000 --> 00:00:13.000]  因為我第一次面對面
[00:00:13.000 --> 00:00:15.000]  我和你們可以這樣說
[00:00:15.000 --> 00:00:18.000]  你們醒了沒有?
[00:00:18.000 --> 00:00:20.000]  我還沒有
[00:00:20.000 --> 00:00:23.000]  我告訴你,上個星期我做了一個很好的事
[00:00:23.000 --> 00:00:25.000]  如果你覺得你還沒有醒的
[00:00:25.000 --> 00:00:26.000]  你推你旁邊那個
[00:00:26.000 --> 00:00:28.000]  你還沒有醒,你推你旁邊那個
[00:00:28.000 --> 00:00:30.000]  你動一下,碰一下
[00:00:30.000 --> 00:00:32.000]  甚至你真的碰一下
[00:00:32.000 --> 00:00:34.000]  甚至用力拍下去
[00:00:34.000 --> 00:00:36.000]  上個星期我拍完之後
[00:00:36.000 --> 00:00:40.000]  那個人就啊!然後很爽啊
[00:00:40.000 --> 00:00:42.000]  全都醒了
[00:00:42.000 --> 00:00:43.000]  可以這樣做,OK?
[00:00:43.000 --> 00:00:45.000]  大家醒了嗎?睡了嗎?
[00:00:45.000 --> 00:00:47.000]  因為今天我們說到
[00:00:47.000 --> 00:00:49.000]  見到有人的時候
[00:00:49.000 --> 00:00:51.000]  我們可以有多一點互動
[00:00:51.000 --> 00:00:53.000]  多一點遊戲
[00:00:53.000 --> 00:00:55.000]  你要醒才可以做到
[00:00:55.000 --> 00:00:57.000]  我們一開始
[00:00:57.000 --> 00:01:00.000]  這個時候
[00:01:00.000 --> 00:01:03.000]  其實我們這個月都會說傳福音
[00:01:03.000 --> 00:01:05.000]  今天就會說認識對方
[00:01:05.000 --> 00:01:07.000]  首先說
[00:01:07.000 --> 00:01:09.000]  究竟什麼是傳福音?
[00:01:09.000 --> 00:01:11.000]  有沒有人想過?
