
[00:00:00.000 --> 00:00:02.000]  頂姐妹 新年夢福
[00:00:02.000 --> 00:00:09.000]  我們上一次在啟示錄講「已忽所書」
[00:00:09.000 --> 00:00:15.000]  有Karen傳道跟我們講得非常精彩的一篇講章
[00:00:15.000 --> 00:00:16.000]  講得非常好
[00:00:16.000 --> 00:00:18.000]  講到已忽所的教會
[00:00:18.000 --> 00:00:20.000]  這是第一間的教會
[00:00:20.000 --> 00:00:26.000]  已忽所的教會有它被主稱讚的地方
[00:00:26.000 --> 00:00:29.000]  他們那種奴婦 他們那種忠心
[00:00:29.000 --> 00:00:34.000]  但他們也有一些需要改正的
[00:00:34.000 --> 00:00:38.000]  就是他們失落了起初的愛心 要重新燃點
[00:00:38.000 --> 00:00:41.000]  我們今天看的另外兩間教會
[00:00:41.000 --> 00:00:43.000]  包括聖會娜的教會
[00:00:43.000 --> 00:00:47.000]  他們被主肯定的
[00:00:47.000 --> 00:00:51.000]  他們那種堅忍受苦至死忠心
[00:00:51.000 --> 00:00:55.000]  可以說是唯一一間教會跟老弟家教會一樣
[00:00:55.000 --> 00:00:58.000]  沒有任何的責備
[00:00:58.000 --> 00:01:00.000]  而加摩的教會是第三間
[00:01:00.000 --> 00:01:04.000]  他們抗拒異端 堅守主導
[00:01:04.000 --> 00:01:07.000]  我們看這七個教會的時候
[00:01:07.000 --> 00:01:10.000]  我曾經有兩次帶領教會的頂姐妹
[00:01:10.000 --> 00:01:13.000]  去到土耳其和希臘
[00:01:13.000 --> 00:01:17.000]  我們是追蹤保羅的宣教行蹤
[00:01:17.000 --> 00:01:22.000]  我們七教會是由土耳其的西南邊
[00:01:22.000 --> 00:01:25.000]  這幾個都是海港城
[00:01:25.000 --> 00:01:29.000]  包括以弗所、仕美娜和別加摩
[00:01:29.000 --> 00:01:32.000]  而以弗所到仕美娜
[00:01:32.000 --> 00:01:34.000]  你看這個次序
[00:01:34.000 --> 00:01:38.000]  跟啟示錄所形容的七教會次序是完全一樣的
[00:01:38.000 --> 00:01:40.000]  是順時針方向
[00:01:40.000 --> 00:01:46.000]  由南邊繞一圈到最後就是老弟家
[00:01:46.000 --> 00:01:49.000]  我們來看以弗所到仕美娜的時候
[00:01:49.000 --> 00:01:51.000]  是有50公里
[00:01:51.000 --> 00:01:55.000]  對於今天來說我們有汽車
[00:01:55.000 --> 00:02:00.000]  特別是國內高鐵那裏沒有高鐵
[00:02:00.000 --> 00:02:05.000]  但是我們知道你開車50公里不算長
[00:02:05.000 --> 00:02:09.000]  但昔日來說這都不是容易的路
[00:02:09.000 --> 00:02:17.000]  因為他們要憑他們當時第一世紀的處境
[00:02:17.000 --> 00:02:19.000]  所以要有少許的了解
[00:02:19.000 --> 00:02:23.000]  由仕美娜到別加摩是80公里
[00:02:23.000 --> 00:02:25.000]  再遠一點
[00:02:25.000 --> 00:02:29.000]  而我們看到當時的背景就是
[00:02:29.000 --> 00:02:33.000]  以弗所和仕美娜都可以說是叮噹碼頭
[00:02:33.000 --> 00:02:34.000]  在第一世紀的時候
[00:02:34.000 --> 00:02:40.000]  兩個都是非常蓬勃的海港貿易對外開放
[00:02:40.000 --> 00:02:45.000]  所以在經濟上他們的發展可以互相增輝
[00:02:45.000 --> 00:02:51.000]  但是我們也看到仕美娜這個地方
[00:02:51.000 --> 00:02:55.000]  他們要面對的處境有很多逼迫
