
[00:00:00.000 --> 00:00:06.240]   - Good evening, everyone.
[00:00:06.240 --> 00:00:10.960]   I'm really glad that we can just worship together online.
[00:00:10.960 --> 00:00:15.080]   And I even get my own chair for the very first time.
[00:00:15.080 --> 00:00:19.520]   And while just letting you know that I won't be able to see your faces, so if you're falling
[00:00:19.520 --> 00:00:21.840]   asleep, I won't know at all.
[00:00:21.840 --> 00:00:24.880]   But I'm imagining that you're sitting at the edge of your seat.
[00:00:24.880 --> 00:00:29.040]   So let's hope that imagination is the reality.
[00:00:29.040 --> 00:00:33.640]   But I just wanted to say that it's just great to be able to worship together.
[00:00:33.640 --> 00:00:39.940]   And for the last two weeks, we have been looking at the sermon series, which is on health for
[00:00:39.940 --> 00:00:41.960]   all and all for God.
[00:00:41.960 --> 00:00:45.840]   And we had two excellent sermons by Pastor James and Pastor John.
[00:00:45.840 --> 00:00:48.800]   And if you've missed it, please go back to it.
[00:00:48.800 --> 00:00:53.600]   And we're just gonna continue this week on Break the Power of the Past.
[00:00:53.600 --> 00:00:59.020]   Now before we actually dig into any sermons, I do wanna tell a short story.
[00:00:59.020 --> 00:01:02.440]   So there was someone and he went to a party.
[00:01:02.440 --> 00:01:04.920]   You know how parties are, there's lots of food.
[00:01:04.920 --> 00:01:09.360]   And so he goes to the kitchen and he sees this hostess.
[00:01:09.360 --> 00:01:12.640]   And the hostess begins to prepare this meat.
[00:01:12.640 --> 00:01:13.640]   Do we have this meat up?
[00:01:13.640 --> 00:01:16.220]   Oh, yeah, we do have this meat up.
[00:01:16.220 --> 00:01:21.360]   And so he begins to cut the sides, just cut the two sides flat.
[00:01:21.360 --> 00:01:24.020]   And he puts it in this oven that's huge.
[00:01:24.020 --> 00:01:27.280]   And so this guest has no idea why is the hostess doing that?
[00:01:27.280 --> 00:01:32.080]   I mean, the meat is barely enough for everybody and she's already cutting it off.
[00:01:32.080 --> 00:01:38.960]   And so she goes and asks the hostess, why is it that you're cutting off the sides?
[00:01:38.960 --> 00:01:44.840]   And so to his surprise, the hostess says, well, I don't really know, but my mom has
[00:01:44.840 --> 00:01:46.800]   been doing it all along.
[00:01:46.800 --> 00:01:50.560]   Now, interesting enough, her mom was also at the party.
[00:01:50.560 --> 00:01:56.000]   So he goes over to her and asks, Auntie, so what is it that makes you wanna cut off the
[00:01:56.000 --> 00:01:59.560]   sides 'cause obviously the oven's quite big?
[00:01:59.560 --> 00:02:04.560]   And interestingly enough, she answers the same way, well, I don't really know, but that's
[00:02:04.560 --> 00:02:06.920]   what my mother has always done.
[00:02:06.920 --> 00:02:13.240]   And so an opportunity arise and the whole family and this guest got to go to the hostess
[00:02:13.240 --> 00:02:17.400]   grandma's place, which is actually at a cottage.
[00:02:17.400 --> 00:02:23.360]   And so they were there and this guest remembers this interesting scene.
[00:02:23.360 --> 00:02:29.060]   So he goes and asks grandma, why is it that you cut off the size of this meat?
[00:02:29.060 --> 00:02:32.180]   And she's like, oh, well, it's very simple, come in my kitchen.
[00:02:32.180 --> 00:02:37.320]   So they all went to the kitchen and lo and behold, they found that the oven was very
[00:02:37.320 --> 00:02:38.320]   small.
[00:02:38.320 --> 00:02:43.080]   And so grandma says, well, my oven's too small and I could never fit the entire piece of
[00:02:43.080 --> 00:02:46.760]   meat in, so I always had to chop it off.
[00:02:46.760 --> 00:02:52.400]   And so, I mean, that's actually a perfect illustration of what we mean when we say the
[00:02:52.400 --> 00:02:53.960]   power of the past.
[00:02:53.960 --> 00:02:57.560]   And sometimes we don't even know why we do certain things.
[00:02:57.560 --> 00:03:01.440]   And it's okay if things are perfect or if they're rosy, right?
[00:03:01.440 --> 00:03:07.640]   But what if the things that we're going through has negative impacts in our lives?
[00:03:07.640 --> 00:03:13.800]   Then really we need to look into the past and make sure that in Christ, we get to break
[00:03:13.800 --> 00:03:16.200]   that bondage or that chain.
[00:03:16.200 --> 00:03:22.680]   And so today, this is exactly what we're going to talk about.
[00:03:22.680 --> 00:03:27.920]   And so when we talk about what paths are we actually trying to break?
[00:03:27.920 --> 00:03:34.880]   Now there are great, wonderful traditions, blessings, and even inheritance that we would
[00:03:34.880 --> 00:03:39.740]   receive from our parents and also from previous generations.
[00:03:39.740 --> 00:03:45.200]   So if you're a kind, loving person because your father and mother are that way and that
[00:03:45.200 --> 00:03:49.760]   you have learned it through experience to be such a person, well, we don't want you
[00:03:49.760 --> 00:03:51.360]   to break that.
[00:03:51.360 --> 00:03:55.600]   Or if your parents have a condo or two, you know, it's pretty expensive in Hong Kong,
[00:03:55.600 --> 00:03:56.600]   right?
[00:03:56.600 --> 00:04:00.800]   That they want to give you as an inheritance, well, we don't want you to break that either.
[00:04:00.800 --> 00:04:07.240]   So today we're just going to focus on the past in terms of the sins that have been more
[00:04:07.240 --> 00:04:13.980]   or less passed on or the strongholds, which includes beliefs and values that do not align
[00:04:13.980 --> 00:04:15.160]   with the Bible.
[00:04:15.160 --> 00:04:23.000]   And the third thing is ungodly characters that we have somehow developed or have got
