
[00:00:00.000 --> 00:00:02.000]  感謝上帝的恩典
[00:00:02.000 --> 00:00:04.000]  帶領眾弟兄姐妹一起相聚
[00:00:04.000 --> 00:00:08.000]  那麼中國傳統當中的農曆新年
[00:00:08.000 --> 00:00:10.000]  就快要來到
[00:00:10.000 --> 00:00:13.000]  我也藉由今天的訊息分享和講題
[00:00:13.000 --> 00:00:16.000]  來祝願各位主內的家人們
[00:00:16.000 --> 00:00:18.000]  新春快樂
[00:00:18.000 --> 00:00:21.000]  感謝主的恩典
[00:00:21.000 --> 00:00:24.000]  那麼今天的講題也是來自於
[00:00:24.000 --> 00:00:26.000]  大家新年的時候
[00:00:26.000 --> 00:00:29.000]  會互相問候的話語
[00:00:29.000 --> 00:00:31.000]  通常大家怎麼問候的啊
[00:00:31.000 --> 00:00:34.000]  新春快樂還會說什麼
[00:00:34.000 --> 00:00:36.000]  恭喜發財
[00:00:36.000 --> 00:00:38.000]  還有呢
[00:00:38.000 --> 00:00:41.000]  大吉大利啊身體健康啊
[00:00:41.000 --> 00:00:44.000]  都說很多很美好的祝願
[00:00:44.000 --> 00:00:46.000]  包括今年來到之前呢
[00:00:46.000 --> 00:00:48.000]  很多有創意的人呢
[00:00:48.000 --> 00:00:51.000]  藉由中國傳統的生肖文化
[00:00:51.000 --> 00:00:54.000]  也在開始的問候就有
[00:00:54.000 --> 00:00:57.000]  祝你什麼都好啊
[00:00:57.000 --> 00:00:59.000]  什麼都順啊
[00:00:59.000 --> 00:01:02.000]  都是期盼大家
[00:01:02.000 --> 00:01:04.000]  遇到各樣的景況當中
[00:01:04.000 --> 00:01:08.000]  都有這份好和順在生命裡面
[00:01:08.000 --> 00:01:12.000]  但是如果我們很清醒的基督徒啊
[00:01:12.000 --> 00:01:14.000]  也會明白
[00:01:14.000 --> 00:01:16.000]  人生的旅途當中
[00:01:16.000 --> 00:01:18.000]  有高山還有什麼啊
[00:01:18.000 --> 00:01:21.000]  低谷啊什麼都有啊
[00:01:21.000 --> 00:01:24.000]  那怎麼來達到這個好和順呢
