
[00:00:00.000 --> 00:00:03.600]  開始了 因為今天想和大家分享的東西其實都挺多的
[00:00:03.600 --> 00:00:08.480]  我想時間緊張一點
[00:00:08.480 --> 00:00:12.160]  很高興見到大家
[00:00:12.160 --> 00:00:15.200]  無論是認識我的 或者是未認識我的
[00:00:15.200 --> 00:00:18.560]  我都代表建立中心歡迎大家
[00:00:18.560 --> 00:00:21.520]  我今天就是一個很怪的現象
[00:00:21.520 --> 00:00:24.000]  平時我就是介紹人
[00:00:24.000 --> 00:00:27.200]  現在又介紹自己
[00:00:27.200 --> 00:00:30.400]  說的那個又是我 介紹的那個又是我
[00:00:30.400 --> 00:00:32.560]  一腳踢
[00:00:32.560 --> 00:00:36.160]  我是加拿大建造中心的主任
[00:00:36.160 --> 00:00:38.320]  陸昭明牧師
[00:00:38.320 --> 00:00:40.640]  在這個時候當然要歡迎大家
[00:00:40.640 --> 00:00:44.160]  這張slide就是一個歡迎的slide
[00:00:44.160 --> 00:00:45.680]  告訴大家我們的網站
[00:00:45.680 --> 00:00:48.320]  其實如果你是間中想一下我們的網站
[00:00:48.320 --> 00:00:50.960]  你會看到我們很多的資訊
[00:00:50.960 --> 00:00:53.360]  就是abscc.org
[00:00:53.360 --> 00:00:56.480]  如果你用facebook就看
[00:00:56.480 --> 00:01:00.720]  The Alliance Bible Seminary Centre of Canada
[00:01:00.720 --> 00:01:05.040]  裡面有很多的內容讓大家可以參考
[00:01:05.040 --> 00:01:09.040]  特別是一些新的公佈
[00:01:09.040 --> 00:01:11.440]  我們都會在那裡先做的
[00:01:11.440 --> 00:01:14.560]  現在這個世界已經是越來越網絡化
[00:01:14.560 --> 00:01:16.640]  我們都盡量用
[00:01:16.640 --> 00:01:17.680]  喂 哈囉
[00:01:17.680 --> 00:01:19.200]  盡量用很多東西
[00:01:19.200 --> 00:01:23.120]  對不起 有時候我會和我的朋友打個招呼
[00:01:23.120 --> 00:01:24.400]  哈哈
[00:01:24.400 --> 00:01:26.720]  那就 啊 糟了 說到哪裡了
[00:01:26.720 --> 00:01:28.400]  哈哈
[00:01:28.400 --> 00:01:29.200]  哈哈
[00:01:29.200 --> 00:01:31.200]  盡量用網絡的方式
[00:01:31.200 --> 00:01:32.960]  網絡又不用錢
[00:01:32.960 --> 00:01:35.600]  而且訊息傳得很快
[00:01:35.600 --> 00:01:40.560]  現在慢慢慢慢我們都很少印海報了
[00:01:40.560 --> 00:01:43.120]  都是用WhatsApp 用Email
[00:01:43.120 --> 00:01:48.400]  因為Email都開始多人不看Email
[00:01:48.400 --> 00:01:52.080]  我們都要與時並進
[00:01:52.080 --> 00:01:56.400]  我自己上任中心主任的位置
[00:01:56.400 --> 00:01:58.720]  還沒夠一年半
[00:01:58.720 --> 00:02:01.360]  過去一年半左右
[00:02:01.360 --> 00:02:03.120]  中心都有很多的改變
[00:02:03.120 --> 00:02:04.880]  如果你是新來的 第一次來的
[00:02:04.880 --> 00:02:08.080]  我也很簡單介紹一下我們的工作
[00:02:08.080 --> 00:02:10.800]  我們的工作其實就是
[00:02:10.800 --> 00:02:12.080]  咦
[00:02:12.080 --> 00:02:17.120]  Charles 啊
[00:02:17.120 --> 00:02:18.320]  Charles 說advance不到的
[00:02:18.320 --> 00:02:20.480]  為什麼 Charles
[00:02:20.480 --> 00:02:22.000]  應該說advance不到的
[00:02:22.000 --> 00:02:24.720]  Page down 你說不行
[00:02:24.720 --> 00:02:26.240]  我的cursor在裡面
[00:02:26.240 --> 00:02:27.520]  是不是
[00:02:27.520 --> 00:02:28.560]  不是
[00:02:28.560 --> 00:02:34.560]  啊 為什麼剛才你沒有去哪個按鈕
[00:02:34.560 --> 00:02:35.600]  哦 Page down
[00:02:35.600 --> 00:02:36.880]  不是這個按鈕
[00:02:36.880 --> 00:02:37.600]  不是不是
