
[00:00:00.000 --> 00:00:06.000]  大家好,我是加拿大建造中心的總幹事陸昭敏牧師。
[00:00:06.000 --> 00:00:13.000]  歡迎世界各地的弟兄姊妹今天晚上來參加我們這個西經的講座。
[00:00:13.000 --> 00:00:17.000]  上個禮拜我們已經舉行了這個講座的粵語的部分,
[00:00:17.000 --> 00:00:19.000]  這個十分成功的一個聚會。
[00:00:19.000 --> 00:00:24.000]  所以今天晚上我們就用普通話國語再做一次。
[00:00:24.000 --> 00:00:29.000]  我代表建造中心歡迎大家今天晚上的到來。
[00:00:29.000 --> 00:00:34.000]  現在疫情深深影響我們的地球,
[00:00:34.000 --> 00:00:36.000]  但從這個講座的報名來說,
[00:00:36.000 --> 00:00:40.000]  我看見神的兒女們仍然沒有被疫情打倒,
[00:00:40.000 --> 00:00:43.000]  仍然是喜愛上帝的話。
[00:00:43.000 --> 00:00:50.000]  加拿大建造中心是以加拿大多倫多為基地的一個神學教育機構,
[00:00:50.000 --> 00:00:54.000]  但通過今次使用Zoom的轉播,
[00:00:54.000 --> 00:00:58.000]  則能讓全球的弟兄姊妹能夠認識我們。
[00:00:58.000 --> 00:01:01.000]  我鼓勵你瀏覽我們的網站,
[00:01:01.000 --> 00:01:05.000]  就是www.abs.org,
[00:01:05.000 --> 00:01:11.000]  Facebook就是The Alliance Bible Seminary Centre of Canada,
[00:01:11.000 --> 00:01:14.000]  就能知道我們最新的狀況。
[00:01:14.000 --> 00:01:19.000]  這一次是我們第一次舉辦國語的講座,
[00:01:19.000 --> 00:01:24.000]  我們經驗不太夠,難免有一點錯漏,請大家見諒。
[00:01:24.000 --> 00:01:28.000]  為了比較方便下一次的運作,
[00:01:28.000 --> 00:01:32.000]  我們在微信WeChat裡面已經設立了一個群組,
[00:01:32.000 --> 00:01:37.000]  叫"ABSCC加拿大建造中心",
[00:01:37.000 --> 00:01:42.000]  所以大家可以在你收到的電郵裡面有一個二維碼,
[00:01:42.000 --> 00:01:47.000]  通過這個二維碼就能夠直接進入到我們這個群組裡面,
[00:01:47.000 --> 00:01:52.000]  歡迎大家加入我們的群組。
[00:01:52.000 --> 00:01:57.000]  今天晚上我們的講座的講員是何啟明牧師,
[00:01:57.000 --> 00:02:01.000]  何牧師是香港建造神水園的老師,
[00:02:01.000 --> 00:02:07.000]  建造神水園是我們建造中心最堅強的一個後盾,
[00:02:07.000 --> 00:02:11.000]  他們的老師經常與我們合作。
[00:02:11.000 --> 00:02:16.000]  今天晚上這一次是我們一個系列的講座的第一講,
[00:02:16.000 --> 00:02:21.000]  就是從聖經書卷裡面看生命實踐的一個系列,
[00:02:21.000 --> 00:02:27.000]  很高興何牧師能夠與我們分享他對以色列記憶的一個心得,
[00:02:27.000 --> 00:02:33.000]  特別在疫情底下,我們真需要看到曙光。
[00:02:33.000 --> 00:02:35.000]  我們不耽誤大家的時間了,
[00:02:35.000 --> 00:02:39.000]  現在有請何啟明牧師開始今天晚上的講座。
[00:02:39.000 --> 00:02:41.000]  何牧師,你來。
[00:02:41.000 --> 00:02:46.000]  好。弟兄姐妹,你們看不看見我啊?
