
[00:00:00.000 --> 00:00:03.320]  歡迎大家來到今晚的悉京講座
[00:00:03.320 --> 00:00:07.760]  這個悉京講座是我們在疫情期間第二次進行的
[00:00:07.760 --> 00:00:11.640]  第一次是何啟明牧師的《醫師貼記》
[00:00:11.640 --> 00:00:15.000]  今晚我們轉到另一個話題
[00:00:15.000 --> 00:00:18.120]  就是尼熙米記
[00:00:18.120 --> 00:00:21.400]  這兩個講題都有一個共通點
[00:00:21.400 --> 00:00:25.640]  就是我們上次用一個神話
[00:00:25.640 --> 00:00:29.720]  在神書卷裏面看一些問題
[00:00:29.720 --> 00:00:32.800]  很感謝大家來到當中
[00:00:32.800 --> 00:00:38.080]  可能有些觀眾未必知道加拿大建立中心是甚麼
[00:00:38.080 --> 00:00:41.280]  我簡單介紹一下就不浪費大家時間
[00:00:41.280 --> 00:00:44.240]  我們是在加拿大為基礎
[00:00:44.240 --> 00:00:49.360]  在多倫多為基礎的一個神學教育機構
[00:00:49.360 --> 00:00:53.360]  我們有很多不同類型的活動
[00:00:53.360 --> 00:00:55.160]  其中一個活動就是講座
[00:00:55.160 --> 00:00:57.880]  亦有一些課程
[00:00:57.880 --> 00:01:04.600]  包括普通訊號的訊號進修課程
[00:01:04.600 --> 00:01:08.680]  還有由香港見到老師過來多倫多
[00:01:08.680 --> 00:01:15.600]  授課的文憑甚至是師範課程
[00:01:15.600 --> 00:01:21.280]  這次疫情令我們有一個很大的改變
[00:01:21.280 --> 00:01:26.120]  我們嘗試用Zoom的平台來廣播
[00:01:26.120 --> 00:01:31.040]  讓全球的弟兄姊妹都能夠認識我們
[00:01:31.040 --> 00:01:34.720]  我想我就不浪費時間介紹太多的東西
[00:01:34.720 --> 00:01:37.400]  如果弟兄姊妹不太認識我們的工作
[00:01:37.400 --> 00:01:39.680]  請你瀏覽我們的網站
[00:01:39.680 --> 00:01:47.120]  我們的網站是www.abscc.org
[00:01:47.120 --> 00:01:49.400]  如果你去Facebook的話
[00:01:49.400 --> 00:01:56.600]  你會看到The Alliance Bible Seminary Center of Canada
[00:01:56.600 --> 00:02:00.200]  就會知道我們一切的工作
[00:02:00.200 --> 00:02:05.160]  今晚我要介紹一下一個講員
[00:02:05.160 --> 00:02:06.680]  就是陳耀鵬牧師
[00:02:06.680 --> 00:02:16.440]  陳耀鵬牧師是香港見到神學院退休前的副院長
[00:02:16.440 --> 00:02:19.600]  大家報名的時候已經看到他的資歷
[00:02:19.600 --> 00:02:21.480]  非常豐厚的
[00:02:21.480 --> 00:02:25.120]  非常豐富的學會經驗和教學經驗
[00:02:25.120 --> 00:02:29.040]  我想在這裡我不會花太多時間去介紹
[00:02:29.040 --> 00:02:33.960]  我只可以說很感謝上一次的何牧師
[00:02:33.960 --> 00:02:34.880]  在五月的時候
[00:02:34.880 --> 00:02:37.080]  今次就是陳牧師
[00:02:37.080 --> 00:02:38.360]  在八月的時候
[00:02:38.360 --> 00:02:40.000]  我們就有郭奕雲牧師
[00:02:40.000 --> 00:02:44.080]  開始跟我們講一個新的講座
[00:02:44.080 --> 00:02:53.800]  這個是我們從聖經書卷看生命實踐系列的三個講座
[00:02:53.800 --> 00:02:58.520]  都是三位退休後見到神學院的中天分子
[00:02:58.520 --> 00:03:01.520]  跟我們講這些講座
[00:03:01.520 --> 00:03:06.200]  今晚陳牧師會用利希米技來講這個題目
[00:03:06.200 --> 00:03:08.920]  他很有心得
[00:03:08.920 --> 00:03:11.000]  他非常風趣
[00:03:11.000 --> 00:03:13.440]  我不阻大家的時間
[00:03:13.440 --> 00:03:17.440]  就將以下的時段交給陳牧師
[00:03:17.440 --> 00:03:20.800]  我知道有不少弟兄姐妹認識陳牧師
[00:03:20.800 --> 00:03:25.080]  因為耳邊太過熱烈
[00:03:25.080 --> 00:03:26.560]  如果開了咪高峰
[00:03:26.560 --> 00:03:28.960]  根本聽不到任何東西
[00:03:28.960 --> 00:03:30.960]  我有一個建議
[00:03:30.960 --> 00:03:34.560]  就是當陳牧師講完之後
[00:03:34.560 --> 00:03:37.160]  我最後跟大家說再見之後
[00:03:37.160 --> 00:03:39.680]  開放咪高峰給大家
[00:03:39.680 --> 00:03:41.680]  跟陳牧師打招呼
[00:03:41.680 --> 00:03:45.240]  有些不認識陳牧師的可以跟他聊幾句
[00:03:45.240 --> 00:03:48.600]  我想在講座的過程中
[00:03:48.600 --> 00:03:50.600]  我們不會開咪高峰
[00:03:50.600 --> 00:03:53.800]  否則會很吵
[00:03:53.800 --> 00:03:56.040]  在開始給陳牧師之前
[00:03:56.040 --> 00:03:57.280]  我們做一個簡單的祈禱
[00:03:57.280 --> 00:03:59.280]  請大家一起低頭祈禱
[00:03:59.280 --> 00:04:01.880]  我們感謝你
[00:04:01.880 --> 00:04:07.200]  今晚我們第二次機會在網上進行講座
[00:04:07.200 --> 00:04:11.200]  求主你紀念各地區的疫情
[00:04:11.200 --> 00:04:15.520]  讓疫情盡快停止
[00:04:15.520 --> 00:04:18.640]  讓弟兄姐妹恢復正常
[00:04:18.640 --> 00:04:22.680]  我們在這個時候願意花多點時間
[00:04:22.680 --> 00:04:24.120]  花多點心思
[00:04:24.120 --> 00:04:27.120]  在網上學習
[00:04:27.120 --> 00:04:29.120]  今晚我們學習的機會
