
[00:00:00.000 --> 00:00:06.000]  大家好,我是加拿大建造中心的總幹事,陸小明牧師
[00:00:06.000 --> 00:00:10.000]  在這裡我們歡迎世界各地的弟兄姊妹
[00:00:10.000 --> 00:00:14.000]  今晚來到這個《識經》講座
[00:00:14.000 --> 00:00:18.000]  我們真的沒有經驗,從未試過報名的人數這麼多
[00:00:18.000 --> 00:00:21.000]  超過300位,我也不知道怎麼處理
[00:00:21.000 --> 00:00:30.000]  超乎我們預期,打破了以前加拿大建造中心任何一個講座的參加人數
[00:00:30.000 --> 00:00:32.000]  真的很感謝
[00:00:32.000 --> 00:00:36.000]  我們知道疫情是很深深影響世界各地
[00:00:36.000 --> 00:00:40.000]  但是從今次講座報名的情況來看
[00:00:40.000 --> 00:00:45.000]  我們覺得神的兒女始終沒有被疫情所打倒
[00:00:45.000 --> 00:00:49.000]  反而更加愛慕神的兒女
[00:00:49.000 --> 00:00:54.000]  因為大家現在進入這個聚會
[00:00:54.000 --> 00:00:58.000]  有很多弟兄姊妹都不知道加拿大建造中心是什麼
[00:00:58.000 --> 00:01:00.000]  我們略略講一下
[00:01:00.000 --> 00:01:04.000]  加拿大建造中心是以多倫多為基地
[00:01:04.000 --> 00:01:08.000]  多倫多是一個神學機構
[00:01:08.000 --> 00:01:11.000]  今次通過Zoom的轉播
[00:01:11.000 --> 00:01:15.000]  讓全球的弟兄姊妹都能夠認識我們
[00:01:15.000 --> 00:01:17.000]  我個人很鼓勵大家
[00:01:17.000 --> 00:01:19.000]  如現在在螢光幕看到
[00:01:19.000 --> 00:01:21.000]  到我們的網站
[00:01:21.000 --> 00:01:23.000]  abscc.org
[00:01:23.000 --> 00:01:26.000]  就會看到我們最新的發展
[00:01:26.000 --> 00:01:29.000]  Facebook的Fan Page
[00:01:29.000 --> 00:01:31.000]  Alliance Bible Seminary
[00:01:31.000 --> 00:01:33.000]  Centre of Canada
[00:01:33.000 --> 00:01:38.000]  歡迎大家以後有機會進入我們的網站去看
[00:01:38.000 --> 00:01:41.000]  我要介紹一下講員
[00:01:41.000 --> 00:01:44.000]  今晚講員是何啟明牧師
[00:01:44.000 --> 00:01:47.000]  他是香港建造神學院的老師
[00:01:47.000 --> 00:01:52.000]  建造神學院是我們建造中心最堅強的後盾
[00:01:52.000 --> 00:01:56.000]  建造的老師經常與我們有合作
[00:01:56.000 --> 00:01:59.000]  雖然我們分隔幾千里
[00:01:59.000 --> 00:02:05.000]  今次很榮幸請到何牧師來幫助我們講講座
[00:02:05.000 --> 00:02:07.000]  今晚的講座
[00:02:07.000 --> 00:02:10.000]  其實是有一個題目給他的
[00:02:10.000 --> 00:02:12.000]  有一個標題
[00:02:12.000 --> 00:02:15.000]  就是從聖經書卷裏面
[00:02:15.000 --> 00:02:17.000]  從聖經書卷裏面
[00:02:17.000 --> 00:02:21.000]  看生命實踐系列的其中一個
[00:02:21.000 --> 00:02:23.000]  我們會陸續有另外兩講
[00:02:23.000 --> 00:02:27.000]  在七月和八月的時間會推出
[00:02:27.000 --> 00:02:29.000]  今晚是第一講
[00:02:29.000 --> 00:02:32.000]  我很高興找到何牧師來跟我們分享
[00:02:32.000 --> 00:02:35.000]  他對耳屍貼記的心得
[00:02:35.000 --> 00:02:38.000]  特別是在這個疫情底下
[00:02:38.000 --> 00:02:42.000]  讓我們真的能夠看到有曙光
[00:02:42.000 --> 00:02:44.000]  當疫情越來越嚴重的時候
[00:02:44.000 --> 00:02:47.000]  我們要看曙光才有希望
[00:02:47.000 --> 00:02:49.000]  不耽誤大家的時間
[00:02:49.000 --> 00:02:54.000]  現在請何牧師跟我們講今晚的講題
[00:02:54.000 --> 00:02:56.000]  陰霾之下的事
[00:02:56.000 --> 00:02:58.000]  何牧師帶我們做一個祈禱好嗎?
[00:02:58.000 --> 00:02:59.000]  好啊好啊好啊
[00:02:59.000 --> 00:03:01.000]  我們先做一個祈禱
[00:03:01.000 --> 00:03:03.000]  大家一起做一個祈禱
