
[00:00:00.000 --> 00:00:07.500]  各位世界各地的弟兄姊妹,你們好!
[00:00:07.500 --> 00:00:14.500]  今晚是加拿大建造中心舉行的一個免費的網上講座
[00:00:14.500 --> 00:00:19.500]  我是建造中心的總負責人,陸昭明牧師
[00:00:19.500 --> 00:00:25.000]  我謹代表加拿大建造中心感謝大家今天的來臨
[00:00:25.000 --> 00:00:29.500]  我們又回到疫情嚴峻的情況下
[00:00:29.500 --> 00:00:34.500]  不知是否因為這個原因,又多了人來參加今晚的聚會
[00:00:34.500 --> 00:00:36.500]  非常歡迎大家
[00:00:36.500 --> 00:00:43.500]  今晚的講座時間是比較準確的
[00:00:43.500 --> 00:00:47.500]  8點開始至9點15分
[00:00:47.500 --> 00:00:52.500]  我們按電腦時間辦事
[00:00:52.500 --> 00:01:04.500]  今晚的講座請來香港建造神學院的新約教授葉應林博士主講
[00:01:04.500 --> 00:01:10.500]  題目在螢光幕上,大家也看到
[00:01:10.500 --> 00:01:18.500]  題目是「盡頭見耶穌」,肥立比書的「盼望被給」
[00:01:18.500 --> 00:01:20.500]  我們是否已經去到盡頭呢?
[00:01:20.500 --> 00:01:26.500]  在現在疫情的狀態下,似乎大家都很洩氣
[00:01:26.500 --> 00:01:32.500]  大家都覺得這個世界是否已經到了末日的狀態呢?
[00:01:32.500 --> 00:01:38.500]  但不要緊,我們有主,有耶穌可以幫我們解決很多問題
[00:01:38.500 --> 00:01:42.500]  在未開始講座之前
[00:01:42.500 --> 00:01:48.500]  請工作人員到第二張slide
[00:01:48.500 --> 00:01:52.500]  請Charles幫忙到第二張slide
[00:01:52.500 --> 00:02:00.500]  第二張slide會講到我們加拿大建構中心的聯絡方式
[00:02:00.500 --> 00:02:04.500]  請工作人員到第二張slide
[00:02:04.500 --> 00:02:06.500]  Charles或Benson
[00:02:06.500 --> 00:02:19.500]  我們有一個網站,www.abscc.org
[00:02:19.500 --> 00:02:24.500]  網站詳細講解我們加拿大建構中心的工作
[00:02:24.500 --> 00:02:27.500]  我們基本上是一個神學教育機構
[00:02:27.500 --> 00:02:32.500]  我們總部在多倫多這個地方
[00:02:32.500 --> 00:02:36.500]  疫情下,我們的抗戰業務已經越來越廣泛
[00:02:36.500 --> 00:02:42.500]  不單止在多倫多,在加拿大很多地區,很多省份
[00:02:42.500 --> 00:02:46.500]  我們都有學生來修讀我們的課程
[00:02:46.500 --> 00:02:52.500]  歡迎大家到我們的網站去看我們的內容
[00:02:52.500 --> 00:02:56.500]  我不想花太多時間講解
[00:02:56.500 --> 00:02:59.500]  網站會告訴大家
[00:02:59.500 --> 00:03:02.500]  我們在Facebook有一個Fanpage
[00:03:02.500 --> 00:03:07.500]  如果在Facebook打Alliance Bible Seminary, Centre of Canada
[00:03:07.500 --> 00:03:10.500]  又會去到我們那裡,可以看到
[00:03:10.500 --> 00:03:14.500]  今天我們很高興請到葉博士來
[00:03:14.500 --> 00:03:18.500]  他會有些slide放給大家看
[00:03:18.500 --> 00:03:22.500]  希望大家都喜歡
[00:03:22.500 --> 00:03:26.500]  葉博士,現在可以多講一點
[00:03:26.500 --> 00:03:31.500]  葉博士是新晉的建築神學院新約老師
[00:03:31.500 --> 00:03:36.500]  非常年輕,我們很榮幸請到他來
[00:03:36.500 --> 00:03:41.500]  因為他的工作非常繁忙,新約的老師越來越少
[00:03:41.500 --> 00:03:45.500]  他可以抽時間來,我們很感謝他
[00:03:45.500 --> 00:03:47.500]  我不再繼續講下去
[00:03:47.500 --> 00:03:52.500]  我們將以下的時間交給葉博士
[00:03:52.500 --> 00:03:56.500]  他的英文名是Scott,Scott Yip
[00:03:56.500 --> 00:04:00.500]  我講的應該到這裡為止
[00:04:00.500 --> 00:04:05.500]  不如請Scott打開你的video
[00:04:05.500 --> 00:04:08.500]  開始今晚的講座
[00:04:08.500 --> 00:04:11.500]  我們恭請葉博士
[00:04:11.500 --> 00:04:16.500]  好,謝謝盧牧師
[00:04:16.500 --> 00:04:18.500]  請問大家聽到嗎?
[00:04:18.500 --> 00:04:19.500]  聽到
[00:04:19.500 --> 00:04:21.500]  聽到,好
[00:04:21.500 --> 00:04:24.500]  多謝加拿大建築中心的邀請
[00:04:24.500 --> 00:04:29.500]  各位弟兄姊妹,向大家問安
[00:04:29.500 --> 00:04:35.500]  我也不肯定應該叫晚安、早晨、午安還是怎樣
[00:04:35.500 --> 00:04:38.500]  因為我們都是在不同的時區
[00:04:38.500 --> 00:04:42.500]  剛才盧牧師介紹我,十分非常年輕
[00:04:42.500 --> 00:04:47.500]  聽到的時候我也有少許懷疑
[00:04:47.500 --> 00:04:49.500]  我是否真的非常年輕
[00:04:49.500 --> 00:04:52.500]  在盧牧師眼前,我也有少許年輕
[00:04:52.500 --> 00:04:57.500]  多謝各位參加今晚的講座
[00:04:57.500 --> 00:05:02.500]  今晚的題目是盡頭見耶穌
[00:05:02.500 --> 00:05:05.500]  菲勒比書的盼望秘訣
[00:05:05.500 --> 00:05:12.500]  我自己的PhD博士論文的研究範圍就是菲勒比書
[00:05:12.500 --> 00:05:22.500]  加上我是用敘事神學的研究人的經驗的角度
[00:05:22.500 --> 00:05:26.500]  去理解生命轉變的過程
[00:05:26.500 --> 00:05:32.500]  所以盼望作為一個人類的經驗
[00:05:32.500 --> 00:05:36.500]  其實是一個我很有興趣的題目
[00:05:36.500 --> 00:05:40.500]  在今日的投影片中
[00:05:40.500 --> 00:05:45.500]  我會圍繞這個主題和大家探討
[00:05:45.500 --> 00:05:50.500]  除了平時大家可以繼續上加拿大建立中心的Fanpage之外
[00:05:50.500 --> 00:05:53.500]  如果你經過了今晚之後
[00:05:53.500 --> 00:05:57.500]  想了解我的解經或神學更多
[00:05:57.500 --> 00:06:02.500]  你可以在Facebook、IG或上網站
[00:06:02.500 --> 00:06:06.500]  Narrating God 去了解更多
[00:06:06.500 --> 00:06:11.500]  之後希望可以和大家保持聯絡
[00:06:11.500 --> 00:06:17.500]  在講座的題目中
