
[00:00:00.000 --> 00:00:04.000]  希望大家聽得到我的聲音。
[00:00:04.000 --> 00:00:17.000]  今天晚上是我們國語的部分第二次的講座,是從何時要修看婚姻的關係。
[00:00:17.000 --> 00:00:29.000]  也許有些人是第一次到我們中間的,所以我很簡單介紹一下,加拿大建大中心是什麼一個機構。
[00:00:29.000 --> 00:00:38.000]  其實我們是一個身處加拿大多倫多作為基地的神學教育機構。
[00:00:38.000 --> 00:00:49.000]  這次我們使用Zoom來搞這個講座,是我們回應在疫情底下,弟兄姊妹對聖經的要求。
[00:00:49.000 --> 00:01:05.000]  我們就努力找合適的講員給我們講這個專題。我們這個專題是叫從聖經的書卷看生命實踐的一個系列。
[00:01:05.000 --> 00:01:21.000]  我們曾經搞過儀式鐵跡,彌西彌跡,今天晚上是何時要修。我們陸陸續續會在技術舉辦這一類的講座。
[00:01:21.000 --> 00:01:29.000]  所以歡迎弟兄姊妹以後也常到我們的網站裡面看看我們最新的消息。
[00:01:29.000 --> 00:01:39.000]  請同工們放出我們的另外一個slide好不好。這是我們的地址,是在Walden and Steele的部分。
[00:01:39.000 --> 00:01:44.000]  很容易找到,是一個非常交通方便的地方。
[00:01:44.000 --> 00:01:56.000]  這裡下一張,下一張的slide就有我們的網站的地址,還有我們在Facebook裡面的Fanpage,也是在這裡列出來。
[00:01:56.000 --> 00:02:03.000]  歡迎大家有時間就到我們的網站,你會知道我們最新的發展是怎麼樣。
[00:02:03.000 --> 00:02:11.000]  我們在加拿大建造中心與香港建造神學院是有一個非常多的合作的關係。
[00:02:11.000 --> 00:02:22.000]  其實建造神學院是我們建造中心一個最堅強的後盾。建造神學院的很多老師經常到我們中間來教書的。
[00:02:22.000 --> 00:02:35.000]  所以這一次的講員是郭奕宏牧師,其實也是建造神學院裡面的拓展部的總監。
[00:02:35.000 --> 00:02:47.000]  他剛剛退休,我可以告訴大家,他根本沒有退休,現在還有很多工作,不過轉移到北美,到他的家裡面,他的家是在Kitchen。
[00:02:47.000 --> 00:03:02.000]  郭牧師是一個非常專業的輔導員。所以今天他講這個講座,其實是他最專門的一個講座。
[00:03:02.000 --> 00:03:14.000]  所以希望大家都喜歡,我們就用和西亞書作為一個起點,談到如何去應用書卷裡面,看看婚姻關係是怎麼一回事。
[00:03:14.000 --> 00:03:27.000]  我們現在就歡迎郭奕宏牧師,今天晚上的講座大概是小於一個小時。請大家都能夠一直到底的聽郭牧師的講座。
[00:03:27.000 --> 00:03:34.000]  謝謝大家,等一下完了以後,我再跟大家有一點點的報告。郭牧師,現在是你的時間。
[00:03:34.000 --> 00:03:48.000]  弟兄姐妹平安,謝謝你們給我這個機會。想不到我們可以在這個平台上,可能在世界不同的地方,我們都可以見面來分享。
[00:03:48.000 --> 00:04:03.000]  這次能夠在你們當中,特別感謝郭牧師給我的機會。當然對於講普通話的弟兄姐妹來說,是一個很大的挑戰。
[00:04:03.000 --> 00:04:15.000]  所以現在我有41位在這邊,當我講到一半,剩下10個我也不會失望,因為我知道可能你聽不懂,說不定你要跑了。
[00:04:15.000 --> 00:04:27.000]  隨便,放心你們都是神的恩典,讓我們一起來學習吧。我對中國國內的施工也是特別給我很大的負擔。
[00:04:27.000 --> 00:04:34.000]  所以想不到來到北美,還是同樣可以用普通話來服侍,也是感謝主的。
[00:04:34.000 --> 00:04:43.000]  我先開我今天晚上的PowerPoint,這是今天晚上的。
[00:04:43.000 --> 00:04:51.000]  今天晚上我們大概用50分鐘的時間,來跟弟兄姐妹分享一下,從荷西亞書來看婚姻的關係。
[00:04:51.000 --> 00:05:06.000]  這個是比較困難的一個課題,因為在短短的50分鐘要講《借卷的小仙之書》,比較多的難題在裡面。
[00:05:06.000 --> 00:05:14.000]  特別很多人都在問,讀這本書的時候,通常都會問一個問題,借卷書是真的還是假的呢?
[00:05:14.000 --> 00:05:23.000]  真的假的,是講到這個故事是真的還是假的呢?有荷西亞的仙之的經歷,那麼是真的嗎?
[00:05:23.000 --> 00:05:28.000]  這些課題都是相當有爭議性的。
[00:05:28.000 --> 00:05:38.000]  當然從福音派的教會,從福音的神學來看,我們是比較清楚的,知道我們的立場在哪裡。
[00:05:38.000 --> 00:05:46.000]  所以在短短時間我不能夠將整本荷西亞書14章裡面講完它。
[00:05:46.000 --> 00:05:53.000]  但是我會先提一些基本上對借卷書的背景,我們先了解一下。
[00:05:53.000 --> 00:05:57.000]  了解以後,有一兩個課題我們來討論。
[00:05:57.000 --> 00:06:05.000]  然後我就將借卷書裡面最常被關注的一點事情,就是婚姻的事情,婚姻的關係。
[00:06:05.000 --> 00:06:22.000]  因為借卷書留給我們一個很大的爭議,就是究竟是不是一個淫亂的人,或者在婚姻裡面很多是錯的人,那麼神還是要使用他。
