
[00:00:00.000 --> 00:00:04.000]  是高博士的最新著作《你的名字》
[00:00:04.000 --> 00:00:09.000]  詳細情況我們會等到高博士的訊息分享後
[00:00:09.000 --> 00:00:12.000]  再加以宣佈
[00:00:12.000 --> 00:00:16.000]  以下我們有一個短片,兩分鐘
[00:00:16.000 --> 00:00:22.000]  簡單介紹加拿大建導中心的由來和現況
[00:00:22.000 --> 00:00:24.000]  以供大家認識我們
[00:00:24.000 --> 00:00:27.000]  在事之前我們先作一個祈禱
[00:00:27.000 --> 00:00:29.000]  請大家一起低頭祈禱
[00:00:29.000 --> 00:00:35.000]  親愛的主耶穌,我們滿心感謝祢
[00:00:35.000 --> 00:00:39.000]  我們能夠存留在世上,真是祢的恩典
[00:00:39.000 --> 00:00:44.000]  我們今晚聚集,為加拿大建導中心
[00:00:44.000 --> 00:00:47.000]  做一個網上籌款活動的時候
[00:00:47.000 --> 00:00:52.000]  我們不要忘記,祢仍然是帥領我們那位主
[00:00:52.000 --> 00:00:57.000]  叫我們在疫情底下,不會下台
[00:00:57.000 --> 00:01:00.000]  也不會失去朝氣
[00:01:00.000 --> 00:01:04.000]  而是看到天上的主怎樣一直拖帶我們
[00:01:04.000 --> 00:01:07.000]  渡過一切艱難的時候
[00:01:07.000 --> 00:01:10.000]  因為你是信實那位主
[00:01:10.000 --> 00:01:15.000]  你在歷世歷代,仍然是在天上的那位主
[00:01:15.000 --> 00:01:19.000]  求主幫助我們藉助今晚的訊息
[00:01:19.000 --> 00:01:22.000]  能夠更加堅強我們對祢的信靠
[00:01:22.000 --> 00:01:24.000]  好讓我們真的明白到
[00:01:24.000 --> 00:01:28.000]  跟隨這位主,實在是我們一生人的福氣
[00:01:28.000 --> 00:01:31.000]  求主因代我們今晚的所有程序
[00:01:31.000 --> 00:01:33.000]  特別是當我們要用科技
[00:01:33.000 --> 00:01:36.000]  作全球的轉播的時候
[00:01:36.000 --> 00:01:39.000]  真的要保守科技順暢
[00:01:39.000 --> 00:01:42.000]  我們簡單的禱告,是奉耶穌基督的名頭
[00:01:42.000 --> 00:01:43.000]  阿門,阿門
[00:01:43.000 --> 00:01:46.000]  請大家現在看一個短片
[00:01:47.000 --> 00:01:51.000]  《信徒領袖》
[00:01:51.000 --> 00:02:00.000]  在上世紀八十年代
[00:02:00.000 --> 00:02:03.000]  由於大量的華人移居北美
[00:02:03.000 --> 00:02:06.000]  華人教會也陸續被建立起來
[00:02:06.000 --> 00:02:09.000]  信徒領袖期待能夠在公餘時間
[00:02:09.000 --> 00:02:11.000]  修讀廣東話的神學課程
[00:02:11.000 --> 00:02:13.000]  有見感業
[00:02:13.000 --> 00:02:16.000]  香港建道神學院與加東校友會合作
[00:02:16.000 --> 00:02:19.000]  成立加拿大建道中心
[00:02:19.000 --> 00:02:22.000]  到現在已經三十年了
[00:02:22.000 --> 00:02:25.000]  初期的建道中心主要是定期提供
[00:02:25.000 --> 00:02:28.000]  要許和現身的課程
[00:02:28.000 --> 00:02:32.000]  為加拿大的華人信徒提供基本的神學教育
[00:02:32.000 --> 00:02:36.000]  因應信徒對於更加進深的神學教育渴求日增
[00:02:36.000 --> 00:02:41.000]  建道中心在2009年正式開辦神學文憑課程
[00:02:41.000 --> 00:02:45.000]  同時更以視像同步授課的方式
[00:02:45.000 --> 00:02:48.000]  在多倫多以外的城市授課
[00:02:48.000 --> 00:02:51.000]  為當地的信徒提供神學訓練
[00:02:51.000 --> 00:02:56.000]  現在建道中心提供不同程度的神學課程
[00:02:56.000 --> 00:02:58.000]  裝備信徒領袖
[00:02:58.000 --> 00:03:01.000]  並且定期舉辦專題講座
[00:03:01.000 --> 00:03:05.000]  探討聖經真理如何實踐信仰
[00:03:05.000 --> 00:03:10.000]  盼望信徒能夠在日常生活中活出基督的樣式
[00:03:10.000 --> 00:03:15.000]  我們堅守以訓練信徒領袖是建道中心的使命
[00:03:15.000 --> 00:03:19.000]  期望透過進深而有系統的教導
[00:03:19.000 --> 00:03:23.000]  訓練出適切教會需要的信徒領袖
[00:03:23.000 --> 00:03:26.000]  從而幫助華人教會推動事工
[00:03:26.000 --> 00:03:29.000]  拓展神的角度
[00:03:29.000 --> 00:03:42.000]  (音樂)
[00:03:42.000 --> 00:03:45.000]  希望大家看到我們的短片
[00:03:45.000 --> 00:03:48.000]  現在我想和大家交代一下
[00:03:48.000 --> 00:03:52.000]  加拿大建道中心在未來一年的計劃
[00:03:52.000 --> 00:03:54.000]  在未來一年裡
[00:03:54.000 --> 00:03:57.000]  我們的工作重點是會推介一個新的課程
[00:03:57.000 --> 00:04:00.000]  就是由香港建道神學院
[00:04:00.000 --> 00:04:05.000]  建立的聖經研究文學碩士海外課程
[00:04:05.000 --> 00:04:09.000]  由我們建道中心負責協助推出
[00:04:09.000 --> 00:04:11.000]  大家都認同
[00:04:11.000 --> 00:04:14.000]  聖經是我們信仰的核心部分
[00:04:14.000 --> 00:04:18.000]  信徒如果認真去做耶穌的門徒
[00:04:18.000 --> 00:04:21.000]  必須通過研習聖經
[00:04:21.000 --> 00:04:24.000]  來明白上帝對我們的心意
[00:04:24.000 --> 00:04:27.000]  因此我們認為這個課程十分適合
[00:04:27.000 --> 00:04:32.000]  有心追求認識神的信徒們去修讀
[00:04:32.000 --> 00:04:35.000]  我們會以廣東話授課
[00:04:35.000 --> 00:04:40.000]  但提交作業時可以用中文或英文
