
[00:00:00.000 --> 00:00:02.980]  今天的經份是記載在
[00:00:02.980 --> 00:00:07.520]  《馬太福音》六章五至十五節
[00:00:07.520 --> 00:00:12.660]  是你們手上聖經新約部分七至八頁
[00:00:12.660 --> 00:00:16.660]  聖經這樣記載
[00:00:16.660 --> 00:00:20.300]  「你們禱告的時候
[00:00:20.300 --> 00:00:23.660]  不可像那假冒為善的人
[00:00:23.660 --> 00:00:28.800]  愛站在會堂裡和十字路口上禱告
[00:00:28.800 --> 00:00:31.300]  故意叫人看見
[00:00:31.300 --> 00:00:33.800]  我實在告訴你們
[00:00:33.800 --> 00:00:37.800]  他們已經得了他們的獎賞
[00:00:37.800 --> 00:00:39.800]  你禱告的時候
[00:00:39.800 --> 00:00:43.800]  要進你的內屋關上門
[00:00:43.800 --> 00:00:46.300]  禱告你在暗中的父
[00:00:46.300 --> 00:00:51.300]  你父在暗中察看必然報答你
[00:00:51.300 --> 00:00:52.800]  你們禱告
[00:00:52.800 --> 00:00:54.800]  不可像外邦人
[00:00:54.800 --> 00:00:57.300]  用許多重覆話
[00:00:57.300 --> 00:01:01.800]  他們以為話多了必蒙誰聽
[00:01:01.800 --> 00:01:04.300]  你們不可效法他們
[00:01:04.300 --> 00:01:07.800]  因為你們沒有祈求以先
[00:01:07.800 --> 00:01:09.800]  你們所需用的
[00:01:09.800 --> 00:01:12.800]  你們的父早已知道了
[00:01:12.800 --> 00:01:17.300]  所以你們禱告要這樣說
[00:01:17.300 --> 00:01:20.300]  我們在天上的父
[00:01:20.300 --> 00:01:23.300]  願人都尊你的名為聖
[00:01:23.300 --> 00:01:25.300]  願你的國降臨
[00:01:25.300 --> 00:01:28.300]  願你的旨意行在地上
[00:01:28.300 --> 00:01:30.800]  如同行在天上
[00:01:30.800 --> 00:01:33.300]  我們日用的飲食
[00:01:33.300 --> 00:01:35.300]  今日賜給我們
[00:01:35.300 --> 00:01:37.300]  免我們的債
[00:01:37.300 --> 00:01:39.800]  如同我們免了人的債
[00:01:39.800 --> 00:01:42.800]  不叫我們遇見試探
[00:01:42.800 --> 00:01:45.300]  救我們脫離凶惡
[00:01:45.300 --> 00:01:49.300]  因為國道、權柄、榮耀
