
[00:00:00.000 --> 00:00:02.000]  這次真是讀經的時候了
[00:00:02.000 --> 00:00:07.040]  《雅各書》第一章十九至二十七節
[00:00:07.040 --> 00:00:09.560]  新約聖經三百二十一頁
[00:00:09.560 --> 00:00:11.560]  接著請聽我讀
[00:00:11.560 --> 00:00:14.720]  聽道和行道
[00:00:14.720 --> 00:00:16.720]  我親愛的弟兄們
[00:00:16.720 --> 00:00:19.160]  這是你們所知道的
[00:00:19.160 --> 00:00:22.480]  但你們各人要快快的聽
[00:00:22.480 --> 00:00:23.880]  慢慢的說
[00:00:23.880 --> 00:00:25.520]  慢慢的動腦
[00:00:25.520 --> 00:00:30.720]  因為人的怒氣並不成就神的義
[00:00:30.720 --> 00:00:36.400]  所以你們要脫去一切的污穢和盈餘的邪惡
[00:00:36.400 --> 00:00:40.560]  全溫柔的心領受那所栽種的道
[00:00:40.560 --> 00:00:43.600]  就是能救你們靈魂的道
[00:00:43.600 --> 00:00:45.600]  第二十二節
[00:00:45.600 --> 00:00:47.600]  只是你們要行道
[00:00:47.600 --> 00:00:49.600]  不要單單聽道
[00:00:49.600 --> 00:00:51.600]  自己欺控自己
[00:00:51.600 --> 00:00:53.600]  因為聽道而不行道的
[00:00:53.600 --> 00:00:58.400]  就像人對著鏡子看自己本來的面目
[00:00:58.400 --> 00:01:00.400]  看見走後
[00:01:00.400 --> 00:01:03.400]  隨即忘了他的相貌如何
[00:01:03.400 --> 00:01:09.280]  唯有詳細察看那全被使人自由之律法的
[00:01:09.280 --> 00:01:11.280]  並且事上如此
[00:01:11.280 --> 00:01:14.320]  這人既不是聽了就忘
[00:01:14.320 --> 00:01:16.960]  乃是實在行出來
[00:01:16.960 --> 00:01:20.800]  就在他所行的事上必然得福
[00:01:20.800 --> 00:01:22.000]  二十六節
[00:01:22.000 --> 00:01:25.400]  若有人自以為虔誠
[00:01:25.400 --> 00:01:27.800]  卻不勒住他的舌頭
[00:01:27.800 --> 00:01:29.800]  反欺控自己的心
[00:01:29.800 --> 00:01:32.400]  這人的虔誠是虛的
[00:01:32.400 --> 00:01:34.800]  在神我們的父面前
[00:01:34.800 --> 00:01:38.600]  那清潔沒有玷污的虔誠
[00:01:38.600 --> 00:01:42.600]  就是看顧在患難中的孤兒寡婦
[00:01:42.600 --> 00:01:45.800]  並且保守自己不沾染世俗
[00:01:45.800 --> 00:01:55.000]  (廣東話)
[00:01:55.000 --> 00:01:57.600]  (廣東話)
[00:01:57.600 --> 00:02:01.600]  今天我們繼續第二次宣講《雅各書》
[00:02:01.600 --> 00:02:03.600]  其實剛才讀的經文
[00:02:03.600 --> 00:02:05.600]  我想大家都很熟
[00:02:05.600 --> 00:02:08.200]  聽道行道
[00:02:08.200 --> 00:02:11.400]  《雅各》提醒我們要快快聽
[00:02:11.400 --> 00:02:12.600]  慢慢說
[00:02:12.600 --> 00:02:14.200]  慢慢動腦
[00:02:14.200 --> 00:02:17.600]  其實是說如何聽上帝的道
[00:02:17.600 --> 00:02:19.000]  如果你有留意
[00:02:19.000 --> 00:02:21.400]  可以打開程序表的廣東大綱
[00:02:21.400 --> 00:02:23.800]  十八節這裡也說了
[00:02:23.800 --> 00:02:25.400]  剛才我們沒有讀的
[00:02:25.400 --> 00:02:26.400]  即是上一節
[00:02:26.400 --> 00:02:28.600]  他說「他」即是上帝
[00:02:28.600 --> 00:02:30.600]  「上帝按自己的旨意
[00:02:30.600 --> 00:02:32.800]  用真道生了我們
[00:02:32.800 --> 00:02:35.200]  叫我們在他所做的萬物中
[00:02:35.200 --> 00:02:37.400]  好像初熟的果子」
[00:02:37.400 --> 00:02:38.600]  然後
[00:02:38.600 --> 00:02:41.600]  剛才我們一開始十九節所聽到的經文就是
[00:02:41.600 --> 00:02:43.000]  《雅各》繼續說
[00:02:43.000 --> 00:02:44.800]  這是讀者
[00:02:44.800 --> 00:02:45.800]  即是每一個信徒
[00:02:45.800 --> 00:02:47.800]  已經知道的事情
[00:02:47.800 --> 00:02:52.200]  就是上帝要透過他的真理建立我們
[00:02:52.200 --> 00:02:55.400]  並且他繼續勉勵讀者
[00:02:55.400 --> 00:02:57.600]  當他們去領受真理的時候
[00:02:57.600 --> 00:02:58.800]  要快快的聽
[00:02:58.800 --> 00:03:00.000]  慢慢的說
[00:03:00.000 --> 00:03:01.200]  慢慢的動腦
[00:03:01.200 --> 00:03:02.600]  不過先停在這裡
[00:03:02.600 --> 00:03:04.600]  有少少問題我們要搞清楚
[00:03:04.600 --> 00:03:08.400]  理論上每一個基督徒都渴慕聽不到上帝的真理
[00:03:08.400 --> 00:03:10.000]  對不對?
