
[00:00:00.000 --> 00:00:04.000]  以下以聆聽聖道敬拜上主
[00:00:04.000 --> 00:00:11.000]  今日經費在詩篇69篇1至21節
[00:00:11.000 --> 00:00:18.000]  在教會聖經舊約742至744頁
[00:00:18.000 --> 00:00:21.000]  請聽弟兄讀出
[00:00:21.000 --> 00:00:27.000]  神啊,求祢救我,因為縱水要淹沒我
[00:00:27.000 --> 00:00:32.000]  我陷在深淤泥中,沒有立腳之地
[00:00:32.000 --> 00:00:37.000]  我到了深水中,大水漫過我身
[00:00:37.000 --> 00:00:42.000]  我因呼求困乏,喉嚨發乾
[00:00:42.000 --> 00:00:46.000]  我因等候神,眼睛失明
[00:00:46.000 --> 00:00:50.000]  無辜恨我的比我頭髮還多
[00:00:50.000 --> 00:00:57.000]  無理與我為仇,要把我剪除的甚為強盛
[00:00:57.000 --> 00:01:01.000]  我沒有搶奪的,要叫我償還
[00:01:01.000 --> 00:01:06.000]  神啊,我的愚昧祢原知道
[00:01:06.000 --> 00:01:09.000]  我的罪險不能隱瞞
[00:01:09.000 --> 00:01:14.000]  萬君的主耶和華啊,求祢叫那等候祢的
[00:01:14.000 --> 00:01:16.000]  不要因我蒙羞
[00:01:16.000 --> 00:01:21.000]  以色列的神啊,求祢叫那尋求祢的
[00:01:21.000 --> 00:01:23.000]  不要因我受辱
[00:01:23.000 --> 00:01:29.000]  因為我為祢的緣故受了辱罵,滿面羞愧
[00:01:29.000 --> 00:01:32.000]  我的弟兄看我為外路人
[00:01:32.000 --> 00:01:36.000]  我的同胞看我為外邦人
[00:01:36.000 --> 00:01:41.000]  因我為祢的殿心裡焦急,如同火燒
[00:01:41.000 --> 00:01:47.000]  並且辱罵祢人的辱罵,都落在我身上
[00:01:47.000 --> 00:01:50.000]  我哭泣,以禁食刻苦我心
[00:01:50.000 --> 00:01:53.000]  這倒算為我的羞辱
[00:01:53.000 --> 00:01:59.000]  我罵罵暴動衣裳,就成了他們的笑談
[00:01:59.000 --> 00:02:02.000]  坐在城門口的談論我
[00:02:02.000 --> 00:02:05.000]  酒徒也以我為歌曲
[00:02:05.000 --> 00:02:10.000]  但我在月立的時候,向祢耶和華祈禱
[00:02:10.000 --> 00:02:14.000]  神啊,求祢按祢豐盛的慈愛
[00:02:14.000 --> 00:02:17.000]  憑祢拯救的誠實,應運我
[00:02:17.000 --> 00:02:20.000]  求祢搭救我出來於泥
[00:02:20.000 --> 00:02:23.000]  不叫我陷在其中
[00:02:23.000 --> 00:02:26.000]  求祢使我脫離那些恨我的人
[00:02:26.000 --> 00:02:29.000]  使我出來深水
[00:02:29.000 --> 00:02:32.000]  求祢不用帶水漫過我
[00:02:32.000 --> 00:02:35.000]  不用深淵吞滅我
[00:02:35.000 --> 00:02:39.000]  不用坑坑在我耳上合口
[00:02:39.000 --> 00:02:42.000]  耶和華,求祢應運我
[00:02:42.000 --> 00:02:45.000]  因為祢的慈愛本為美好
[00:02:45.000 --> 00:02:48.000]  求祢按祢豐盛的慈悲
[00:02:48.000 --> 00:02:50.000]  迴轉眷顧我
[00:02:50.000 --> 00:02:53.000]  不要掩面不顧祢的僕人
[00:02:53.000 --> 00:02:56.000]  我是在急難之中
[00:02:56.000 --> 00:02:59.000]  求祢速速的應運我
[00:02:59.000 --> 00:03:02.000]  求祢親近我,救贖我
[00:03:02.000 --> 00:03:05.000]  求祢因我的受敵,把我贖回
[00:03:05.000 --> 00:03:10.000]  祢知道我受的辱罵、欺凌、羞辱
[00:03:10.000 --> 00:03:13.000]  我的敵人都在祢面前
[00:03:13.000 --> 00:03:18.000]  我又辱罵傷破了我的心
[00:03:18.000 --> 00:03:20.000]  我又滿了憂愁
[00:03:20.000 --> 00:03:24.000]  我只望有人體恤,卻沒有一個
[00:03:24.000 --> 00:03:29.000]  我只望有人安慰,卻找不著一個
[00:03:29.000 --> 00:03:32.000]  他們拿苦膽給我當食物
[00:03:32.000 --> 00:03:36.000]  我喝了,他們拿醋給我喝
[00:03:36.000 --> 00:03:38.000]  《聖經》讀得
[00:03:38.000 --> 00:03:47.000]  請姐妹平安
[00:03:47.000 --> 00:03:51.000]  剛才所讀的詩篇69篇
[00:03:51.000 --> 00:03:53.000]  可以說是在《新玉聖經》裏面
[00:03:53.000 --> 00:03:56.000]  引用得最多的其中一個詩篇
[00:03:56.000 --> 00:03:59.000]  它和前一星期陳明全牧師
[00:03:59.000 --> 00:04:01.000]  所宣講的詩篇22篇
[00:04:01.000 --> 00:04:05.000]  同樣是因為預表了耶穌基督的苦難
[00:04:05.000 --> 00:04:08.000]  所以學者會給它一個名稱
[00:04:08.000 --> 00:04:11.000]  叫做尼塞亞的詩篇或者基督的詩篇
[00:04:11.000 --> 00:04:14.000]  譬如主耶穌,我們都記得
[00:04:14.000 --> 00:04:17.000]  當祂在釘十字架的時候
[00:04:17.000 --> 00:04:20.000]  曾經有人拿苦膽調和的酒給祂喝
[00:04:20.000 --> 00:04:23.000]  拿醋給祂喝,我們都記得
[00:04:23.000 --> 00:04:26.000]  其實正好應驗了剛才所讀的最後一節經文
[00:04:26.000 --> 00:04:28.000]  第21節那裏說
[00:04:28.000 --> 00:04:30.000]  他們拿苦膽給我當食物
[00:04:30.000 --> 00:04:33.000]  我喝了他們拿醋給我喝
[00:04:33.000 --> 00:04:36.000]  所以當我們去閱讀這篇詩篇的時候
[00:04:36.000 --> 00:04:39.000]  其實我們可以嘗試將耶穌基督
[00:04:39.000 --> 00:04:41.000]  祂的事蹟代入在其中
[00:04:41.000 --> 00:04:44.000]  了解到底上帝的靈
[00:04:44.000 --> 00:04:48.000]  如何透過詩篇來幫助我們
[00:04:48.000 --> 00:04:53.000]  來進到耶穌基督在苦難裏面的心路歷程
[00:04:53.000 --> 00:04:58.000]  我們開始逐個段落來看整個經文
[00:04:58.000 --> 00:05:01.000]  首先你會發覺第一個段落是1至12節
[00:05:01.000 --> 00:05:04.000]  你會看到,在廣道大綱亦都印了
[00:05:04.000 --> 00:05:06.000]  或者在螢光幕都看到
[00:05:06.000 --> 00:05:09.000]  詩人反反覆覆提到誰?
[00:05:09.000 --> 00:05:12.000]  提到自己,我
[00:05:12.000 --> 00:05:17.000]  用很多個我字,將焦點先在自己那裏
[00:05:17.000 --> 00:05:20.000]  向上帝訴苦
[00:05:20.000 --> 00:05:23.000]  他首先很概括形容他所遭遇的困境
[00:05:23.000 --> 00:05:27.000]  就好像整個人踩進泥沼
