
[00:00:00.000 --> 00:00:03.480]  在這個時間我們一起來聆聽一段經文
[00:00:03.480 --> 00:00:05.920]  這段經文是今天講到的主題
[00:00:05.920 --> 00:00:09.680]  邁向新世代 征戰不再 挑戰仍在
[00:00:09.680 --> 00:00:13.200]  經文是記載在約書亞記第十一章
[00:00:13.200 --> 00:00:18.240]  第十六節至到第二十三節
[00:00:18.240 --> 00:00:22.560]  請聽我讀出以下的經文
[00:00:22.560 --> 00:00:26.320]  約書亞奪了那泉地 就是山地
[00:00:26.320 --> 00:00:33.040]  一大藍地 戈山泉地 高原 阿拉巴 以色列的山地
[00:00:33.040 --> 00:00:35.520]  和山下的高原
[00:00:35.520 --> 00:00:37.760]  從上西爾的哈拉山
[00:00:37.760 --> 00:00:42.560]  直到黑門山下尼巴嫩平原的巴力加德
[00:00:42.560 --> 00:00:48.160]  並且擒獲那些地的諸王 將他們殺死
[00:00:48.160 --> 00:00:52.720]  約書亞和這諸王征戰了許多年日
[00:00:52.720 --> 00:00:55.360]  除了欺騙希美人之外
[00:00:55.360 --> 00:00:58.640]  沒有一成與以色列人講和的
[00:00:58.640 --> 00:01:02.400]  都是以色列人征戰奪來的
[00:01:02.400 --> 00:01:06.800]  因為耶和華的意思是要叫他們心裡剛硬
[00:01:06.800 --> 00:01:09.440]  來與以色列人征戰
[00:01:09.440 --> 00:01:13.520]  好叫他們準備殺滅 不蒙憐憫
[00:01:13.520 --> 00:01:17.360]  正如耶和華所吩咐莫世的
[00:01:17.360 --> 00:01:19.440]  當時約書亞來到
[00:01:19.440 --> 00:01:26.160]  將住山地 希伯倫 底碧 阿拉巴 猶大山地
[00:01:26.160 --> 00:01:30.640]  以色列山地所有的亞納族人剪除了
[00:01:30.640 --> 00:01:34.880]  約書亞將他們和他們的城邑盡都毀滅
[00:01:34.880 --> 00:01:40.000]  在以色列人的地沒有留下一個亞納族人的
[00:01:40.000 --> 00:01:44.960]  只在加薩 加德和阿薩特有留下的
[00:01:44.960 --> 00:01:49.680]  這樣約書亞照著耶和華所吩咐莫西的一切話
[00:01:49.680 --> 00:01:51.680]  奪了那全地
[00:01:51.680 --> 00:01:54.480]  就按照以色列支派的宗族
[00:01:54.480 --> 00:01:57.360]  將地分給他們為業
[00:01:57.360 --> 00:02:02.640]  於是國中太平沒有征戰了
[00:02:02.640 --> 00:02:08.800]  今日的經文是特別記載著約書亞帶領一班弟兄姊妹
[00:02:08.800 --> 00:02:10.960]  帶領整個以色列的軍隊
[00:02:10.960 --> 00:02:16.720]  一齊進駐加南地有好幾年的征戰
[00:02:16.720 --> 00:02:20.400]  現在讓我們先一齊祈禱
[00:02:20.400 --> 00:02:22.400]  祈求上帝的靈與我們同在
[00:02:22.400 --> 00:02:24.400]  讓我們明白聖經的話語
[00:02:24.400 --> 00:02:26.400]  我們同心祈禱
[00:02:26.400 --> 00:02:33.120]  天上阿爸父願祢對我們每一個講說話
[00:02:33.120 --> 00:02:35.120]  藉著今天約書亞
[00:02:35.120 --> 00:02:40.000]  怎樣帶領以色列整隊軍隊進入加南地
[00:02:40.000 --> 00:02:43.120]  這幾年的日子上帝祢怎樣去因領他們
[00:02:43.120 --> 00:02:46.400]  求祢用同樣的話語來勉勵我們
[00:02:46.400 --> 00:02:50.880]  讓我們今天學習約書亞整個軍隊一樣
[00:02:50.880 --> 00:02:53.920]  讓我們帶著謙卑信服的心
[00:02:53.920 --> 00:02:56.720]  帶著恭昂的鬥志
[00:02:56.720 --> 00:02:58.720]  一齊邁向新的時代
[00:02:58.720 --> 00:03:00.720]  願祢在此刻當中
[00:03:00.720 --> 00:03:02.720]  祢對我們每一個講說話
[00:03:02.720 --> 00:03:04.720]  不論在家中聆聽的
[00:03:04.720 --> 00:03:06.720]  或者在教會當中宣講的
[00:03:06.720 --> 00:03:08.720]  求祢的聖靈與我們同在
[00:03:08.720 --> 00:03:10.720]  幫助我們眾人
[00:03:10.720 --> 00:03:12.720]  我們將此時此刻交託給祢
[00:03:12.720 --> 00:03:14.720]  願祢賜福
[00:03:14.720 --> 00:03:16.720]  欣賞我們祈禱奉基督耶穌得勝的聖名祈求
[00:03:16.720 --> 00:03:18.720]  阿們
[00:03:18.720 --> 00:03:20.720]  今天我們一齊來看
[00:03:20.720 --> 00:03:22.720]  我的講章
[00:03:22.720 --> 00:03:28.720]  我們今天一齊來看這一段經文
[00:03:28.720 --> 00:03:30.720]  首先講到
[00:03:30.720 --> 00:03:34.720]  如果你過去連續幾次來聆聽
[00:03:34.720 --> 00:03:36.720]  我們知道
[00:03:36.720 --> 00:03:38.720]  約書亞一直有經過不同的戰役
[00:03:38.720 --> 00:03:40.720]  一齊來到去爭戰
[00:03:40.720 --> 00:03:43.720]  去到第十一章和第十二章的尾
[00:03:43.720 --> 00:03:46.720]  其實某程度上那些個別最重要的戰役
[00:03:46.720 --> 00:03:48.720]  已經是記載完畢
[00:03:48.720 --> 00:03:50.720]  在第十一章開始
[00:03:50.720 --> 00:03:52.720]  就是為了整個的戰事
[00:03:52.720 --> 00:03:54.720]  這幾年的戰事作一些總結
[00:03:54.720 --> 00:03:56.720]  在第十一章第十六節
[00:03:56.720 --> 00:03:58.720]  到第二十三節
[00:03:58.720 --> 00:04:00.720]  如果在地域上
[00:04:00.720 --> 00:04:02.720]  就是由南至北
[00:04:02.720 --> 00:04:04.720]  約書亞的軍隊怎樣去打仗
[00:04:04.720 --> 00:04:06.720]  而在第十二章
[00:04:06.720 --> 00:04:08.720]  第一至到第二十四節
[00:04:08.720 --> 00:04:10.720]  就會記載著
[00:04:10.720 --> 00:04:12.720]  由河東河西
[00:04:12.720 --> 00:04:14.720]  很容易記的
[00:04:14.720 --> 00:04:16.720]  這一段是講南去北
[00:04:16.720 --> 00:04:18.720]  下一次的章節
[00:04:18.720 --> 00:04:20.720]  就是由河東至到河西
[00:04:20.720 --> 00:04:22.720]  在地域上
[00:04:22.720 --> 00:04:24.720]  今天特別的來到去記載
[00:04:24.720 --> 00:04:26.720]  講到兩個很重要的敵人
[00:04:26.720 --> 00:04:28.720]  在經年累月怎樣去打勝他們
[00:04:28.720 --> 00:04:30.720]  首先在第十一章
[00:04:30.720 --> 00:04:32.720]  第十六節
[00:04:32.720 --> 00:04:34.720]  到第二十節就講到
