
[00:00:00.000 --> 00:00:11.500]  今日宣讀的經訓是記載在舊約《新命記》14章1至21節
[00:00:11.500 --> 00:00:21.700]  「你們是耶和華你們神的兒女
[00:00:21.700 --> 00:00:26.200]  不可為死人用刀劃身
[00:00:26.600 --> 00:00:30.000]  也不可將額上剃光
[00:00:30.000 --> 00:00:35.300]  因為你歸耶和華你神為聖傑的民
[00:00:35.300 --> 00:00:39.100]  耶和華從地上的萬民中
[00:00:39.100 --> 00:00:43.600]  揀選你特作自己的子民
[00:00:43.600 --> 00:00:48.300]  凡可憎的物都不可吃
[00:00:48.300 --> 00:00:52.400]  可吃的牲畜就是牛
[00:00:52.400 --> 00:00:56.300]  綿羊 山羊 鹵
[00:00:57.000 --> 00:01:01.200]  羚羊 豹子 野山羊
[00:01:01.200 --> 00:01:05.200]  尾鹿 黃羊 青羊
[00:01:05.200 --> 00:01:09.200]  凡分體成為兩範
[00:01:09.200 --> 00:01:11.400]  又倒著的走獸
[00:01:11.400 --> 00:01:13.200]  你們都可以吃
[00:01:13.200 --> 00:01:18.700]  但那些倒著或分體之中不可吃的
[00:01:18.700 --> 00:01:23.500]  乃是駱駝 兔子 沙蕃
[00:01:24.200 --> 00:01:26.600]  因為是倒著不分體
[00:01:26.600 --> 00:01:29.400]  就與你們不結證
[00:01:29.400 --> 00:01:34.900]  豬因為是分體卻不倒著
[00:01:34.900 --> 00:01:37.700]  就與你們不結證
[00:01:37.700 --> 00:01:42.000]  這些瘦的肉你們不可吃
[00:01:42.000 --> 00:01:44.900]  死的也不可摸
[00:01:44.900 --> 00:01:49.400]  水中可吃的乃是這些
[00:01:49.400 --> 00:01:53.900]  凡有刺有鱗的都可以吃
[00:01:54.500 --> 00:01:57.700]  凡無刺無鱗的都不可吃
[00:01:57.700 --> 00:02:00.500]  是與你們不結證
[00:02:00.500 --> 00:02:06.400]  凡結證的鳥你們都可以吃
[00:02:06.400 --> 00:02:10.100]  不可吃的乃是鵰
[00:02:10.100 --> 00:02:13.400]  狗頭鵰 熊頭鵰
[00:02:13.400 --> 00:02:19.300]  箭 小鷹 妖鷹與其鱗
[00:02:19.300 --> 00:02:21.900]  烏鴉與其鱗
[00:02:22.600 --> 00:02:26.000]  鴕鳥 夜鷹 魚鷹
[00:02:26.000 --> 00:02:27.800]  鷹與其鱗
[00:02:27.800 --> 00:02:30.900]  囂鳥 貓頭鷹
[00:02:30.900 --> 00:02:34.500]  角雌 堤壺
[00:02:34.500 --> 00:02:38.400]  禿鵰 驢鰭
[00:02:38.400 --> 00:02:42.200]  冠 老獅與其鱗
[00:02:42.200 --> 00:02:45.700]  大任與蝙蝠
[00:02:45.700 --> 00:02:49.200]  凡有刺旁爬行的物
[00:02:49.200 --> 00:02:51.900]  是與你們不結證
[00:02:52.400 --> 00:02:53.400]  都不可吃
[00:02:53.400 --> 00:02:57.800]  凡結證的鳥你們都可以吃
[00:02:57.800 --> 00:03:02.900]  凡致死的你們都不可吃
[00:03:02.900 --> 00:03:07.500]  可以給你城裡寄居的吃
[00:03:07.500 --> 00:03:10.800]  或賣與外人吃
[00:03:10.800 --> 00:03:14.800]  因為你是歸耶和華里神
[00:03:14.800 --> 00:03:17.400]  為聖潔的民
[00:03:18.600 --> 00:03:23.900]  不可用山羊羔母的奶煮山羊羔
[00:03:23.900 --> 00:03:35.900]  各位聽眾 平安
[00:03:35.900 --> 00:03:38.800]  你會很奇怪 今天是我在講道
[00:03:38.800 --> 00:03:44.500]  今天講完 駱建源博士昨晚九點多打電話給我
[00:03:44.500 --> 00:03:46.100]  他病得很厲害
[00:03:46.500 --> 00:03:48.700]  咳得很厲害
[00:03:48.700 --> 00:03:52.000]  其實他在星期六 昨天幫我們黃昏崇拜
[00:03:52.000 --> 00:03:54.000]  其實他也是在支持
[00:03:54.000 --> 00:03:57.100]  看完醫生 照完肺之後
[00:03:57.100 --> 00:04:01.700]  聞了那些氣
[00:04:01.700 --> 00:04:03.500]  聞完之後 還是沒有好轉
[00:04:03.500 --> 00:04:04.600]  昨晚還差了
[00:04:04.600 --> 00:04:06.400]  接著他就沒有辦法了
[00:04:06.400 --> 00:04:10.400]  於是乎九點多就預備這篇講章
[00:04:10.400 --> 00:04:14.500]  這篇講章其實我是在少崇今天會講的
[00:04:14.900 --> 00:04:18.800]  但是對大人或成年人來說 可能要調教一下
[00:04:18.800 --> 00:04:22.300]  另外剛才的經文 讀經的阿嬸
[00:04:22.300 --> 00:04:24.800]  馬上要查剛才你讀的字
[00:04:24.800 --> 00:04:28.900]  大家平常都不會這樣讀的
[00:04:28.900 --> 00:04:30.500]  今天你就學到了
[00:04:30.500 --> 00:04:34.500]  今天是講一段很冷門的經文
[00:04:34.500 --> 00:04:37.500]  但是今天這段很冷門的經文
[00:04:37.500 --> 00:04:40.800]  其實背後有一些很重要的意義給我們
[00:04:41.500 --> 00:04:46.700]  希望大家今天看的篇幅會再長一點
[00:04:46.700 --> 00:04:49.300]  由第一節讀到第29節
[00:04:49.300 --> 00:04:51.300]  不過我們精簡
[00:04:51.300 --> 00:04:54.300]  我們剛才讀經 聆聽到21節
[00:04:54.300 --> 00:04:57.300]  今天這段經文 其實最主要你看到
[00:04:57.300 --> 00:04:59.900]  吃什麼不吃什麼
[00:04:59.900 --> 00:05:04.700]  其實飲食本身是一種很重要的文化
[00:05:04.700 --> 00:05:10.300]  這種文化觀念構成了不同的地方
[00:05:10.500 --> 00:05:14.500]  或者不同民族裡面背後的精神
[00:05:14.500 --> 00:05:17.100]  一個很簡單的例子
[00:05:17.100 --> 00:05:19.800]  如果你去吃薄餅
[00:05:19.800 --> 00:05:22.400]  你去到意大利你告訴別人加菠蘿
[00:05:22.400 --> 00:05:23.900]  你知不知道會有什麼效果
[00:05:23.900 --> 00:05:25.400]  你們有沒有試過
[00:05:25.400 --> 00:05:27.600]  如果你加菠蘿
[00:05:27.600 --> 00:05:30.800]  意大利人覺得你對他是一種冒犯
[00:05:30.800 --> 00:05:33.600]  因為意大利的薄餅是不會有菠蘿的
[00:05:33.600 --> 00:05:36.100]  美式的薄餅才有菠蘿
[00:05:36.100 --> 00:05:39.600]  如果你說要加菠蘿 他真的跟你拼了
[00:05:39.900 --> 00:05:42.300]  去年我去意大利
[00:05:42.300 --> 00:05:46.300]  還有你怎樣吃薄餅 人家都很講究的
[00:05:46.300 --> 00:05:48.800]  我們平時吃薄餅用刀叉
[00:05:48.800 --> 00:05:51.200]  很骨子的 手不髒的
[00:05:51.200 --> 00:05:53.900]  我用刀叉來切薄餅
[00:05:53.900 --> 00:05:55.800]  放進口裡的時候
[00:05:55.800 --> 00:05:58.400]  那個店長 老闆
[00:05:58.400 --> 00:06:01.200]  他看到我一下子拍了我肩膀
[00:06:01.200 --> 00:06:04.400]  意大利人都這樣的
