
[00:00:00.000 --> 00:00:02.740]  (主席)今日要讀的聖經是
[00:00:02.740 --> 00:00:09.500]  約翰福音第八章第三十一至五十九節
[00:00:09.500 --> 00:00:15.500]  聖經新約第一百三十八至一百四十頁
[00:00:15.500 --> 00:00:20.000]  約翰福音第八章第一節
[00:00:20.000 --> 00:00:25.000]  「耶穌對信他的猶太人說:
[00:00:25.000 --> 00:00:32.000]  「你們若常常遵守我的道,就真是我的門徒。
[00:00:32.000 --> 00:00:39.000]  你們必曉得真理,真理必叫你們得以自由。」
[00:00:39.000 --> 00:00:41.000]  他們回答說:
[00:00:41.000 --> 00:00:48.000]  「我們是阿伯拉罕的後裔,從來沒有作過誰的奴僕。
[00:00:48.000 --> 00:00:53.000]  你怎麼說你們必得以自由呢?」
[00:00:53.000 --> 00:00:55.000]  耶穌回答說:
[00:00:55.000 --> 00:00:59.000]  「我實實在在的告訴你們,
[00:00:59.000 --> 00:01:04.000]  所有犯罪的,就是罪的奴僕。
[00:01:04.000 --> 00:01:08.000]  奴僕不能永遠住在家裡,
[00:01:08.000 --> 00:01:12.000]  兒子是永遠住在家裡。
[00:01:12.000 --> 00:01:17.000]  所以,天父的兒子若叫你們自由,
[00:01:17.000 --> 00:01:20.000]  你們就真自由了。
[00:01:20.000 --> 00:01:25.000]  我知道你們是阿伯拉罕的子孫,
[00:01:25.000 --> 00:01:28.000]  你們卻想要殺我,
[00:01:28.000 --> 00:01:33.000]  因為你們心裡容不下我的道。
[00:01:33.000 --> 00:01:38.000]  我所說的是在我腹那裡看見的,
[00:01:38.000 --> 00:01:45.000]  你們所行的是在你們的腹那裡聽見的。」
[00:01:45.000 --> 00:01:47.000]  他們說:
[00:01:47.000 --> 00:01:51.000]  「我們的腹就是阿伯拉罕。」
[00:01:51.000 --> 00:01:52.000]  耶穌說:
[00:01:52.000 --> 00:01:56.000]  「你們若是阿伯拉罕的兒子,
[00:01:56.000 --> 00:02:01.000]  就必行阿伯拉罕所行的事。
[00:02:01.000 --> 00:02:07.000]  我將在腹那裡所聽見的真理告訴了你們,
[00:02:07.000 --> 00:02:11.000]  現在你們卻想要殺我,
[00:02:11.000 --> 00:02:14.000]  這不是阿伯拉罕所行的事。
[00:02:14.000 --> 00:02:19.000]  你們是行你們腹所行的事。」
[00:02:19.000 --> 00:02:20.000]  他們說:
[00:02:20.000 --> 00:02:23.000]  「我們不是從淫亂生的,
[00:02:23.000 --> 00:02:28.000]  我們只有一位腹,就是神。」
[00:02:28.000 --> 00:02:29.000]  耶穌說:
[00:02:29.000 --> 00:02:33.000]  「倘若神是你們的腹,
[00:02:33.000 --> 00:02:35.000]  你們就必愛我,
[00:02:35.000 --> 00:02:39.000]  因為我本是出於神,
[00:02:39.000 --> 00:02:41.000]  也是從神而來,
[00:02:41.000 --> 00:02:44.000]  並不是由著自己來,
[00:02:44.000 --> 00:02:47.000]  乃是祂差我來。
[00:02:47.000 --> 00:02:51.000]  你們為何不明白我的話呢?
[00:02:51.000 --> 00:02:56.000]  無非是因為你們不能聽我的道,
[00:02:56.000 --> 00:03:00.000]  你們是出於你們的腹魔鬼,
[00:03:00.000 --> 00:03:03.000]  你們腹的私慾,
[00:03:03.000 --> 00:03:05.000]  你們偏要行。
[00:03:05.000 --> 00:03:08.000]  祂從起初是殺人的,
[00:03:08.000 --> 00:03:10.000]  不守真理,
[00:03:10.000 --> 00:03:13.000]  因祂心裡沒有真理,
[00:03:13.000 --> 00:03:16.000]  祂說謊是出於自己,
[00:03:16.000 --> 00:03:19.000]  因祂本來是說謊的,
[00:03:19.000 --> 00:03:22.000]  也是說謊之人的腹。
[00:03:22.000 --> 00:03:25.000]  我將真理告訴你們,
