
[00:00:00.000 --> 00:00:02.800]  我們今天要聽神的話是記載在
[00:00:02.800 --> 00:00:07.440]  《針研》第31章十至到三十一節
[00:00:07.440 --> 00:00:10.160]  請聆聽神的話
[00:00:10.160 --> 00:00:14.040]  《針研》三十一章第十節
[00:00:14.040 --> 00:00:16.880]  「才德的婦人誰能得著呢?
[00:00:16.880 --> 00:00:19.640]  她的價值遠勝過珍珠
[00:00:19.640 --> 00:00:22.000]  她丈夫心裡已靠她
[00:00:22.000 --> 00:00:24.000]  必不缺少利益
[00:00:24.000 --> 00:00:26.720]  她一生之丈夫有益無損
[00:00:27.280 --> 00:00:30.320]  則尋找羊肉和麻甘心用手作工
[00:00:30.320 --> 00:00:33.160]  她好像相信從遠方運糧來
[00:00:33.160 --> 00:00:35.440]  未到黎明她就起來
[00:00:35.440 --> 00:00:37.680]  把食物分給家中的人
[00:00:37.680 --> 00:00:40.560]  將當初的工分派皮類
[00:00:40.560 --> 00:00:43.280]  她想得田地就買來
[00:00:43.280 --> 00:00:46.400]  用手所得之利栽種葡萄園
[00:00:46.400 --> 00:00:48.520]  她以能力蓄養
[00:00:48.520 --> 00:00:51.800]  使旁被有力
[00:00:51.800 --> 00:00:54.720]  她覺得所經營的有利
[00:00:54.720 --> 00:00:56.360]  她的燈中夜不滅
[00:00:56.760 --> 00:00:59.040]  得手拿撚扇桿
[00:00:59.040 --> 00:01:01.080]  手把放扇節斜
[00:01:01.080 --> 00:01:03.400]  她將守周濟困苦人
[00:01:03.400 --> 00:01:05.680]  伸手幫助窮困婦人
[00:01:05.680 --> 00:01:08.360]  她不忍下雪為家裡的人擔心
[00:01:08.360 --> 00:01:10.360]  因為全家都穿著珠紅衣服
[00:01:10.360 --> 00:01:13.560]  她為自己製作繡衣、毯子
[00:01:13.560 --> 00:01:16.800]  她的衣服是細麻和紫色布作的
[00:01:16.800 --> 00:01:20.640]  她丈夫在城門口與本地的長老同坐
[00:01:20.640 --> 00:01:21.920]  為眾人所認識
[00:01:21.920 --> 00:01:24.520]  她作細麻布衣常出賣
[00:01:24.520 --> 00:01:26.920]  又將腰帶賣於商家
[00:01:26.920 --> 00:01:30.480]  能力和威而是她的衣服
[00:01:30.480 --> 00:01:32.880]  她想日後的警方就會起笑
[00:01:32.880 --> 00:01:34.720]  她開口就發自慰
[00:01:34.720 --> 00:01:36.840]  她事實上有人事的法則
[00:01:36.840 --> 00:01:40.040]  但觀察家務並不吃閒話
[00:01:40.040 --> 00:01:42.480]  她的兒女起來稱她有福
[00:01:42.480 --> 00:01:44.040]  她的丈夫也稱讚她
[00:01:44.040 --> 00:01:46.880]  說「才德的女子很多
[00:01:46.880 --> 00:01:48.320]  唯獨你超過一切」
[00:01:48.320 --> 00:01:50.200]  「嚴厲是虛假的
[00:01:50.200 --> 00:01:51.520]  美容是虛浮的」
[00:01:52.480 --> 00:01:55.280]  為敬畏惹惑的婦女便得稱讚
[00:01:55.280 --> 00:01:57.360]  願她享受操著所得的
[00:01:57.360 --> 00:01:59.880]  願她的工作在城門口榮耀她
[00:01:59.880 --> 00:02:01.240]  成議會續畢
[00:02:01.240 --> 00:02:15.080]  很高興今天有我們熟悉的
[00:02:15.080 --> 00:02:17.640]  家庭發展基金總幹事
[00:02:17.640 --> 00:02:21.120]  何羅乃香之母在我們當中分享
[00:02:21.200 --> 00:02:23.000]  她今天要宣講的題目是
[00:02:23.000 --> 00:02:28.200]  疫情下才德婦人的啟示
[00:02:28.200 --> 00:02:29.080]  我們恭敬她
[00:02:29.080 --> 00:02:29.680]  節目
[00:02:29.680 --> 00:02:40.720]  各位早晨
[00:02:40.720 --> 00:02:44.960]  來到這裡好像回到另外一個家
[00:02:44.960 --> 00:02:47.760]  在這裏
[00:02:47.760 --> 00:02:50.320]  大家可能知道你們的師母
[00:02:50.440 --> 00:02:51.480]  是我的同工
[00:02:51.480 --> 00:02:52.800]  今天還有另一個同工
[00:02:52.800 --> 00:02:54.080]  Carolyn 也來了
[00:02:54.080 --> 00:02:57.760]  也不知道怎樣形容那種心情
[00:02:57.760 --> 00:03:00.320]  覺得我九龍也有一個家
[00:03:00.320 --> 00:03:03.400]  很感謝陳老師的邀請
[00:03:03.400 --> 00:03:05.200]  今天還是五月
[00:03:05.200 --> 00:03:07.040]  還是母親節
[00:03:07.040 --> 00:03:11.280]  所以選擇了「疫情下才德婦人的啟示」
[00:03:11.280 --> 00:03:13.960]  在過去幾個月或一年
[00:03:13.960 --> 00:03:15.040]  我說甚麼題目
[00:03:15.040 --> 00:03:17.040]  都有這三個字「疫情下」
[00:03:17.040 --> 00:03:19.880]  因為實在還在
[00:03:20.200 --> 00:03:21.000]  她還沒走
[00:03:21.000 --> 00:03:22.040]  雖然我們祈禱
[00:03:22.040 --> 00:03:22.960]  我每天都在祈禱
[00:03:22.960 --> 00:03:24.640]  讓我擺擺她的尾巴
[00:03:24.640 --> 00:03:26.160]  但在這裏
[00:03:26.160 --> 00:03:27.440]  「疫情之下」
[00:03:27.440 --> 00:03:28.480]  有些壓力來源
[00:03:28.480 --> 00:03:30.000]  也跟大家看一下
[00:03:30.000 --> 00:03:33.040]  你還看不看「確診大廈」?
[00:03:33.040 --> 00:03:33.880]  現在
[00:03:33.880 --> 00:03:34.840]  有沒有看的?
[00:03:34.840 --> 00:03:36.120]  沒有吧?
[00:03:36.120 --> 00:03:38.200]  我以前不單看「確診大廈」
