
[00:00:00.000 --> 00:00:03.480]  今日重讀的經文是記載在
[00:00:03.480 --> 00:00:08.480]  《以斯拉記》第一章一至十一節
[00:00:08.480 --> 00:00:12.480]  在舊約聖經的五百七十七頁
[00:00:12.480 --> 00:00:18.000]  《以斯拉記》一章一節
[00:00:18.000 --> 00:00:21.000]  波斯王古列元年
[00:00:21.000 --> 00:00:26.000]  耶和華為要應驗藉耶利米口所說的話
[00:00:26.000 --> 00:00:29.480]  就激動波斯王古列的心
[00:00:29.480 --> 00:00:34.000]  使他下詔通告全國說
[00:00:34.000 --> 00:00:37.000]  波斯王古列如此說
[00:00:37.000 --> 00:00:40.000]  耶和華天上的神
[00:00:40.000 --> 00:00:43.000]  已將天下萬國賜給我
[00:00:43.000 --> 00:00:47.000]  又祝福我在猶大的耶路撒冷
[00:00:47.000 --> 00:00:50.000]  為他建造殿宇
[00:00:50.000 --> 00:00:54.000]  在你們中間凡作他子民的
[00:00:54.000 --> 00:00:57.000]  可以上猶大的耶路撒冷
[00:00:57.000 --> 00:01:02.000]  在耶路撒冷重建耶和華以色列神的殿
[00:01:02.000 --> 00:01:05.000]  只有他是神
[00:01:05.000 --> 00:01:08.000]  願神與這人同在
[00:01:08.000 --> 00:01:11.000]  凡剩下的人
[00:01:11.000 --> 00:01:13.000]  無論寄居何處
[00:01:13.000 --> 00:01:17.000]  那地的人要用金銀財物
[00:01:17.000 --> 00:01:20.000]  生畜幫助他
[00:01:20.000 --> 00:01:23.000]  另外也要為耶路撒冷神的殿
[00:01:23.000 --> 00:01:26.000]  甘心獻上禮物
[00:01:26.000 --> 00:01:30.000]  於是猶大和辯雅敏的族長
[00:01:30.000 --> 00:01:33.000]  祭司利美人
[00:01:33.000 --> 00:01:36.000]  就是一切被神激動他心的人
[00:01:36.000 --> 00:01:41.000]  都起來要上耶路撒冷去建造耶和華的殿
[00:01:41.000 --> 00:01:44.000]  他們四處的人就拿銀器
[00:01:44.000 --> 00:01:50.000]  金紙、財物、生畜、珍寶幫助他們
[00:01:50.000 --> 00:01:54.000]  另外還有甘心獻的禮物
[00:01:54.000 --> 00:01:58.000]  古列王也將耶和華殿的器皿拿出來
[00:01:58.000 --> 00:02:03.000]  這器皿是尼布甲尼撒從耶路撒冷掠來
[00:02:03.000 --> 00:02:07.000]  放在自己神之廟中的
[00:02:07.000 --> 00:02:12.000]  波斯王古列派副官米提利達
[00:02:12.000 --> 00:02:14.000]  將這器皿拿出來
[00:02:14.000 --> 00:02:18.000]  按數交給猶大的首領切巴薩
[00:02:18.000 --> 00:02:21.000]  器皿的數目記在下面
[00:02:21.000 --> 00:02:23.000]  金盤三十個
[00:02:23.000 --> 00:02:25.000]  銀盤一千個
[00:02:25.000 --> 00:02:27.000]  刀二十九把
