
[00:00:00.000 --> 00:00:07.800]  今日經訓中的經文在《創世紀》三十九章一至二十三節
[00:00:07.800 --> 00:00:12.400]  在舊約聖經四十九至五十頁
[00:00:12.400 --> 00:00:17.800]  《創世紀》三十九章一至二十三節
[00:00:17.800 --> 00:00:19.200]  請聽我讀出
[00:00:19.200 --> 00:00:22.200]  若失被大廈埃及去
[00:00:22.200 --> 00:00:25.600]  有一個埃及人是法老的內臣
[00:00:25.600 --> 00:00:31.200]  護衛長波提弗從那些大廈內的二十瑪利人手下
[00:00:31.200 --> 00:00:32.400]  馬了他去
[00:00:32.400 --> 00:00:36.000]  若失住在他主人埃及人的家中
[00:00:36.000 --> 00:00:38.200]  耶和華與他同在
[00:00:38.200 --> 00:00:40.200]  他就百事順利
[00:00:40.200 --> 00:00:43.400]  他主人見耶和華與他同在
[00:00:43.400 --> 00:00:48.200]  又見耶和華使他手裡所辦的盡都順利
[00:00:48.200 --> 00:00:51.200]  若失就在主人眼前蒙恩
[00:00:51.200 --> 00:00:52.800]  侍候他主人
[00:00:52.800 --> 00:00:55.800]  並且主人派他管理家務
[00:00:55.800 --> 00:00:59.400]  擺一切所有的都交在他手裡
[00:00:59.400 --> 00:01:02.800]  自從主人派若失管理家務
[00:01:02.800 --> 00:01:04.600]  和他一切所有的
[00:01:04.600 --> 00:01:07.400]  耶和華就因若失的緣故
[00:01:07.400 --> 00:01:10.200]  賜福與那埃及人的家
[00:01:10.200 --> 00:01:13.600]  凡家裡和田間一切所有的
[00:01:13.600 --> 00:01:15.800]  都蒙耶和華賜福
[00:01:15.800 --> 00:01:21.200]  波提弗將一切所有的都交在若失手中
[00:01:21.200 --> 00:01:23.600]  除了自己所吃的飯
[00:01:23.600 --> 00:01:25.800]  別的事一概不知
[00:01:25.800 --> 00:01:28.600]  若失原來受雅俊美
[00:01:28.600 --> 00:01:30.000]  這事以後
[00:01:30.000 --> 00:01:31.600]  若失主人的妻
[00:01:31.600 --> 00:01:33.600]  以沐送情給若失
[00:01:33.600 --> 00:01:35.800]  說:你與我同枕吧
[00:01:35.800 --> 00:01:39.000]  若失不從對他主人的妻說:
[00:01:39.000 --> 00:01:41.200]  看那一切家務
[00:01:41.200 --> 00:01:43.000]  我主人都不知道
[00:01:43.000 --> 00:01:46.000]  他把所有的都交在我手裡
[00:01:46.000 --> 00:01:48.800]  在這家裡沒有比我大的
[00:01:48.800 --> 00:01:52.600]  並且他沒有留下一樣不交給我
[00:01:52.600 --> 00:01:54.200]  只留下了你
[00:01:54.200 --> 00:01:56.200]  因為你是他的妻子
[00:01:56.200 --> 00:02:00.400]  我怎能作這惡大惡得罪神呢?
[00:02:00.400 --> 00:02:03.600]  後來他天天和若失說:
[00:02:03.600 --> 00:02:05.600]  若失卻不聽從他
[00:02:05.600 --> 00:02:07.000]  不與他同枕
[00:02:07.000 --> 00:02:09.600]  也不和他在一處
[00:02:09.600 --> 00:02:12.800]  有一天若失送屋裡去辦事
[00:02:12.800 --> 00:02:15.800]  家中人沒有一個在那屋裡
[00:02:15.800 --> 00:02:18.800]  婦人就拉著他的衣裳說:
[00:02:18.800 --> 00:02:20.600]  你與我同枕吧
[00:02:20.600 --> 00:02:23.600]  若失把衣裳雕在婦人手裡
[00:02:23.600 --> 00:02:25.400]  跑到外邊去了
[00:02:25.400 --> 00:02:29.200]  婦人看見若失把衣裳雕在她手裡
[00:02:29.200 --> 00:02:30.600]  跑出去了
[00:02:30.600 --> 00:02:32.800]  就叫了家裡的人來
[00:02:32.800 --> 00:02:34.000]  對他們說:
[00:02:34.000 --> 00:02:35.000]  你們看
[00:02:35.000 --> 00:02:37.000]  他帶了一個希伯來人
[00:02:37.000 --> 00:02:38.800]  進入我們家裡
[00:02:38.800 --> 00:02:40.400]  要戲弄我們
[00:02:40.400 --> 00:02:42.000]  他到我這裡來
[00:02:42.000 --> 00:02:43.600]  要與我同枕
[00:02:43.600 --> 00:02:45.200]  我就大聲喊叫
[00:02:45.200 --> 00:02:47.800]  他聽見我放聲喊起來
[00:02:47.800 --> 00:02:50.400]  就把衣裳雕在我這裡
[00:02:50.400 --> 00:02:52.400]  跑到外邊去了
[00:02:52.400 --> 00:02:54.400]  婦人把若失的衣裳
[00:02:54.400 --> 00:02:56.000]  放在自己那裡
[00:02:56.000 --> 00:02:58.000]  等著他主人回家
[00:02:58.000 --> 00:03:00.400]  就對他如此如此說:
[00:03:00.400 --> 00:03:02.400]  你所帶到我們
[00:03:02.400 --> 00:03:04.600]  這裡的那希伯來人
[00:03:04.600 --> 00:03:06.200]  還來要戲弄我
[00:03:06.200 --> 00:03:07.800]  我放聲喊起來
[00:03:07.800 --> 00:03:10.600]  他就把衣裳雕在我這裡
[00:03:10.600 --> 00:03:11.800]  跑出去了
[00:03:11.800 --> 00:03:14.800]  若失的主人聽見他妻子
[00:03:14.800 --> 00:03:17.000]  對他所說的話說:
[00:03:17.000 --> 00:03:19.600]  你的僕人如此如此待我
[00:03:19.600 --> 00:03:21.000]  他就生氣
[00:03:21.000 --> 00:03:23.000]  把若失下在監裡
[00:03:23.000 --> 00:03:26.200]  就是黃的囚犯被囚的地方
[00:03:26.200 --> 00:03:28.800]  於是若失在那裡坐監
[00:03:28.800 --> 00:03:32.400]  但耶和華與若失同在
[00:03:32.400 --> 00:03:33.800]  向他施恩
[00:03:33.800 --> 00:03:36.800]  使他在施玉的眼前蒙恩
[00:03:36.800 --> 00:03:39.800]  施玉就把監裡所有的囚犯
[00:03:39.800 --> 00:03:41.800]  都交在若失的手下
[00:03:41.800 --> 00:03:44.400]  他們在那裡所辦的事
[00:03:44.400 --> 00:03:46.400]  都是經他的手
[00:03:46.400 --> 00:03:48.400]  凡在若失手下的事
[00:03:48.400 --> 00:03:50.400]  施玉一概不測
[00:03:50.400 --> 00:03:53.800]  因為耶和華與若失同在
[00:03:53.800 --> 00:03:56.000]  耶和華使他所作的
[00:03:56.000 --> 00:03:58.000]  重刀順利
[00:03:58.000 --> 00:04:06.000]  頂子妹平安
[00:04:06.000 --> 00:04:06.800]  平安
[00:04:06.800 --> 00:04:08.800]  多謝一班少年的敬拜隊
[00:04:08.800 --> 00:04:10.800]  師班的獻送
[00:04:10.800 --> 00:04:13.600]  求神繼續去興起他們
[00:04:13.600 --> 00:04:15.600]  期望他們越侍奉上帝
[00:04:15.600 --> 00:04:17.000]  越認識上帝
[00:04:17.000 --> 00:04:19.000]  越去愛上帝
[00:04:19.000 --> 00:04:21.800]  每次我們見到年輕人一起去敬拜
[00:04:21.800 --> 00:04:23.400]  帶領我們一起去
[00:04:23.400 --> 00:04:25.600]  去敬拜上帝的時候
[00:04:25.600 --> 00:04:27.400]  我們都覺得很有力
[00:04:27.400 --> 00:04:28.800]  很有盼望
[00:04:28.800 --> 00:04:30.400]  很美好
[00:04:30.400 --> 00:04:33.200]  自己有一段時間沒有在大堂裡面講道
[00:04:33.200 --> 00:04:35.800]  可能當中有些新朋友未必很認識我
[00:04:35.800 --> 00:04:37.200]  我叫做梁偉
[00:04:37.200 --> 00:04:39.400]  是教會青少年的傳導人
[00:04:39.400 --> 00:04:42.000]  我預備了一張照片去介紹自己
[00:04:42.000 --> 00:04:44.400]  這張是我自己的全家福
[00:04:44.400 --> 00:04:47.000]  我太太也是一個傳導人
[00:04:47.000 --> 00:04:50.200]  我有兩個很可愛的小朋友
[00:04:50.200 --> 00:04:53.200]  如果幸福指數100分是滿分的話
[00:04:53.200 --> 00:04:56.000]  我猜我應該有120分
[00:04:56.000 --> 00:04:57.000]  不過
[00:04:57.000 --> 00:04:58.200]  就是
[00:04:58.200 --> 00:05:01.000]  在我們這段時間裡面
[00:05:01.000 --> 00:05:04.600]  家裡正在經歷一個很大的變化
[00:05:04.600 --> 00:05:05.800]  八月份的時候
[00:05:05.800 --> 00:05:07.800]  因為我的小女兒大約一歲
[00:05:07.800 --> 00:05:09.400]  但是她發展緩慢
