
[00:00:00.000 --> 00:00:02.800]  今日我們要重讀的經文
[00:00:02.800 --> 00:00:07.600]  是記載在《約書亞記》第十一章一至十五節
[00:00:07.600 --> 00:00:13.400]  「下所王耶彬聽見這事
[00:00:13.400 --> 00:00:21.000]  就打發人去見馬頓王、約巴、申崑王、阿薩王
[00:00:21.000 --> 00:00:27.000]  與北方山地基尼列南邊的阿拉巴高原
[00:00:27.000 --> 00:00:31.000]  並西邊多爾山江的諸王
[00:00:31.000 --> 00:00:35.000]  又去見東方和西方的迦南人
[00:00:35.000 --> 00:00:41.000]  與山地的阿摩利人、赫人、比利駛人、耶布斯人
[00:00:41.000 --> 00:00:46.000]  並黑門山跟米斯巴地的希美人
[00:00:46.000 --> 00:00:51.000]  這些王和他們的重軍都出來
[00:00:51.000 --> 00:00:54.000]  人數多如海邊的沙
[00:00:54.000 --> 00:00:57.000]  並有許多馬匹車輛
[00:00:57.000 --> 00:01:01.000]  這諸王會合來到米倫水邊
[00:01:01.000 --> 00:01:03.000]  一同安營
[00:01:03.000 --> 00:01:06.000]  要與以色列人爭戰」
[00:01:06.000 --> 00:01:08.000]  第六節
[00:01:08.000 --> 00:01:12.000]  「耶和華對約書亞說
[00:01:12.000 --> 00:01:15.000]  你不要因他們懼怕
[00:01:15.000 --> 00:01:17.000]  明日這時
[00:01:17.000 --> 00:01:22.000]  我必將他們交付以色列人傳言殺了
[00:01:22.000 --> 00:01:26.000]  你要砍斷他們馬的蹄筋
[00:01:26.000 --> 00:01:29.000]  用火焚燒他們的車輛
[00:01:29.000 --> 00:01:33.000]  於是約書亞率領一切兵力
[00:01:33.000 --> 00:01:38.000]  在米倫水邊突然向前攻打他們
[00:01:38.000 --> 00:01:42.000]  耶和華將他們交在以色列人手裡
[00:01:42.000 --> 00:01:45.000]  以色列人就擊殺他們
[00:01:45.000 --> 00:01:49.000]  追趕他們到西頓大城
[00:01:49.000 --> 00:01:52.000]  到米斯利弗馬欽
[00:01:52.000 --> 00:01:56.000]  直到東邊米斯巴的平原
[00:01:56.000 --> 00:01:58.000]  將他們擊殺
[00:01:58.000 --> 00:02:01.000]  沒有留下一個
[00:02:01.000 --> 00:02:05.000]  約書亞就照耶和華所吩咐他的去行
[00:02:05.000 --> 00:02:08.000]  砍斷他們馬的蹄筋
[00:02:08.000 --> 00:02:11.000]  用火焚燒他們的車輛」
[00:02:11.000 --> 00:02:13.000]  第十節
[00:02:13.000 --> 00:02:15.000]  「當時
[00:02:15.000 --> 00:02:18.000]  約書亞轉回奪了下所
[00:02:18.000 --> 00:02:21.000]  用刀擊殺下所王
[00:02:21.000 --> 00:02:27.000]  數來下所在這諸國中是為首的
[00:02:27.000 --> 00:02:31.000]  以色列人用刀擊殺城中的人口
[00:02:31.000 --> 00:02:34.000]  將他們進行殺滅
[00:02:34.000 --> 00:02:37.000]  凡有氣息的沒有留下一個
[00:02:37.000 --> 00:02:41.000]  約書亞又用火焚燒下所
[00:02:41.000 --> 00:02:46.000]  約書亞奪了這些王的一切成衣
[00:02:46.000 --> 00:02:48.000]  擒獲其中的諸王
[00:02:48.000 --> 00:02:51.000]  用刀擊殺他們
[00:02:51.000 --> 00:02:54.000]  將他們進行殺滅
[00:02:54.000 --> 00:02:58.000]  正如耶和華僕人摩西所吩咐的
[00:02:58.000 --> 00:03:02.000]  至於造在山崗上的城
[00:03:02.000 --> 00:03:04.000]  除了下所以外
[00:03:04.000 --> 00:03:08.000]  以色列人都沒有焚燒
[00:03:08.000 --> 00:03:11.000]  約書亞只將下所焚燒了
[00:03:11.000 --> 00:03:15.000]  那些成衣所有的財物和生畜
[00:03:15.000 --> 00:03:19.000]  以色列人都取為自己的略物
[00:03:19.000 --> 00:03:22.000]  唯有一切人口都用刀擊殺
[00:03:22.000 --> 00:03:24.000]  直到殺盡
[00:03:24.000 --> 00:03:28.000]  凡有氣息的沒有留下一個
[00:03:28.000 --> 00:03:33.000]  耶和華怎樣吩咐他僕人摩西
