
[00:00:00.000 --> 00:00:03.720]  我們以下要聆聽神給我們的說話
[00:00:03.720 --> 00:00:05.800]  我們今天要聽神的說話
[00:00:05.800 --> 00:00:10.400]  記載在羅馬書15章13節
[00:00:10.400 --> 00:00:13.400]  新約聖經第222頁
[00:00:13.400 --> 00:00:16.920]  羅馬書15章13節
[00:00:16.920 --> 00:00:21.400]  但願使人有盼望的神
[00:00:21.400 --> 00:00:25.480]  因信將諸般的喜樂、平安
[00:00:25.480 --> 00:00:27.480]  充滿你們的心
[00:00:27.920 --> 00:00:31.720]  使你們藉著聖靈的能力大有盼望
[00:00:31.720 --> 00:00:35.280]  羅馬書15章13節 讀筆
[00:00:35.280 --> 00:00:45.680]  我們今天很榮幸請到歐長廣博士
[00:00:45.680 --> 00:00:48.360]  歐長廣博士跟我們講道
[00:00:48.360 --> 00:00:52.000]  歐博士是中國神學研究院的輔導科教授
[00:00:52.000 --> 00:00:55.120]  他的講題是「大有盼望的秘訣」
[00:00:55.120 --> 00:00:56.640]  我們將時間交給歐博士
[00:00:56.640 --> 00:00:57.320]  謝謝
[00:00:57.320 --> 00:00:58.320]  謝謝
[00:00:58.320 --> 00:01:06.520]  我想可以將經文打上來就可以了
[00:01:06.520 --> 00:01:11.360]  不用將我的帥哥相片放在這裡
[00:01:11.360 --> 00:01:13.960]  好,大家早上好
[00:01:13.960 --> 00:01:14.960]  早上好
[00:01:14.960 --> 00:01:20.320]  其實疫情又去到八千多宗了
[00:01:20.320 --> 00:01:22.520]  有沒有盼望清零?
[00:01:22.520 --> 00:01:26.040]  沒有吧?
[00:01:27.040 --> 00:01:30.560]  香港回歸二十五週年
[00:01:30.560 --> 00:01:32.120]  又有新的特首了
[00:01:32.120 --> 00:01:35.840]  這位特首有沒有給我們盼望?
[00:01:35.840 --> 00:01:41.040]  一點點也有吧?
[00:01:41.040 --> 00:01:45.520]  好像信心指數高了一點
[00:01:45.520 --> 00:01:54.640]  其實盼望是我們人生裡面很重要的信念
[00:01:54.640 --> 00:01:58.640]  讓我們在疫情、困難裡面能夠繼續走上去
[00:01:58.640 --> 00:02:03.320]  所以今天一反我過往講道
[00:02:03.320 --> 00:02:05.400]  通常是講一段經文多的
[00:02:05.400 --> 00:02:07.640]  今天就講一節經文
[00:02:07.640 --> 00:02:12.880]  因為這節經文裡面有很豐富的訊息
[00:02:12.880 --> 00:02:14.520]  想跟大家分享
[00:02:14.520 --> 00:02:17.960]  我們先看這節經文
[00:02:17.960 --> 00:02:22.200]  和合本的翻譯多了一點
[00:02:22.200 --> 00:02:29.000]  這裡說「但願使人有盼望的神」
[00:02:29.000 --> 00:02:32.200]  但原本的意思是沒有使人這個字
[00:02:32.200 --> 00:02:33.920]  「願盼望的神」
[00:02:33.920 --> 00:02:39.400]  就是將焦點放在我們的神是一個有盼望的神
[00:02:39.400 --> 00:02:42.120]  而不是祂給我們盼望
[00:02:42.120 --> 00:02:47.400]  然後就「將諸般的喜樂、平安充滿你們的心」
[00:02:47.400 --> 00:02:51.440]  「使你們藉著聖靈的能力大有盼望」
[00:02:52.440 --> 00:02:56.440]  盼望是相當重要的
[00:02:56.440 --> 00:02:59.440]  如果一個人沒有盼望的話
[00:02:59.440 --> 00:03:05.440]  最差的情況就會去到自殺、輕生
[00:03:05.440 --> 00:03:12.440]  就好像對前路、前景再沒有盼望
[00:03:12.440 --> 00:03:17.440]  所以如果能夠在人生裡面找到盼望
[00:03:17.440 --> 00:03:20.440]  對我們來說是相當重要的
[00:03:20.440 --> 00:03:25.440]  我想用一點時間和大家看看盼望的神
[00:03:25.440 --> 00:03:30.440]  為什麼會這樣來形容我們的神呢?
[00:03:30.440 --> 00:03:33.440]  God of Hope
[00:03:33.440 --> 00:03:38.440]  我自己是研究心理學的
[00:03:38.440 --> 00:03:41.440]  在研究的過程中
[00:03:41.440 --> 00:03:44.440]  近年有一個叫「正向心理學」
[00:03:44.440 --> 00:03:49.440]  研究哪些人有盼望
[00:03:49.440 --> 00:03:52.440]  是容易有盼望的
[00:03:52.440 --> 00:03:56.440]  我們先看人
[00:03:56.440 --> 00:03:58.440]  一個人為什麼會有盼望呢?
[00:03:58.440 --> 00:04:01.440]  有兩個主要的元素
[00:04:01.440 --> 00:04:03.440]  一個人有盼望
[00:04:03.440 --> 00:04:06.440]  第一個是「Way Power」
[00:04:06.440 --> 00:04:09.440]  一個人能夠找到出路
[00:04:09.440 --> 00:04:12.440]  找到方法解決問題
[00:04:12.440 --> 00:04:14.440]  例如塞車
[00:04:14.440 --> 00:04:19.440]  總有方法離開那個場面
[00:04:19.440 --> 00:04:21.440]  逃出生天
[00:04:21.440 --> 00:04:23.440]  總之有很多辦法
[00:04:23.440 --> 00:04:24.440]  很有方法
[00:04:24.440 --> 00:04:26.440]  我們稱為「很有盼望」
[00:04:26.440 --> 00:04:28.440]  因為他能夠解決面前的問題
[00:04:28.440 --> 00:04:30.440]  所以他有盼望
[00:04:30.440 --> 00:04:32.440]  第二個特徵
[00:04:32.440 --> 00:04:34.440]  一個有盼望的人是
[00:04:34.440 --> 00:04:36.440]  「Will Power」
[00:04:36.440 --> 00:04:37.440]  「Will Power」是什麼意思呢?
[00:04:37.440 --> 00:04:39.440]  是一個很堅毅的信心
[00:04:39.440 --> 00:04:41.440]  他有持久力
[00:04:41.440 --> 00:04:43.440]  不會很快放棄
[00:04:43.440 --> 00:04:45.440]  知道逆境在
[00:04:45.440 --> 00:04:47.440]  他繼續堅持下去
[00:04:47.440 --> 00:04:53.440]  到最後是柳暗花明又一尊
[00:04:53.440 --> 00:04:55.440]  總會有出路
[00:04:55.440 --> 00:04:59.440]  如果有這兩方面特徵的人
[00:04:59.440 --> 00:05:02.440]  我們就稱為「有盼望的人」
[00:05:02.440 --> 00:05:04.440]  我想問問大家
[00:05:04.440 --> 00:05:07.440]  你們有沒有這兩個特徵呢?
[00:05:07.440 --> 00:05:08.440]  「Way Power」
[00:05:08.440 --> 00:05:11.440]  很多辦法
[00:05:11.440 --> 00:05:12.440]  很多東西有出路
[00:05:12.440 --> 00:05:14.440]  有方法處理
[00:05:14.440 --> 00:05:15.440]  「Will Power」
[00:05:15.440 --> 00:05:18.440]  有沒有一個堅毅的信心
[00:05:18.440 --> 00:05:20.440]  持久力
[00:05:20.440 --> 00:05:22.440]  有沒有?
[00:05:22.440 --> 00:05:23.440]  有嗎?
[00:05:23.440 --> 00:05:25.440]  那好啊
[00:05:25.440 --> 00:05:27.440]  怎麼來的呢?
[00:05:27.440 --> 00:05:31.440]  不過盼望這東西
[00:05:31.440 --> 00:05:34.440]  基督徒的心理學家都很有興趣
[00:05:34.440 --> 00:05:37.440]  所以就加多了一個向度
[00:05:37.440 --> 00:05:40.440]  是由「W」這個字開頭
[00:05:40.440 --> 00:05:42.440]  大家猜到嗎?
[00:05:42.440 --> 00:05:45.440]  就是「Wait Power」
[00:05:45.440 --> 00:05:49.440]  等候的能力
[00:05:49.440 --> 00:05:51.440]  為什麼這樣說呢?
[00:05:51.440 --> 00:05:54.440]  羅馬書八章二十四、二十五節
[00:05:54.440 --> 00:05:56.440]  我讀給大家聽
[00:05:56.440 --> 00:05:58.440]  我們得救在於盼望
[00:05:58.440 --> 00:06:00.440]  可視看得見的盼望
[00:06:00.440 --> 00:06:02.440]  就不是盼望
[00:06:02.440 --> 00:06:05.440]  但我們若盼望那看不見的
[00:06:05.440 --> 00:06:08.440]  我們就耐心等候
[00:06:08.440 --> 00:06:10.440]  其實我們基督徒
[00:06:10.440 --> 00:06:12.440]  有別於一般人
[00:06:12.440 --> 00:06:17.440]  我們有一個等候的能力
[00:06:17.440 --> 00:06:21.440]  其實這次新官
[00:06:21.440 --> 00:06:24.440]  真的沒想過這麼多年
[00:06:24.440 --> 00:06:28.440]  SARS很短時間就走了
[00:06:28.440 --> 00:06:31.440]  怎麼這麼久都沒過呢?
[00:06:31.440 --> 00:06:33.440]  等了多久?
[00:06:33.440 --> 00:06:35.440]  誰想去旅行
[00:06:35.440 --> 00:06:37.440]  想到發燒了
[00:06:37.440 --> 00:06:41.440]  這麼久都沒去旅行
[00:06:41.440 --> 00:06:48.440]  原來等待是很考功夫
[00:06:48.440 --> 00:06:52.440]  但如果我們是一個有盼望的人
[00:06:52.440 --> 00:06:55.440]  我們有出路
[00:06:55.440 --> 00:06:57.440]  我們有堅毅的能力
[00:06:57.440 --> 00:07:01.440]  我們有等候的力量
[00:07:01.440 --> 00:07:05.440]  如果我將這三個特質
[00:07:05.440 --> 00:07:09.440]  放在神那裡
[00:07:09.440 --> 00:07:14.440]  神有沒有力量?
[00:07:14.440 --> 00:07:16.440]  我記得有首歌
[00:07:16.440 --> 00:07:18.440]  大家可能很喜歡唱
[00:07:18.440 --> 00:07:21.440]  英文是God will make a way
[00:07:21.440 --> 00:07:22.440]  大家記得
[00:07:22.440 --> 00:07:24.440]  神會開一條路
[00:07:24.440 --> 00:07:27.440]  就算前面好像沒路
[00:07:27.440 --> 00:07:30.440]  祂做工作的能力
[00:07:30.440 --> 00:07:32.440]  我們眼未必能夠看見
[00:07:32.440 --> 00:07:36.440]  祂會為我們開一條新的出路
[00:07:36.440 --> 00:07:39.440]  我們相信神是無所不能的
[00:07:39.440 --> 00:07:44.440]  所以祂有很多方法
[00:07:44.440 --> 00:07:48.440]  去為我們解決前面的困境
[00:07:48.440 --> 00:07:50.440]  神有沒有 will power?
[00:07:50.440 --> 00:07:53.440]  有沒有堅毅的能力?
[00:07:53.440 --> 00:07:54.440]  其實有
