
[00:00:00.000 --> 00:00:02.600]  接下來有林永祥大兄
[00:00:02.600 --> 00:00:04.600]  為我們宣讀一段經文
[00:00:04.600 --> 00:00:08.200]  經文亦印在電視機的內部
[00:00:08.200 --> 00:00:11.400]  也是呼應今天的講道主題
[00:00:11.400 --> 00:00:14.400]  「保羅的勇敢和怯懦」
[00:00:14.400 --> 00:00:18.600]  由梁家騮牧師考慮當中來正讀
[00:00:18.600 --> 00:00:21.600]  先把時間交給林永祥大兄
[00:00:21.600 --> 00:00:34.600]  (教育局局長)
[00:00:34.600 --> 00:00:36.600]  今天要重讀的經文
[00:00:36.600 --> 00:00:41.200]  是哥倫多後書十章一至十八節
[00:00:41.200 --> 00:00:44.200]  請大家打開聖經新著部分
[00:00:44.200 --> 00:00:46.800]  第252頁
[00:00:46.800 --> 00:00:51.000]  哥倫多後書一至十八節
[00:00:52.000 --> 00:00:58.600]  「我保羅就是與你們見面的時候是謙卑的
[00:00:58.600 --> 00:01:01.600]  不在你們那裡的時候
[00:01:01.600 --> 00:01:04.000]  向你們是勇敢的
[00:01:04.000 --> 00:01:11.000]  如今親自藉著基督的溫柔和平勸你們
[00:01:11.000 --> 00:01:15.000]  有人以為我憑著血氣行事
[00:01:15.000 --> 00:01:19.200]  我也以為必須用勇敢待這等人
[00:01:20.000 --> 00:01:24.000]  求你們不要叫我在你們那裡的時候
[00:01:24.000 --> 00:01:26.600]  有這樣的勇敢
[00:01:26.600 --> 00:01:30.600]  因為我們雖然在血氣中行事
[00:01:30.600 --> 00:01:35.000]  卻不憑著血氣征戰
[00:01:35.000 --> 00:01:41.600]  我們征戰的兵器本不是屬血氣的
[00:01:41.600 --> 00:01:45.600]  乃是在神面前有能力
[00:01:46.000 --> 00:01:49.600]  可以攻破堅固的形裡
[00:01:49.600 --> 00:01:52.600]  將各樣的計謀
[00:01:52.600 --> 00:01:55.600]  各樣難阻人認識神
[00:01:55.600 --> 00:02:00.600]  的那些至高之事一概攻破了
[00:02:00.600 --> 00:02:04.600]  又將人所有的心意奪回
[00:02:04.600 --> 00:02:07.600]  使他都順服基督
[00:02:07.600 --> 00:02:11.600]  並且我已經預備好了
[00:02:11.600 --> 00:02:14.600]  等你們十分順服的時候
[00:02:15.000 --> 00:02:19.600]  要責罰那一切不順服的人
[00:02:19.600 --> 00:02:23.600]  你們是看眼前的嗎?
[00:02:23.600 --> 00:02:27.600]  倘若有人自信是屬基督的
[00:02:27.600 --> 00:02:32.600]  他要再想想他如何屬基督
[00:02:32.600 --> 00:02:35.600]  我們也是如何屬基督的
[00:02:35.600 --> 00:02:38.600]  主賜給我們權柄
[00:02:38.600 --> 00:02:40.600]  是要造就你們
[00:02:40.600 --> 00:02:43.600]  並不是要敗壞你們
[00:02:44.000 --> 00:02:48.600]  我就是為這種權柄稍微誇口
[00:02:48.600 --> 00:02:51.600]  也不至於慚愧
[00:02:51.600 --> 00:02:53.600]  我說者說
[00:02:53.600 --> 00:02:58.600]  免得你們以為我寫信要威嚇你們
[00:02:58.600 --> 00:03:00.600]  因為有人說
[00:03:00.600 --> 00:03:04.600]  他的信又沉重又厲害
[00:03:04.600 --> 00:03:08.600]  及至見面卻是氣貌不揚
[00:03:08.600 --> 00:03:11.600]  言語躁俗的
[00:03:12.000 --> 00:03:13.600]  這等人當想
[00:03:13.600 --> 00:03:16.600]  我們不在那裡的時候
[00:03:16.600 --> 00:03:19.600]  信上的言語如何
[00:03:19.600 --> 00:03:23.600]  見面的時候行事也必如何
[00:03:23.600 --> 00:03:26.600]  因為我們不敢將自己
