
[00:00:00.000 --> 00:00:05.000]  今日我們選讀的經文是《舊約聖經》的針言
[00:00:05.000 --> 00:00:11.000]  《舊約聖經》針言第八章十二至三十一節
[00:00:11.000 --> 00:00:13.000]  請聽我讀出
[00:00:13.000 --> 00:00:19.000]  我自謂以靈命為居所
[00:00:19.000 --> 00:00:22.000]  又尋得知識和謀略
[00:00:22.000 --> 00:00:24.000]  敬畏耶和華
[00:00:24.000 --> 00:00:27.000]  在乎恨惡邪惡
[00:00:27.000 --> 00:00:30.000]  那驕傲狂妄並惡毒
[00:00:30.000 --> 00:00:35.000]  以及乖貓的口都為我所恨惡
[00:00:35.000 --> 00:00:38.000]  我有謀略和真知識
[00:00:38.000 --> 00:00:41.000]  我乃聰明我有能力
[00:00:41.000 --> 00:00:44.000]  帝王藉我坐國位
[00:00:44.000 --> 00:00:47.000]  君王藉我定公平
[00:00:47.000 --> 00:00:49.000]  王子和首領
[00:00:49.000 --> 00:00:51.000]  世上一切的審判官
[00:00:51.000 --> 00:00:54.000]  都是藉我掌權
[00:00:54.000 --> 00:00:58.000]  愛我的我也愛他
[00:00:58.000 --> 00:01:02.000]  懇切尋求我的必尋得見
[00:01:02.000 --> 00:01:05.000]  豐富尊榮在我
[00:01:05.000 --> 00:01:09.000]  恨狗的才並公義也在我
[00:01:09.000 --> 00:01:12.000]  我的果實勝過黃金
[00:01:12.000 --> 00:01:14.000]  強如精金
[00:01:14.000 --> 00:01:18.000]  我的出產超乎高銀
[00:01:18.000 --> 00:01:20.000]  我在公義的道上走
[00:01:20.000 --> 00:01:22.000]  在公平的路中行
[00:01:22.000 --> 00:01:25.000]  使愛我的承受貨才
[00:01:25.000 --> 00:01:29.000]  並充滿他們的付付
[00:01:29.000 --> 00:01:32.000]  在耶和華造化的起頭
[00:01:32.000 --> 00:01:37.000]  我在太初創造萬物之先就有了我
[00:01:37.000 --> 00:01:39.000]  從僅古從太初
[00:01:39.000 --> 00:01:43.000]  未有世界以前我已被立
[00:01:43.000 --> 00:01:47.000]  沒有深淵沒有大水的泉源
[00:01:47.000 --> 00:01:50.000]  我已伸出
[00:01:50.000 --> 00:01:52.000]  大山未曾奠定
[00:01:52.000 --> 00:01:54.000]  小山未有之先
[00:01:54.000 --> 00:01:56.000]  我已伸出
[00:01:56.000 --> 00:02:00.000]  耶和華還沒有創造大地和田野
[00:02:00.000 --> 00:02:02.000]  並世上的土質
[00:02:02.000 --> 00:02:04.000]  我已伸出
[00:02:04.000 --> 00:02:06.000]  他立高天
[00:02:06.000 --> 00:02:08.000]  我在那裡
[00:02:08.000 --> 00:02:10.000]  他在冤滅的周圍
[00:02:10.000 --> 00:02:12.000]  劃出圓圈
[00:02:12.000 --> 00:02:14.000]  上使窮滄堅硬
[00:02:14.000 --> 00:02:19.000]  下使深淵穩固
[00:02:19.000 --> 00:02:21.000]  為滄海訂出界限
[00:02:21.000 --> 00:02:24.000]  使水不越過他的命令
[00:02:24.000 --> 00:02:27.000]  立定大地的根基
