
[00:00:00.000 --> 00:00:03.920]  接著我們透過經文敬拜主
[00:00:03.920 --> 00:00:09.640]  我們請看約書亞記十二章一至二十四節
[00:00:09.640 --> 00:00:15.800]  是記載在舊約二百七十七至二百七十八頁
[00:00:15.800 --> 00:00:20.240]  經文裏面這樣說
[00:00:20.240 --> 00:00:25.880]  以色列人在約旦河外向日出之地擊殺二王
[00:00:25.880 --> 00:00:31.240]  突他們的地,就是從亞亂谷直到黑門山
[00:00:31.240 --> 00:00:34.720]  並東邊的全阿拉巴之地
[00:00:34.720 --> 00:00:39.880]  這二王有著希實本阿摩利人的王西雲
[00:00:39.880 --> 00:00:46.320]  他所管之地是從亞亂谷邊的亞羅爾和谷中的城
[00:00:46.320 --> 00:00:52.240]  並激烈一半直到阿摩利人的境界亞博河
[00:00:52.240 --> 00:00:57.840]  與約旦河東邊的阿拉巴直到基利烈海
[00:00:57.840 --> 00:01:01.480]  又到阿拉巴的海,就是嚴海
[00:01:01.480 --> 00:01:08.360]  通伯耶西末的路以及南方直到比斯加的山根
[00:01:08.360 --> 00:01:10.760]  又有巴沙王岳
[00:01:10.760 --> 00:01:13.920]  他是利弗欽人所盛夏的
[00:01:13.920 --> 00:01:17.080]  住在亞斯他祿和爾德萊
[00:01:17.080 --> 00:01:20.520]  他所管理的地是黑門山
[00:01:20.520 --> 00:01:26.640]  剎那巴山全地直到基述人黃馬加人的境界
[00:01:26.640 --> 00:01:32.560]  並激烈一半直到希實本王西雲的境界
[00:01:32.560 --> 00:01:38.040]  這二王是耶和華伯人摩西和以色列人所擊殺的
[00:01:38.040 --> 00:01:41.360]  耶和華伯人摩西將他們的地
[00:01:41.360 --> 00:01:47.600]  賜給劉邊人、加德人和馬拿西半支派的人為業
[00:01:50.320 --> 00:01:51.440]  第七節
[00:01:51.440 --> 00:01:56.840]  「約書亞和以色列人在約旦河西擊殺了諸王
[00:01:56.840 --> 00:02:01.400]  他們的地是從黎巴嫩平原的巴力加德
[00:02:01.400 --> 00:02:04.320]  直到上西伊的哈拉山
[00:02:04.320 --> 00:02:09.480]  約書亞就將那地安著以色列支派的宗族
[00:02:09.480 --> 00:02:11.880]  分給他們為業
[00:02:11.880 --> 00:02:17.080]  就是黑人、阿摩利人、加南人、比利西人
[00:02:17.080 --> 00:02:20.080]  希美人、耶布斯人的山地
[00:02:20.080 --> 00:02:24.920]  高原阿拉巴、山坡、曠野和南地
[00:02:24.920 --> 00:02:26.840]  他們的王
[00:02:26.840 --> 00:02:28.880]  一個是耶利哥王
[00:02:28.880 --> 00:02:32.440]  一個是靠近伯特利的艾城王
[00:02:32.440 --> 00:02:34.720]  一個是耶路撒冷王
[00:02:34.720 --> 00:02:37.480]  一個是希伯倫王
[00:02:37.480 --> 00:02:39.720]  一個是耶美王
