
[00:00:00.000 --> 00:00:02.900]  我們今天要聽神的話是記載在
[00:00:02.900 --> 00:00:06.800]  約書雅記第六章一至二十一節
[00:00:06.800 --> 00:00:11.200]  約書雅記第六章一至二十一節
[00:00:11.200 --> 00:00:16.100]  念到的是記載在舊約聖經第二百六十八頁
[00:00:16.100 --> 00:00:19.500]  第六章約書雅記第一節
[00:00:19.500 --> 00:00:26.600]  耶利哥的城門因以色列人
[00:00:26.600 --> 00:00:28.300]  就關得嚴緊
[00:00:29.400 --> 00:00:30.500]  無人出入
[00:00:30.500 --> 00:00:33.400]  耶和華曉遇約書雅說
[00:00:33.400 --> 00:00:34.300]  看啊
[00:00:34.300 --> 00:00:38.400]  我已經把耶利哥和耶利哥的王
[00:00:38.400 --> 00:00:41.900]  並大能的勇士都交在你手中
[00:00:41.900 --> 00:00:45.700]  你們一切兵兵要圍繞這城
[00:00:45.700 --> 00:00:47.300]  一日圍繞一次
[00:00:47.300 --> 00:00:49.100]  六日都要這樣行
[00:00:49.100 --> 00:00:54.000]  七個祭司要拿七個楊角走在約櫃前
[00:00:54.000 --> 00:00:55.700]  到第七日
[00:00:55.700 --> 00:00:58.500]  你們要繞成七次
[00:00:59.100 --> 00:01:00.600]  祭司也要吹角
[00:01:00.600 --> 00:01:03.400]  他們吹的角聲延長
[00:01:03.400 --> 00:01:04.600]  拖長
[00:01:04.600 --> 00:01:06.500]  你們聽見角聲
[00:01:06.500 --> 00:01:08.800]  眾百姓要大聲呼喊
[00:01:08.800 --> 00:01:12.100]  城牆就必塌陷
[00:01:12.100 --> 00:01:14.400]  各人都要往前直上
[00:01:14.400 --> 00:01:17.900]  亂的兒子約書雅召了祭司來
[00:01:17.900 --> 00:01:19.800]  吩咐他們說
[00:01:19.800 --> 00:01:22.200]  你們抬起約櫃來
[00:01:22.200 --> 00:01:26.300]  要有七個祭司拿七個楊角
[00:01:26.300 --> 00:01:28.800]  在耶和華的約櫃前
[00:01:29.500 --> 00:01:30.600]  有對百姓說
[00:01:30.600 --> 00:01:32.100]  你們前去繞城
[00:01:32.100 --> 00:01:37.100]  大兵氣的要走在耶和華的約櫃前
[00:01:37.100 --> 00:01:39.000]  第八節
[00:01:39.000 --> 00:01:41.900]  約書雅對百姓說了話
[00:01:41.900 --> 00:01:44.500]  說完了話七個祭司拿七個楊角
[00:01:44.500 --> 00:01:47.100]  走在耶和華面前吹角
[00:01:47.100 --> 00:01:50.700]  耶和華的約櫃在他們後面跟隨
[00:01:50.700 --> 00:01:55.400]  大兵氣的走在吹角的祭司前面
[00:01:55.400 --> 00:01:58.000]  後隊隨在約櫃行
[00:01:59.000 --> 00:02:01.000]  祭司一面走一面吹
[00:02:01.000 --> 00:02:03.500]  約書雅吩咐百姓說
