
[00:00:00.000 --> 00:00:02.500]  今天的經訓是記載在
[00:00:02.500 --> 00:00:06.900]  肥立比書二章十九至三十節
[00:00:06.900 --> 00:00:11.200]  在各位的聖經新約二百七十五頁
[00:00:11.200 --> 00:00:13.700]  聖經這樣說
[00:00:13.700 --> 00:00:19.700]  「我靠主耶穌指望快打發提摩太去見你們
[00:00:19.700 --> 00:00:22.400]  叫我知道你們的事
[00:00:22.400 --> 00:00:24.900]  心裡就得著安慰
[00:00:24.900 --> 00:00:28.500]  因為我沒有別人與我同心
[00:00:29.000 --> 00:00:31.200]  實在掛念你們的事
[00:00:31.200 --> 00:00:33.800]  別人都求自己的事
[00:00:33.800 --> 00:00:36.500]  並不求耶穌基督的事
[00:00:36.500 --> 00:00:40.200]  但你們知道提摩太的名正
[00:00:40.200 --> 00:00:43.800]  他興旺福音與我同流
[00:00:43.800 --> 00:00:47.100]  待我像兒子待父親一樣
[00:00:47.100 --> 00:00:52.100]  所以我一看出我的事要怎樣了結
[00:00:52.100 --> 00:00:55.400]  就盼望立刻打發他去
[00:00:55.900 --> 00:00:59.100]  但我靠著主自命自信
[00:00:59.100 --> 00:01:00.800]  我也必快去
[00:01:00.800 --> 00:01:04.000]  然而我想必須打發
[00:01:04.000 --> 00:01:07.000]  以巴伐提到你們那裡去
[00:01:07.000 --> 00:01:10.200]  他是我的兄弟
[00:01:10.200 --> 00:01:12.200]  與我一同作供
[00:01:12.200 --> 00:01:13.700]  一同當兵
[00:01:13.700 --> 00:01:16.200]  是你們所差遣的
[00:01:16.200 --> 00:01:18.700]  也是供給我所需用的
[00:01:18.700 --> 00:01:21.400]  他很想念你們眾人
[00:01:21.400 --> 00:01:23.800]  並且極其難過
[00:01:24.000 --> 00:01:26.900]  因為你們聽見他病了
[00:01:26.900 --> 00:01:28.900]  他實在是病了
[00:01:28.900 --> 00:01:30.300]  幾乎要死
[00:01:30.300 --> 00:01:32.800]  然而神連恤他
[00:01:32.800 --> 00:01:34.600]  不但連吻他
[00:01:34.600 --> 00:01:35.900]  也連恤我
[00:01:35.900 --> 00:01:38.300]  免得我憂上加憂
[00:01:38.300 --> 00:01:41.800]  所以我越發急速打發他去
[00:01:41.800 --> 00:01:43.900]  叫你們再見他
[00:01:43.900 --> 00:01:45.600]  就可以喜樂
[00:01:45.600 --> 00:01:48.300]  我也可以少些憂愁
[00:01:48.300 --> 00:01:51.400]  故此你們要在主裡
[00:01:51.400 --> 00:01:53.900]  歡歡樂樂地接待他
[00:01:54.100 --> 00:01:56.900]  而且要尊重這樣的人
[00:01:56.900 --> 00:02:00.300]  因為他作基督的功夫
[00:02:00.300 --> 00:02:01.800]  幾乎致死
[00:02:01.800 --> 00:02:03.200]  不顧性命
[00:02:03.200 --> 00:02:05.700]  要補足你們供給我的
[00:02:05.700 --> 00:02:07.300]  不及之處
[00:02:07.300 --> 00:02:08.300]  聖經獨筆
[00:02:08.300 --> 00:02:25.300]  (字幕:陳志全)
[00:02:25.300 --> 00:02:29.300]  (字幕:陳志全)
[00:02:29.500 --> 00:02:31.300]  好,弟兄姊妹早安
[00:02:31.300 --> 00:02:35.300]  看見樣子有點尷尬
[00:02:35.300 --> 00:02:39.300]  我們先將自己交託給上帝
[00:02:39.300 --> 00:02:40.500]  我們同心禱告
[00:02:40.500 --> 00:02:45.200]  親愛的主我們求祢的靈與我們同在
[00:02:45.200 --> 00:02:46.600]  得著我們
[00:02:46.600 --> 00:02:48.600]  讓我們的心
[00:02:48.600 --> 00:02:51.600]  因祢的聖經更加歸向祢
[00:02:51.600 --> 00:02:53.400]  更加跟從祢
[00:02:53.400 --> 00:02:57.700]  將我們整個人生交託給祢
[00:02:58.200 --> 00:03:00.700]  同心禱告奉耶穌基督的聖名
[00:03:00.700 --> 00:03:02.000]  阿們
[00:03:02.000 --> 00:03:05.700]  有一間教會需要去抗唐
[00:03:05.700 --> 00:03:10.800]  唐主任帶領整個抗唐的侍工
[00:03:10.800 --> 00:03:12.500]  他很緊張這些侍工
[00:03:12.500 --> 00:03:14.600]  因為要買新的地方
[00:03:14.600 --> 00:03:19.000]  他就先去收奉獻
[00:03:19.000 --> 00:03:23.000]  他幾乎是強迫每一個弟兄姊妹
[00:03:23.000 --> 00:03:25.000]  都要定額奉獻
[00:03:25.000 --> 00:03:26.700]  有一個名單
[00:03:26.700 --> 00:03:28.500]  你不奉獻在名單上
[00:03:28.500 --> 00:03:30.200]  沒有這樣的金額
[00:03:30.200 --> 00:03:31.900]  你就不愛教會
[00:03:31.900 --> 00:03:33.000]  不屬靈了
[00:03:33.000 --> 00:03:37.500]  然後又強迫教會裡面很多的專業人士
[00:03:37.500 --> 00:03:39.600]  就是建築師
[00:03:39.600 --> 00:03:41.000]  設計師
[00:03:41.000 --> 00:03:42.500]  很多專業人士
[00:03:42.500 --> 00:03:45.000]  全部都要用大量的
[00:03:45.000 --> 00:03:46.600]  工餘的時間
[00:03:46.600 --> 00:03:49.200]  去協助抗唐的侍工
[00:03:49.200 --> 00:03:53.300]  弟兄姊妹真的被他抓得很辛苦
[00:03:53.300 --> 00:03:54.100]  下班
[00:03:54.300 --> 00:03:58.400]  還要有很長時間的加班
[00:03:58.400 --> 00:04:00.200]  最終就搞定了
[00:04:00.200 --> 00:04:01.800]  買到的地方
[00:04:01.800 --> 00:04:03.700]  開了一個獻堂禮
[00:04:03.700 --> 00:04:07.100]  很多會友都沒有出席
[00:04:07.100 --> 00:04:10.500]  這個侍工雖然成功
[00:04:10.500 --> 00:04:12.500]  但是你一看回頭
[00:04:12.500 --> 00:04:14.500]  我的形容就是
[00:04:14.500 --> 00:04:16.100]  屍橫遍野
[00:04:16.100 --> 00:04:19.600]  很多弟兄姊妹都受傷了
[00:04:19.600 --> 00:04:23.200]  沒有人再想跟這個唐主任合作
[00:04:24.000 --> 00:04:25.400]  弟兄姊妹
