
[00:00:00.000 --> 00:00:09.000]  經內容記載在馬太福音第五章第十三至第十六節
[00:00:09.000 --> 00:00:12.000]  亦是大家熟悉的章節
[00:00:12.000 --> 00:00:22.000]  馬太福音第五章第十三節
[00:00:22.000 --> 00:00:25.000]  他是這樣說的
[00:00:25.000 --> 00:00:30.000]  你們是世上的鹽 鹽若失了味 怎能叫它再鹹呢
[00:00:30.000 --> 00:00:36.000]  以後無用 不過凋在外面 被人踐踏了
[00:00:36.000 --> 00:00:42.000]  你們是世上的光 成灶在山上 是不能隱藏的
[00:00:42.000 --> 00:00:48.000]  人點燈 不放在斗底下 是放在燈台上
[00:00:48.000 --> 00:00:55.000]  就照亮一家的人 你們的光也當這樣照在人前
[00:00:55.000 --> 00:01:04.000]  叫他們看見你們的好行為 便將榮耀歸給你們在天上的父
[00:01:13.000 --> 00:01:16.000]  弟兄姊妹平安
[00:01:16.000 --> 00:01:23.000]  今天我們會看耶穌基督在登山補訓上的教導
[00:01:23.000 --> 00:01:27.000]  其實前兩年 二零二一年
[00:01:27.000 --> 00:01:29.000]  大概在這個時候 第一季
[00:01:29.000 --> 00:01:31.000]  我們也分享過八福這個系列
[00:01:31.000 --> 00:01:33.000]  大家還有印象吧
[00:01:33.000 --> 00:01:37.000]  或者如果有需要可以在網上重溫
[00:01:37.000 --> 00:01:42.000]  其實八福是耶穌要求門徒應有的品格
[00:01:42.000 --> 00:01:46.000]  而緊接下來我們剛才所聽的光和鹽的教導
[00:01:46.000 --> 00:01:52.000]  其實耶穌進一步說明門徒和這個世界的關係
[00:01:52.000 --> 00:01:56.000]  對這個世界到底會發揮什麼影響力
[00:01:56.000 --> 00:01:59.000]  如果我們有留意剛才所讀的經文
[00:01:59.000 --> 00:02:05.000]  你會發現其實耶穌宣講的對象是哪些人?
[00:02:05.000 --> 00:02:09.000]  是門徒 或者一些願意跟隨耶穌
[00:02:09.000 --> 00:02:11.000]  喜歡聽他的教訓的人
[00:02:11.000 --> 00:02:16.000]  絕大部分都是學歷或社會地位不高的人
[00:02:16.000 --> 00:02:22.000]  門徒甚至乎在當時的社會是少數和異類
[00:02:22.000 --> 00:02:25.000]  其實這麼微小、這麼薄弱的力量
[00:02:25.000 --> 00:02:29.000]  真的可以改變這個世界?
[00:02:29.000 --> 00:02:33.000]  其實聽起來有點令人難以置信
[00:02:33.000 --> 00:02:39.000]  於是你看到耶穌就舉了兩個跟日常生活息息相關的比喻
[00:02:39.000 --> 00:02:44.000]  來肯定門徒確實對世界是有影響力的
[00:02:44.000 --> 00:02:48.000]  祂表示門徒是世上的鹽、世上的光
[00:02:48.000 --> 00:02:53.000]  鹽和燈光可以說是當時每家每戶必備的
[00:02:53.000 --> 00:02:56.000]  其實是很普通、很平凡的事情
[00:02:56.000 --> 00:02:58.000]  不過卻是很有價值
[00:02:58.000 --> 00:03:02.000]  可以為當時的人帶來許多益處
[00:03:02.000 --> 00:03:04.000]  特別在古羅馬的時代
[00:03:04.000 --> 00:03:11.000]  鹽可以說是當時羅馬軍隊的糧餉
[00:03:11.000 --> 00:03:15.000]  就好像今天我們說的英文的薪金
[00:03:15.000 --> 00:03:17.000]  其實是甚麼英文字?
[00:03:17.000 --> 00:03:18.000]  Salary,是嗎?
[00:03:18.000 --> 00:03:23.000]  其實是來自古羅馬的拉丁文Salarium
[00:03:23.000 --> 00:03:25.000]  意思其實是Short Money
[00:03:25.000 --> 00:03:31.000]  即是鹽的貨幣
[00:03:31.000 --> 00:03:38.000]  反映當時鹽在當時的社會是相當有價值的
[00:03:38.000 --> 00:03:40.000]  當然今天我們出糧
[00:03:40.000 --> 00:03:42.000]  沒有人會給你一包鹽當作是出糧
[00:03:42.000 --> 00:03:47.000]  不過鹽同樣對我們有許多的用處
[00:03:47.000 --> 00:03:51.000]  首先我們會明白鹽裏面有鈉的成份
[00:03:51.000 --> 00:03:55.000]  Sodium,是我們人體必需的營養素
[00:03:55.000 --> 00:03:58.000]  為我們提供變解質
[00:03:58.000 --> 00:04:01.000]  鹽亦可以作為一個防腐劑
[00:04:01.000 --> 00:04:05.000]  特別在以前未有雪櫃、冰箱發明之前
[00:04:05.000 --> 00:04:07.000]  我們會用鹽來做甚麼?
[00:04:07.000 --> 00:04:10.000]  來醃製食物
[00:04:10.000 --> 00:04:13.000]  令它不容易變爛
[00:04:13.000 --> 00:04:15.000]  又或者可以增加保存度
[00:04:15.000 --> 00:04:16.000]  可以放得久一點
[00:04:16.000 --> 00:04:19.000]  其實今天我們都沿用這個方法
[00:04:19.000 --> 00:04:22.000]  你在生活上都接觸到很多用鹽醃製的食物
[00:04:22.000 --> 00:04:24.000]  可以放得久一點、存夠一點
[00:04:24.000 --> 00:04:26.000]  又或者喜歡煮食的弟兄姊妹
[00:04:26.000 --> 00:04:29.000]  在你的廚房一定會有甚麼?
[00:04:29.000 --> 00:04:31.000]  一定有鹽,用來做甚麼?
[00:04:31.000 --> 00:04:35.000]  用鹽煮食物、醃肉、調味
[00:04:35.000 --> 00:04:39.000]  還有如果我們有急凍雪藏的肉類
[00:04:39.000 --> 00:04:43.000]  拿出來有雪櫃的氣味
[00:04:43.000 --> 00:04:45.000]  如何去除它?
[00:04:45.000 --> 00:04:48.000]  其實可以用鹽水浸泡
[00:04:48.000 --> 00:04:50.000]  去除雪味
[00:04:50.000 --> 00:04:54.000]  令食物更加滋味和可口
[00:04:54.000 --> 00:04:57.000]  當然你會看到耶穌表示
[00:04:57.000 --> 00:04:59.000]  鹽要發揮功效
[00:04:59.000 --> 00:05:01.000]  其實是有一個條件
[00:05:01.000 --> 00:05:05.000]  就是必須保持它應有的鹹味
[00:05:05.000 --> 00:05:06.000]  耶穌這裡說
[00:05:06.000 --> 00:05:08.000]  鹽若失去鹹味
[00:05:08.000 --> 00:05:11.000]  就會變成沒用
[00:05:11.000 --> 00:05:13.000]  亦會被人調戲
[00:05:13.000 --> 00:05:16.000]  其實祂在說甚麼意思呢?
[00:05:16.000 --> 00:05:18.000]  原來在古代巴勒斯坦
[00:05:18.000 --> 00:05:19.000]  他們吃到的鹽
[00:05:19.000 --> 00:05:21.000]  和我們今天在超市、雜貨店
[00:05:21.000 --> 00:05:23.000]  買到的食鹽
[00:05:23.000 --> 00:05:25.000]  其實不是那些
[00:05:25.000 --> 00:05:29.000]  絕大部分都是從礦場
[00:05:29.000 --> 00:05:31.000]  或是岩洞
[00:05:31.000 --> 00:05:34.000]  挖出來的岩鹽或礦鹽
[00:05:34.000 --> 00:05:35.000]  挖出來的時候
[00:05:35.000 --> 00:05:37.000]  像一塊石頭般大
[00:05:37.000 --> 00:05:42.000]  而鹽份就包含在岩石的表面
[00:05:42.000 --> 00:05:43.000]  換句話來說
[00:05:43.000 --> 00:05:45.000]  當猶太人吃飯的時候
[00:05:45.000 --> 00:05:47.000]  他們可能會用右手拿著食物
[00:05:47.000 --> 00:05:49.000]  左手拿著甚麼?
[00:05:49.000 --> 00:05:52.000]  就是拿著那塊鹽的石塊
[00:05:52.000 --> 00:05:55.000]  如果想食物更加滋味、更加鹹
[00:05:55.000 --> 00:05:58.000]  可以怎樣做呢?
[00:05:58.000 --> 00:06:01.000]  吃一口食物
[00:06:01.000 --> 00:06:03.000]  然後舔一舔它
[00:06:03.000 --> 00:06:05.000]  舔一舔它
[00:06:05.000 --> 00:06:07.000]  很不衛生吧?
[00:06:07.000 --> 00:06:08.000]  不過你放心
[00:06:08.000 --> 00:06:10.000]  不會大家共用一塊的
[00:06:10.000 --> 00:06:13.000]  理論上可能家裡每個成員
[00:06:13.000 --> 00:06:15.000]  都有自己那塊鹽塊
[00:06:15.000 --> 00:06:16.000]  每次吃飯出來
[00:06:16.000 --> 00:06:18.000]  就拿出來舔一舔
[00:06:18.000 --> 00:06:19.000]  但你想想
[00:06:19.000 --> 00:06:22.000]  石頭上的鹹味會怎樣?
[00:06:22.000 --> 00:06:24.000]  越來越少了
[00:06:24.000 --> 00:06:25.000]  石頭就會越來越淡
[00:06:25.000 --> 00:06:27.000]  甚至失去鹹味
[00:06:27.000 --> 00:06:30.000]  表面看來它還是原先那塊
[00:06:30.000 --> 00:06:32.000]  包著鹽份的石頭
[00:06:32.000 --> 00:06:37.000]  但實際已經是一塊普通石頭
[00:06:37.000 --> 00:06:40.000]  已經失去鹹味
[00:06:40.000 --> 00:06:42.000]  結果就像耶穌所說
[00:06:42.000 --> 00:06:43.000]  沒用的石頭
[00:06:43.000 --> 00:06:45.000]  普通的石頭就怎樣?
[00:06:45.000 --> 00:06:46.000]  扔掉它
[00:06:46.000 --> 00:06:48.000]  扔在外面
[00:06:48.000 --> 00:06:49.000]  被人踐踏
[00:06:49.000 --> 00:06:52.000]  這就是耶穌所說的比喻典故
[00:06:52.000 --> 00:06:55.000]  提醒門徒不可以成為
[00:06:55.000 --> 00:06:57.000]  一塊失去味道的鹽
[00:06:57.000 --> 00:07:01.000]  到底怎樣才能保持
[00:07:01.000 --> 00:07:04.000]  作為鹽的效果呢?
