
[00:00:00.000 --> 00:00:04.300]  今日的經訓是《以賽雅書》第十四章
[00:00:04.300 --> 00:00:07.640]  不是 第二十八章十四節至二十二節
[00:00:07.640 --> 00:00:11.080]  在唐用的聖經九百四十四頁
[00:00:11.080 --> 00:00:13.880]  是舊約的《以賽雅書》
[00:00:13.880 --> 00:00:20.280]  請聽我讀出
[00:00:20.280 --> 00:00:25.040]  所以你們這些洩漫的人
[00:00:25.040 --> 00:00:29.560]  就是核管著在耶路撒冷這百姓的
[00:00:30.040 --> 00:00:32.040]  要聽耶和華的話
[00:00:32.040 --> 00:00:33.880]  你們曾說
[00:00:33.880 --> 00:00:36.760]  我們與死亡納約
[00:00:36.760 --> 00:00:38.760]  與陰間結盟
[00:00:38.760 --> 00:00:43.080]  敵軍如水漲漫經過的時候
[00:00:43.080 --> 00:00:45.000]  必不臨到我們
[00:00:45.000 --> 00:00:48.760]  因我們以謊言為被鎖
[00:00:48.760 --> 00:00:51.840]  在虛假以下藏身
[00:00:51.840 --> 00:00:56.040]  所以主耶和華如此說
[00:00:56.440 --> 00:01:01.560]  看啊!我在石安放一塊石頭作為根基
[00:01:01.560 --> 00:01:04.040]  是試驗過的石頭
[00:01:04.040 --> 00:01:06.920]  是穩固根基
[00:01:06.920 --> 00:01:09.400]  寶貴的防角石
[00:01:09.400 --> 00:01:12.440]  信靠的人必不著急
[00:01:12.440 --> 00:01:15.720]  我必以公平為準繩
[00:01:15.720 --> 00:01:18.840]  以公義為善途
[00:01:18.840 --> 00:01:23.280]  兵駁必衝去謊言的被鎖
[00:01:23.800 --> 00:01:27.080]  大水必漫過藏身之處
[00:01:27.080 --> 00:01:32.280]  你們與死亡所納的約必然廢掉
[00:01:32.280 --> 00:01:34.760]  與陰間所結的盟
[00:01:34.760 --> 00:01:37.960]  必納不住
[00:01:37.960 --> 00:01:42.200]  敵軍如水漲漫經過的時候
[00:01:42.200 --> 00:01:45.160]  你們必被他踐踏
[00:01:45.160 --> 00:01:49.120]  每逢經過必將你們擄去
[00:01:49.520 --> 00:01:53.120]  因為每早晨他必經過
[00:01:53.120 --> 00:01:56.800]  白晝黑夜都必如此
[00:01:56.800 --> 00:02:00.720]  明白傳言的必受驚恐
[00:02:00.720 --> 00:02:06.080]  原來藏塔短使人不能書身
[00:02:06.080 --> 00:02:10.000]  鐵鍋窄使人不能遮體
[00:02:10.000 --> 00:02:12.320]  耶和華必興起
[00:02:12.320 --> 00:02:16.800]  葬在比拉森山他必發怒
[00:02:16.800 --> 00:02:18.960]  葬在雞片谷
[00:02:19.920 --> 00:02:21.680]  好作成他的功
[00:02:21.680 --> 00:02:24.080]  就是非常的功
[00:02:24.080 --> 00:02:25.920]  成就他的事
[00:02:25.920 --> 00:02:28.000]  就是奇異的事
[00:02:28.000 --> 00:02:31.760]  現在你們不可洩漫
[00:02:31.760 --> 00:02:36.880]  恐怕捆你們的綁索更結實了
[00:02:36.880 --> 00:02:42.000]  因為我從主萬軍之耶和華那裡聽見
[00:02:42.000 --> 00:02:47.520]  已經決定在全地上施行滅絕的事
[00:02:48.480 --> 00:02:53.280]  聖經讀不願神賜福常讀句話與並且遵行的人
[00:02:53.280 --> 00:03:02.480]  請姐妹平安
[00:03:02.480 --> 00:03:08.000]  相信剛才我們所聆聽的經文
[00:03:08.000 --> 00:03:11.360]  特別提到「防國石」這三個字
[00:03:11.360 --> 00:03:14.080]  我想我們對這三個字不陌生
[00:03:14.720 --> 00:03:19.520]  特別留意新教聖經常常出現
[00:03:19.520 --> 00:03:22.960]  與「防國石」相關的教導
[00:03:22.960 --> 00:03:27.600]  我們明白在建築層面來說
[00:03:27.600 --> 00:03:31.040]  「防國石」就是整棟建築物裡
[00:03:31.040 --> 00:03:34.560]  最大塊最堅固的石頭
[00:03:34.560 --> 00:03:36.880]  並且它是第一塊
[00:03:36.880 --> 00:03:40.960]  安放在建築物角落的基石
[00:03:40.960 --> 00:03:42.880]  用來做什麼呢?
[00:03:42.880 --> 00:03:45.120]  除了根基外
[00:03:45.120 --> 00:03:49.040]  當我放了這塊防國石作為基石的時候
[00:03:49.040 --> 00:03:52.080]  是用來提醒和指導建築工人
[00:03:52.080 --> 00:03:59.120]  之後每一塊石頭都要靠著這塊防國石堆疊
[00:03:59.120 --> 00:04:04.080]  要與這塊防國石對準和拍齊
[00:04:04.080 --> 00:04:10.560]  所以其實「防國石」不單只是建築物的根基
[00:04:11.120 --> 00:04:17.760]  其實它同時制定了整棟建築物的發展方向
[00:04:17.760 --> 00:04:19.360]  向著哪裡來建
[00:04:19.360 --> 00:04:21.760]  它的定位到底是怎樣
[00:04:21.760 --> 00:04:25.760]  這是我們對「防國石」很熟悉的地方
[00:04:25.760 --> 00:04:29.120]  不過同樣我們剛才聽這段經文
[00:04:29.120 --> 00:04:31.840]  其實也有一些我們陌生的部分
[00:04:31.840 --> 00:04:36.080]  我們不是太熟悉當時這段經文的背景
[00:04:36.080 --> 00:04:40.080]  所以需要花點時間來做一些了解
