
[00:00:00.000 --> 00:00:06.200]  今日選道的經訓是記在舊約《創世紀》二十二章一至十四節
[00:00:06.200 --> 00:00:10.400]  經文是記載阿伯拉罕獻以殺的事跡
[00:00:10.400 --> 00:00:14.200]  「這些事以後
[00:00:14.200 --> 00:00:19.200]  臣要試驗阿伯拉罕就呼叫他說
[00:00:19.200 --> 00:00:22.200]  阿伯拉罕他說
[00:00:22.200 --> 00:00:25.200]  我在這裡神說
[00:00:25.400 --> 00:00:30.000]  你帶著你的兒子就是你獨生的兒子
[00:00:30.000 --> 00:00:34.000]  你所愛的兒子往摩利亞地去
[00:00:34.000 --> 00:00:40.000]  在我所要指示你的山上把他獻為反制
[00:00:40.000 --> 00:00:43.000]  阿伯拉罕清早起來
[00:00:43.000 --> 00:00:48.400]  被上路帶著兩個僕人和他兒子而殺
[00:00:48.400 --> 00:00:51.200]  也劈好了反制的柴
[00:00:51.600 --> 00:00:55.600]  就起身往神所指示他的地方去了
[00:00:55.600 --> 00:00:58.000]  到了第三日
[00:00:58.000 --> 00:01:02.400]  阿伯拉罕舉目遠遠地看見那地方
[00:01:02.400 --> 00:01:05.600]  阿伯拉罕對他的僕人說
[00:01:05.600 --> 00:01:09.000]  你們和奴在此等候
[00:01:09.000 --> 00:01:12.400]  我與童子往那裡去拜一拜
[00:01:12.400 --> 00:01:15.200]  就會到你們這裡來
[00:01:15.200 --> 00:01:21.000]  阿伯拉罕把反制的柴放在他兒子以殺身上
[00:01:21.200 --> 00:01:24.200]  自己手裡拿著火魚刀
[00:01:24.200 --> 00:01:26.800]  於是二人同行
[00:01:26.800 --> 00:01:30.600]  以殺對他父親阿伯拉罕說
[00:01:30.600 --> 00:01:32.000]  父親啊
[00:01:32.000 --> 00:01:33.800]  阿伯拉罕說
[00:01:33.800 --> 00:01:36.800]  我兒我在這裡
[00:01:36.800 --> 00:01:38.400]  以殺說
[00:01:38.400 --> 00:01:41.600]  請看火魚柴都有了
[00:01:41.600 --> 00:01:44.400]  但反制的羊羔在哪裡呢
[00:01:44.400 --> 00:01:46.400]  阿伯拉罕說
[00:01:46.800 --> 00:01:52.000]  我兒神必自己預備作反制的羊羔
[00:01:52.000 --> 00:01:54.600]  於是二人同行
[00:01:54.600 --> 00:01:58.600]  他們到了神所指示的地方
[00:01:58.600 --> 00:02:01.400]  阿伯拉罕在那裡築壇
[00:02:01.400 --> 00:02:03.400]  把柴擺好
[00:02:03.400 --> 00:02:06.000]  捆綁他的兒子以殺
[00:02:06.000 --> 00:02:08.400]  放在壇的柴上
[00:02:08.400 --> 00:02:11.000]  阿伯拉罕就伸手拿刀
[00:02:11.000 --> 00:02:12.800]  要殺他的兒子
[00:02:13.400 --> 00:02:16.800]  耶和華的使者從天上呼叫他說
[00:02:16.800 --> 00:02:19.000]  阿伯拉罕 阿伯拉罕
[00:02:19.000 --> 00:02:20.000]  他說
[00:02:20.000 --> 00:02:21.600]  我在這裡
[00:02:21.600 --> 00:02:23.000]  天使說
[00:02:23.000 --> 00:02:26.600]  你不可在這童子身上下手
[00:02:26.600 --> 00:02:28.800]  一點不可害他
[00:02:28.800 --> 00:02:32.400]  現在我知道你是敬畏神的了
[00:02:32.400 --> 00:02:35.400]  因為你沒有將你的兒子
[00:02:35.400 --> 00:02:37.800]  就是你獨生的兒子
[00:02:37.800 --> 00:02:39.600]  留下不給我
[00:02:39.600 --> 00:02:42.600]  阿伯拉罕舉目觀看
[00:02:42.800 --> 00:02:45.000]  不料有一隻公羊
[00:02:45.000 --> 00:02:48.400]  兩個扣在稠密的小樹中
[00:02:48.400 --> 00:02:51.800]  阿伯拉罕就取了那隻公羊來
[00:02:51.800 --> 00:02:53.600]  獻為反制
[00:02:53.600 --> 00:02:55.800]  代替他的兒子
[00:02:55.800 --> 00:02:58.800]  阿伯拉罕給那地方起名叫
[00:02:58.800 --> 00:03:00.400]  耶和華爾納
[00:03:00.400 --> 00:03:02.000]  直到今天
[00:03:02.000 --> 00:03:03.400]  人還算
[00:03:03.400 --> 00:03:07.200]  在耶和華的山上必有預備
[00:03:07.200 --> 00:03:16.200]  (廣東話)
[00:03:16.200 --> 00:03:19.200]  今天很開心有一個很熟很熟的
[00:03:19.200 --> 00:03:21.600]  廣州朋友在我們當中
[00:03:21.600 --> 00:03:23.400]  林家洪牧師
[00:03:23.400 --> 00:03:27.000]  相信在座的弟兄姊妹很多都認識他
[00:03:27.000 --> 00:03:28.400]  他也很熟的廣州人
[00:03:28.400 --> 00:03:31.800]  林家洪牧師現在是荃灣浸信會
[00:03:31.800 --> 00:03:34.200]  東涌福音堂的主任牧師
[00:03:34.200 --> 00:03:35.400]  我一來到
[00:03:35.600 --> 00:03:39.000]  他就叫我叫他做Rambo牧師
[00:03:39.000 --> 00:03:41.600]  我把時間交給Rambo牧師
[00:03:41.600 --> 00:03:49.600]  弟兄姊妹平安
[00:03:49.600 --> 00:03:50.600]  平安
[00:03:50.600 --> 00:03:52.600]  很感恩回到家中
[00:03:52.600 --> 00:03:54.600]  多謝岑牧師的邀請
[00:03:54.600 --> 00:03:57.600]  可以回到家中的感覺
[00:03:57.600 --> 00:03:58.600]  很熟悉
[00:03:58.600 --> 00:04:01.600]  見到很多阿姨
[00:04:01.600 --> 00:04:05.400]  見到很多很熟悉的叔叔
[00:04:05.400 --> 00:04:08.400]  覺得很親切
[00:04:08.400 --> 00:04:10.400]  回到家中的感覺
[00:04:10.400 --> 00:04:13.400]  好像走了船回來家中的感覺
[00:04:13.400 --> 00:04:15.400]  我不知道走了船是怎樣
[00:04:15.400 --> 00:04:16.400]  好像很久沒有回來
[00:04:16.400 --> 00:04:17.400]  回來後很熟悉
[00:04:17.400 --> 00:04:20.400]  感到很感恩
[00:04:20.400 --> 00:04:21.400]  見到弟兄姊妹
[00:04:21.400 --> 00:04:22.400]  大家都很精神
[00:04:22.400 --> 00:04:26.400]  每個人都說Rambo你又肥了
