
[00:00:00.000 --> 00:00:02.000]  之後是經訓
[00:00:02.000 --> 00:00:05.080]  今天的經文是在二弗所書
[00:00:05.080 --> 00:00:08.120]  六章十至二十節
[00:00:08.120 --> 00:00:11.120]  新約聖經二百七十頁
[00:00:11.120 --> 00:00:13.120]  (見課)
[00:00:14.080 --> 00:00:16.080]  我還有沒了的話
[00:00:16.080 --> 00:00:18.080]  你們要靠著主
[00:00:18.080 --> 00:00:20.080]  倚靠他的大能大力
[00:00:20.080 --> 00:00:22.080]  作剛強的人
[00:00:22.080 --> 00:00:25.280]  要穿戴神所設的全副軍裝
[00:00:25.280 --> 00:00:28.480]  就能抵擋魔鬼的詭計
[00:00:28.480 --> 00:00:31.760]  因我們並不是遇屬血氣的真賤
[00:00:31.760 --> 00:00:33.760]  乃是遇那些執政的
[00:00:33.760 --> 00:00:34.880]  掌權的
[00:00:34.880 --> 00:00:37.120]  管轄這幽暗世界的
[00:00:37.120 --> 00:00:40.720]  以及天空屬靈氣的惡魔真賤
[00:00:40.720 --> 00:00:44.720]  所以要拿起神所設的全副軍裝
[00:00:44.720 --> 00:00:48.000]  好在磨爛的日子抵擋受敵
[00:00:48.000 --> 00:00:50.320]  並且成就了一切
[00:00:50.320 --> 00:00:52.640]  還能站立得住
[00:00:52.640 --> 00:00:56.640]  所以要站穩了
[00:00:56.640 --> 00:00:59.520]  用真理當作帶子束腰
[00:00:59.520 --> 00:01:02.960]  用公義當作護心的借控
[00:01:02.960 --> 00:01:04.720]  又用平安的福音
[00:01:04.720 --> 00:01:08.960]  當作預備走路的鞋穿在腳上
[00:01:08.960 --> 00:01:10.720]  此外
[00:01:10.720 --> 00:01:13.760]  又拿著信德當作藤牌
[00:01:13.760 --> 00:01:17.200]  可以滅盡那惡者一切的火箭
[00:01:17.200 --> 00:01:19.760]  並戴上救恩的頭盔
[00:01:19.760 --> 00:01:22.160]  拿著聖靈寶劍
[00:01:22.160 --> 00:01:24.160]  就是神的道
[00:01:24.160 --> 00:01:25.840]  靠著聖靈
[00:01:25.840 --> 00:01:28.640]  隨時當方禱告祈求
[00:01:28.640 --> 00:01:31.120]  並要在此警醒不倦
[00:01:31.120 --> 00:01:33.600]  為眾聖徒祈求
[00:01:33.600 --> 00:01:35.440]  也為我祈求
[00:01:35.440 --> 00:01:37.440]  使我得著口才
