
[00:00:00.000 --> 00:00:05.000]  接著是眾聽聖道敬拜的時間
[00:00:05.000 --> 00:00:09.000]  請黃潔明牧師為我們讀聖經創世紀
[00:00:09.000 --> 00:00:14.000]  接著我們一起聆聽宣講耶和華的同在
[00:00:14.000 --> 00:00:25.000]  今天的經分是記載在創世紀第39章
[00:00:25.000 --> 00:00:29.000]  請聆聽上帝的話
[00:00:30.000 --> 00:00:34.000]  約瑟被帶下埃及去
[00:00:34.000 --> 00:00:39.000]  有一個埃及人是法老的內臣
[00:00:39.000 --> 00:00:42.000]  護衛長波提弗
[00:00:42.000 --> 00:00:46.000]  從那些帶下他來的二十馬利人手下
[00:00:46.000 --> 00:00:49.000]  買了他去
[00:00:49.000 --> 00:00:54.000]  約瑟住在他主人埃及人的家中
[00:00:54.000 --> 00:01:00.000]  耶和華與他同在,他就百事順利
[00:01:00.000 --> 00:01:03.000]  他主人見耶和華與他同在
[00:01:03.000 --> 00:01:09.000]  又見耶和華使他手裡所辦的盡都順利
[00:01:09.000 --> 00:01:13.000]  約瑟就在主人眼前蒙恩
[00:01:13.000 --> 00:01:16.000]  侍候他主人
[00:01:16.000 --> 00:01:19.000]  並且主人派他管理家務
[00:01:19.000 --> 00:01:24.000]  把一切所有的都交在他手裡
[00:01:24.000 --> 00:01:28.000]  自從主人派約瑟管理家務
[00:01:28.000 --> 00:01:31.000]  和他一切所有的
[00:01:31.000 --> 00:01:33.000]  耶和華就因約瑟的緣故
[00:01:33.000 --> 00:01:37.000]  賜福於那埃及人的家
[00:01:37.000 --> 00:01:41.000]  凡家裡莫填間一切所有的
[00:01:41.000 --> 00:01:45.000]  都蒙耶和華賜福
[00:01:45.000 --> 00:01:50.000]  波提弗將一切所有的都交在約瑟的手中
[00:01:50.000 --> 00:01:53.000]  除了自己所吃的飯
[00:01:53.000 --> 00:01:57.000]  別的事亦愧不至
[00:01:57.000 --> 00:02:01.000]  約瑟原來羞瓦盡美
[00:02:01.000 --> 00:02:05.000]  這是以後約瑟主人的妻
[00:02:05.000 --> 00:02:08.000]  以慕頌情給約瑟說
[00:02:08.000 --> 00:02:11.000]  你與我同尋伯
[00:02:11.000 --> 00:02:15.000]  約瑟不從對他主人的妻說
[00:02:15.000 --> 00:02:19.000]  看那一切事務
[00:02:19.000 --> 00:02:21.000]  我主人都不知道
[00:02:21.000 --> 00:02:25.000]  他把所有的都交在我手裡
[00:02:25.000 --> 00:02:28.000]  在這家裡沒有比我大的
[00:02:28.000 --> 00:02:33.000]  並且他沒有留下一樣不交給我
[00:02:33.000 --> 00:02:36.000]  只留下了你
[00:02:36.000 --> 00:02:39.000]  因為你是他的妻子
[00:02:39.000 --> 00:02:45.000]  我怎能作這大惡得罪神呢
[00:02:45.000 --> 00:02:48.000]  後來他天天要和約瑟說
[00:02:48.000 --> 00:02:51.000]  約瑟卻不聽從他
[00:02:51.000 --> 00:02:53.000]  不與他同尋
[00:02:53.000 --> 00:02:56.000]  也不和他在一處
[00:02:56.000 --> 00:03:01.000]  有一天約瑟進屋裡去辦事
[00:03:01.000 --> 00:03:04.000]  家中沒有一個在那屋裡
[00:03:04.000 --> 00:03:07.000]  婦人就拉著他的衣裳說
[00:03:07.000 --> 00:03:10.000]  你與我同尋吧
[00:03:10.000 --> 00:03:14.000]  約瑟把衣裳丟在婦人手裡
[00:03:14.000 --> 00:03:16.000]  跑到外邊去了
[00:03:16.000 --> 00:03:20.000]  婦人看見約瑟把衣裳丟在她手裡
[00:03:20.000 --> 00:03:21.000]  跑出去了
[00:03:21.000 --> 00:03:24.000]  就叫了家裡的人來對他們說
[00:03:24.000 --> 00:03:29.000]  你們看他帶了一個希伯來人進入我們家裡
[00:03:29.000 --> 00:03:31.000]  要欺弄我們
[00:03:31.000 --> 00:03:33.000]  他到我這裡來
[00:03:33.000 --> 00:03:34.000]  要與我同尋
[00:03:34.000 --> 00:03:36.000]  我就大聲喊叫
[00:03:36.000 --> 00:03:39.000]  他聽見我放聲喊起來
[00:03:39.000 --> 00:03:41.000]  就把衣裳丟在我這裡
[00:03:41.000 --> 00:03:43.000]  跑到外邊去了
[00:03:43.000 --> 00:03:49.000]  婦人把約瑟的衣裳放在自己那裡
[00:03:49.000 --> 00:03:51.000]  等著他主人回家
[00:03:51.000 --> 00:03:55.000]  就對他如此如此說
[00:03:55.000 --> 00:03:59.000]  你所帶到我們這裡來的那希伯來人
[00:03:59.000 --> 00:04:01.000]  真要欺弄我
[00:04:01.000 --> 00:04:03.000]  我放聲喊起來
[00:04:03.000 --> 00:04:05.000]  他就把衣裳丟在我這裡
[00:04:05.000 --> 00:04:07.000]  跑出去了
[00:04:07.000 --> 00:04:13.000]  約瑟的主人聽見他猜似對他所說的話
[00:04:13.000 --> 00:04:17.000]  說你們僕人如此如此待我
[00:04:17.000 --> 00:04:19.000]  他就生氣
[00:04:19.000 --> 00:04:21.000]  把約瑟下在監裡
[00:04:21.000 --> 00:04:25.000]  就是黃的囚犯被囚的地方
[00:04:25.000 --> 00:04:29.000]  於是約瑟在那裡坐監
[00:04:29.000 --> 00:04:31.000]  但耶和華與約瑟同在
[00:04:31.000 --> 00:04:33.000]  向他施恩
[00:04:33.000 --> 00:04:37.000]  使他在施玉的眼前蒙恩
[00:04:37.000 --> 00:04:40.000]  施玉就把監裡所有的囚犯
[00:04:40.000 --> 00:04:43.000]  都交在約瑟的手下
[00:04:43.000 --> 00:04:45.000]  他們在那裡所辦的事
[00:04:45.000 --> 00:04:49.000]  都是經他的手
[00:04:49.000 --> 00:04:52.000]  凡在約瑟手下的事
[00:04:52.000 --> 00:04:55.000]  施玉一概不察
[00:04:55.000 --> 00:04:58.000]  因為耶和華與約瑟同在
[00:04:58.000 --> 00:05:02.000]  耶和華使他所作的盡都順利
[00:05:02.000 --> 00:05:04.000]  經文同學
[00:05:04.000 --> 00:05:06.000]  (主席)
[00:05:06.000 --> 00:05:11.000]  弟兄姊妹平安
[00:05:11.000 --> 00:05:15.000]  我們這次開始一個新的講道主題
[00:05:15.000 --> 00:05:17.000]  並肩用廠主題
[00:05:17.000 --> 00:05:20.000]  這個主題一來是回應教會
[00:05:20.000 --> 00:05:22.000]  我們六十週年
[00:05:22.000 --> 00:05:26.000]  我們用這個作為我們對未來的一些寄望
[00:05:26.000 --> 00:05:30.000]  同時間也是一個很深遠的神學觀念
[00:05:30.000 --> 00:05:33.000]  因為我們基督徒的生命不是孤軍作戰的
[00:05:33.000 --> 00:05:35.000]  既有上帝與我們同在
[00:05:35.000 --> 00:05:38.000]  也有弟兄姊妹與我們每一個同在
[00:05:38.000 --> 00:05:41.000]  我們就是大家拍肩膀
[00:05:41.000 --> 00:05:45.000]  一起走明天的道路
[00:05:45.000 --> 00:05:48.000]  當然在人生裡面有高高低低
[00:05:48.000 --> 00:05:50.000]  有時候順境 有時候逆境
[00:05:50.000 --> 00:05:54.000]  不過當我們認清了我們生命不孤單的時候
[00:05:54.000 --> 00:05:56.000]  我們就有力量走面前的路
[00:05:56.000 --> 00:05:59.000]  今天跟大家選的這段經文
[00:05:59.000 --> 00:06:01.000]  我想作為這個系列的開始
[00:06:01.000 --> 00:06:05.000]  當我們說人生不孤單的時候
[00:06:05.000 --> 00:06:09.000]  我們看的不是純粹看我們的友情家庭關係
[00:06:09.000 --> 00:06:12.000]  我們第一樣看的就是神與我們之間的關係
[00:06:12.000 --> 00:06:16.000]  坊間裡面有一個心理學理論叫依附理論
[00:06:16.000 --> 00:06:18.000]  不知道大家有沒有聽過
[00:06:18.000 --> 00:06:20.000]  這個依附理論其實在說什麼呢
[00:06:20.000 --> 00:06:26.000]  人在關係 特別是在親情或者在友情感情關係上面
[00:06:26.000 --> 00:06:29.000]  有些人有四種的形態
[00:06:29.000 --> 00:06:32.000]  我講給大家聽 你自己看看那種形態
