
[00:00:00.000 --> 00:00:05.000]  讓我們繼續以聆聽主的道去敬拜我們的神
[00:00:05.000 --> 00:00:16.000]  今日所要宣講的經文在約翰福音20章24至29節
[00:00:16.000 --> 00:00:25.000]  那十二個門徒中有稱為底土馬的多馬
[00:00:26.000 --> 00:00:31.000]  耶穌來的時候 他沒有和他們同在
[00:00:31.000 --> 00:00:38.000]  那些門徒就對他說:我們已經看見主了
[00:00:38.000 --> 00:00:44.000]  多馬卻說:我非看見他手上的釘痕
[00:00:44.000 --> 00:00:52.000]  用指頭探入那釘痕 又用手探入他的肋旁
[00:00:52.000 --> 00:00:55.000]  我總不信
[00:00:56.000 --> 00:01:00.000]  過了八天 門徒又在屋裡
[00:01:00.000 --> 00:01:07.000]  多馬也和他們同在 門都關了
[00:01:07.000 --> 00:01:16.000]  耶穌來站在當中說:願你們平安
[00:01:17.000 --> 00:01:25.000]  就對多馬說:伸過你的指頭來 摸我的手
[00:01:25.000 --> 00:01:31.000]  伸出你的手來 探入我的肋旁
[00:01:31.000 --> 00:01:36.000]  不要疑惑 總要信
[00:01:36.000 --> 00:01:41.000]  多馬說:我的主 我的神
[00:01:42.000 --> 00:01:48.000]  耶穌對他說:你因看見了 我才信
[00:01:48.000 --> 00:01:53.000]  那沒有看見 就信的有福了
[00:01:53.000 --> 00:01:59.000]  今天由陳明全牧師為我們正道
[00:01:59.000 --> 00:02:04.000]  宣講的講題是「疑與信之間」
[00:02:10.000 --> 00:02:12.000]  各位弟兄姊妹平安
[00:02:12.000 --> 00:02:15.000]  感謝主今天來教會實體
[00:02:15.000 --> 00:02:19.000]  三分一人的歌聲都是很震撼的事
[00:02:19.000 --> 00:02:24.000]  和你過去幾個月在家裡敬拜
[00:02:24.000 --> 00:02:27.000]  看著螢幕也不會唱
[00:02:27.000 --> 00:02:31.000]  我們只是聽 今天能夠在現場
[00:02:31.000 --> 00:02:34.000]  一起將歌聲獻給上帝
[00:02:34.000 --> 00:02:38.000]  我相信上帝是閲立我們獻上這麼美好的歌聲
[00:02:39.000 --> 00:02:41.000]  但除了現場的感覺好之外
[00:02:41.000 --> 00:02:45.000]  我們更加知道我們唱的是一個很重要的訊息
[00:02:45.000 --> 00:02:48.000]  就是關於我們生命復活的訊息
[00:02:48.000 --> 00:02:52.000]  基督耶穌在二千年前復活了
[00:02:52.000 --> 00:02:55.000]  他的生命扭轉整個世界
[00:02:55.000 --> 00:02:58.000]  扭轉我們每一個人生
[00:02:58.000 --> 00:03:02.000]  因著他的復活 我們從死刃的幽谷
[00:03:02.000 --> 00:03:07.000]  從一個被罪捆綁 被罪籠罩的生命
[00:03:08.000 --> 00:03:09.000]  徹底地改喚
[00:03:09.000 --> 00:03:12.000]  當我們稱耶穌基督為我們生命救主的時候
[00:03:12.000 --> 00:03:15.000]  我們就成為一個復活的人
[00:03:15.000 --> 00:03:18.000]  永生就在我們信主的時間就開始了
[00:03:18.000 --> 00:03:22.000]  所以我們的歌聲是要歌頌那位復活主
[00:03:22.000 --> 00:03:25.000]  歌頌那位讓我們生命得救的主
[00:03:25.000 --> 00:03:29.000]  不過在我們唱頌一個復活的
[00:03:29.000 --> 00:03:32.000]  一個很重要的訊息的時候
[00:03:32.000 --> 00:03:36.000]  我們必須要問 復活究竟是一個什麼訊息呢?
[00:03:37.000 --> 00:03:39.000]  其實當你仔細看聖經的時候
[00:03:39.000 --> 00:03:41.000]  特別是在新約裏面
[00:03:41.000 --> 00:03:44.000]  復活這個教義其實是貫穿整個新約的
[00:03:44.000 --> 00:03:47.000]  在保羅所寫的書卷裏面
[00:03:47.000 --> 00:03:49.000]  如果沒有復活的訊息
[00:03:49.000 --> 00:03:53.000]  正如保羅自己在哥倫多前書十五章裏面說
[00:03:53.000 --> 00:03:56.000]  我們所做的一切都是枉然的
[00:03:56.000 --> 00:03:59.000]  保羅用他的生命 用這麼多的力量
[00:03:59.000 --> 00:04:02.000]  用他整個人生 他要宣講的
[00:04:02.000 --> 00:04:04.000]  不是一個道德教化
[00:04:05.000 --> 00:04:07.000]  而是一個很偉大的人物耶穌來到這個世界裏面
[00:04:07.000 --> 00:04:09.000]  單單為我們死
[00:04:09.000 --> 00:04:14.000]  保羅更加要用盡他的力量來講
[00:04:14.000 --> 00:04:16.000]  這個這麼偉大的夫子
[00:04:16.000 --> 00:04:20.000]  這個神的兒子為我們死在十架上面
[00:04:20.000 --> 00:04:22.000]  更加為我們每一個人復活
[00:04:22.000 --> 00:04:24.000]  他戰勝死亡
[00:04:24.000 --> 00:04:27.000]  他將黑暗的權命打低
[00:04:27.000 --> 00:04:29.000]  每一個跟隨他的人
[00:04:29.000 --> 00:04:31.000]  我們生命都可以得著永恆的生命
[00:04:32.000 --> 00:04:35.000]  復活是聖經裏面一個不可或缺的
[00:04:35.000 --> 00:04:37.000]  一個很重要的教義
[00:04:37.000 --> 00:04:39.000]  復活是我們生命裏面
[00:04:39.000 --> 00:04:42.000]  不可或缺的一個很重要的訊息
[00:04:42.000 --> 00:04:45.000]  當沒有了復活這個教義的時候
[00:04:45.000 --> 00:04:47.000]  或者沒有了復活這個訊息的時候
[00:04:47.000 --> 00:04:49.000]  我們會怎樣呢
[00:04:49.000 --> 00:04:51.000]  保羅說我們生命就好像
[00:04:51.000 --> 00:04:54.000]  一個不能夠跨越生死的悲劇
[00:04:54.000 --> 00:04:57.000]  我們的人生可能比那些未信主的人
[00:04:57.000 --> 00:04:59.000]  更加沒有展望
[00:04:59.000 --> 00:05:01.000]  保羅更加說
[00:05:01.000 --> 00:05:02.000]  如果基督沒有復活
[00:05:02.000 --> 00:05:05.000]  耶穌只是一個悲劇英雄
[00:05:05.000 --> 00:05:07.000]  他做不到我們的救主
[00:05:07.000 --> 00:05:10.000]  他也帶不到我們走出黑暗的權勢
[00:05:10.000 --> 00:05:13.000]  但是基督的復活
[00:05:13.000 --> 00:05:16.000]  如果我們確切的來到去經歷
[00:05:16.000 --> 00:05:18.000]  確切的相信
[00:05:18.000 --> 00:05:20.000]  這個訊息是會改變我們的
[00:05:20.000 --> 00:05:23.000]  講這一堆的話我們都一定認同的
[00:05:23.000 --> 00:05:26.000]  否則你都不會今天來到教會當中
[00:05:26.000 --> 00:05:28.000]  一起聆聽這一篇道
[00:05:29.000 --> 00:05:31.000]  對於復活的教義我們建基在一個
[00:05:31.000 --> 00:05:33.000]  什麼的根基上呢
[00:05:33.000 --> 00:05:35.000]  曾經有一些批評基督教
[00:05:35.000 --> 00:05:37.000]  或者有一些哲學家
[00:05:37.000 --> 00:05:39.000]  他說基督徒是一班什麼人呢
[00:05:39.000 --> 00:05:42.000]  其實只是滿有一班宗教情感的一班人
[00:05:42.000 --> 00:05:44.000]  當他不停強調復活
[00:05:44.000 --> 00:05:47.000]  可能就是將一個很熱血的訊息
[00:05:47.000 --> 00:05:49.000]  不斷又不斷的來到去講
[00:05:49.000 --> 00:05:53.000]  以致到將人那種防衛機制拆低
[00:05:53.000 --> 00:05:57.000]  所以大家就帶著一種強烈的情感
[00:05:58.000 --> 00:06:01.000]  去篤信復活的這件事
[00:06:01.000 --> 00:06:03.000]  在他們來說
[00:06:03.000 --> 00:06:05.000]  他們當然不深信有復活
[00:06:05.000 --> 00:06:07.000]  不會相信有耶穌基督
