
[00:00:00.000 --> 00:00:04.000]  今日經份是記載在新約聖經
[00:00:04.000 --> 00:00:10.000]  哥羅西書一章二十四節至二章五節
[00:00:10.000 --> 00:00:14.000]  我們教會的聖經新約的二百八十頁
[00:00:14.000 --> 00:00:20.000]  哥羅西書一章二十四節
[00:00:20.000 --> 00:00:25.000]  現在我為你們受苦 賭博歡樂
[00:00:25.000 --> 00:00:27.000]  並且為基督的身體
[00:00:27.000 --> 00:00:31.000]  就是為教會要在我肉身上
[00:00:31.000 --> 00:00:34.000]  保門基督患難的缺欠
[00:00:34.000 --> 00:00:39.000]  我召神為你們所賜我的職份
[00:00:39.000 --> 00:00:41.000]  作了教會的執事
[00:00:41.000 --> 00:00:45.000]  要把神的道理傳得傳遍
[00:00:45.000 --> 00:00:50.000]  這道理就是歷世歷代所隱藏的奧秘
[00:00:50.000 --> 00:00:54.000]  但如今向他的聖號顯明了
[00:00:54.000 --> 00:00:57.000]  神願意讓他們知道
[00:00:57.000 --> 00:01:02.000]  這奧秘在愛邦人中有何等豐盛的榮耀
[00:01:02.000 --> 00:01:08.000]  就是基督在你們心裡成了有榮耀的盼望
[00:01:08.000 --> 00:01:10.000]  我們傳揚它
[00:01:10.000 --> 00:01:13.000]  是用諸般的智慧
[00:01:13.000 --> 00:01:16.000]  勸誡各人 教導各人
[00:01:16.000 --> 00:01:18.000]  要把各人在基督裡
[00:01:18.000 --> 00:01:22.000]  完完全全地引到神面前
[00:01:22.000 --> 00:01:24.000]  我也為此勞苦
[00:01:24.000 --> 00:01:28.000]  召著他在我裡面運用的大能
[00:01:28.000 --> 00:01:30.000]  盡心竭力
[00:01:30.000 --> 00:01:32.000]  我願你們曉得
[00:01:32.000 --> 00:01:35.000]  我為你們和老弟家人
[00:01:35.000 --> 00:01:38.000]  並一切沒有與我親自見面的人
[00:01:38.000 --> 00:01:41.000]  是何等的盡心竭力
[00:01:41.000 --> 00:01:44.000]  要他們的心得著安慰
[00:01:44.000 --> 00:01:46.000]  因愛心互相聯絡
[00:01:46.000 --> 00:01:52.000]  以致豐豐足足在悟性中有充足的信心
[00:01:52.000 --> 00:01:54.000]  使他們真知道
[00:01:54.000 --> 00:01:58.000]  神的奧秘就是基督
[00:01:58.000 --> 00:02:01.000]  所積蓄的一切智慧知識
[00:02:01.000 --> 00:02:04.000]  都在他裡面藏著
[00:02:04.000 --> 00:02:06.000]  我說者說
[00:02:06.000 --> 00:02:10.000]  免得有人用花言巧語迷惑你們
[00:02:10.000 --> 00:02:13.000]  我申指雖然與你們相離
[00:02:13.000 --> 00:02:15.000]  心卻與你們同在
[00:02:15.000 --> 00:02:18.000]  見你們循規蹈矩
[00:02:18.000 --> 00:02:21.000]  信基督之心也堅固
