
[00:00:00.000 --> 00:00:03.480]  以下要讀出的聖經有兩段
[00:00:03.480 --> 00:00:08.200]  第一段是在舊約詩篇第二篇
[00:00:08.200 --> 00:00:13.160]  第一至第九節
[00:00:13.160 --> 00:00:17.560]  在大家手上的聖經677頁
[00:00:17.560 --> 00:00:24.200]  第二段在《仕途行傳》第四章23至31節
[00:00:24.200 --> 00:00:28.760]  《新約》《仕途行傳》在新約166至167頁
[00:00:29.240 --> 00:00:31.840]  詩篇第二篇第一節
[00:00:31.840 --> 00:00:34.400]  「愛邦為甚麼爭鬧
[00:00:34.400 --> 00:00:38.080]  萬民為甚麼謀算虛妄的事
[00:00:38.080 --> 00:00:40.880]  世上的君王一齊起來
[00:00:40.880 --> 00:00:43.040]  神宰一同相議
[00:00:43.040 --> 00:00:46.840]  要敵黨耶和華並他的受告者
[00:00:46.840 --> 00:00:50.560]  說:我們要掙開他們的裙袍
[00:00:50.560 --> 00:00:52.880]  脫去他們的繩索
[00:00:52.880 --> 00:00:56.080]  那坐在天上的必發笑
[00:00:56.080 --> 00:00:58.680]  主必癡笑他們
[00:00:58.680 --> 00:01:02.400]  那時他要在奴中責備他們
[00:01:02.400 --> 00:01:04.520]  在列奴中驚嚇他們
[00:01:04.520 --> 00:01:07.680]  說:我已經立我的君
[00:01:07.680 --> 00:01:10.280]  在石安我的聖山上了
[00:01:10.280 --> 00:01:13.840]  受告者說:我要傳聖旨
[00:01:13.840 --> 00:01:15.800]  耶和華曾對我說:
[00:01:15.800 --> 00:01:18.920]  你是我的兒子,我今日生你
[00:01:18.920 --> 00:01:23.240]  你求我,我就將列國賜你為基業
[00:01:23.240 --> 00:01:26.280]  將地極賜你為前產
[00:01:26.280 --> 00:01:29.080]  你必用鐵掌打破他們
[00:01:29.080 --> 00:01:33.960]  你必將他們如同搖杖的瓦器摔碎」
[00:01:33.960 --> 00:01:37.040]  第二段是新約《使徒行傳》
[00:01:37.040 --> 00:01:44.440]  第四章二十三至三十一節
[00:01:44.440 --> 00:01:52.400]  在新約成經一百六十六頁
[00:01:55.200 --> 00:01:57.440]  二十三節
[00:01:57.440 --> 00:02:01.280]  「二人既被釋放,就到會遊那裡去
[00:02:01.280 --> 00:02:05.640]  把子子上和長老所說的話都告訴他們
[00:02:05.640 --> 00:02:10.360]  他們聽見了,就都同心合意地高聲向神說
