
[00:00:00.000 --> 00:00:01.360]  以下是讀經
[00:00:01.360 --> 00:00:04.040]  經文是約翰福音第三章
[00:00:04.040 --> 00:00:06.360]  新約聖經一百二十八頁
[00:00:06.360 --> 00:00:08.760]  請聽我讀
[00:00:08.760 --> 00:00:10.760]  三章一至十五節
[00:00:10.760 --> 00:00:14.760]  有一個法理菜人名叫彌哥底姆
[00:00:14.760 --> 00:00:16.440]  是猶太人的官
[00:00:16.440 --> 00:00:19.520]  這人夜裡來見耶穌
[00:00:19.520 --> 00:00:21.080]  說拉比
[00:00:21.080 --> 00:00:25.080]  我們知道你是由神那裡來作師父的
[00:00:25.080 --> 00:00:27.600]  因為你所行的神蹟
[00:00:27.800 --> 00:00:30.800]  若沒有神童在無人能行
[00:00:30.800 --> 00:00:32.520]  耶穌回答說
[00:00:32.520 --> 00:00:34.760]  我實實在在的告訴你
[00:00:34.760 --> 00:00:37.960]  人若不從生就不能見神的國
[00:00:37.960 --> 00:00:39.720]  彌哥底姆說
[00:00:39.720 --> 00:00:42.920]  人已經老了如何能從生呢?
[00:00:42.920 --> 00:00:45.760]  豈能再進母腹生出來麼?
[00:00:45.760 --> 00:00:47.000]  耶穌說
[00:00:47.000 --> 00:00:49.320]  我實實在在的告訴你
[00:00:49.320 --> 00:00:52.320]  人若不是從水和聖靈生的
[00:00:52.320 --> 00:00:54.040]  就不能進神的國
[00:00:54.040 --> 00:00:56.880]  從肉生生的就是肉生
[00:00:57.080 --> 00:00:59.000]  從靈生的就是靈
[00:00:59.000 --> 00:01:01.640]  我說你們必須從生
[00:01:01.640 --> 00:01:03.680]  你不要以為稀奇
[00:01:03.680 --> 00:01:05.680]  風隨著意思吹
[00:01:05.680 --> 00:01:07.720]  你聽見風的響聲
[00:01:07.720 --> 00:01:11.160]  卻不曉得從哪裡來往哪裡去
[00:01:11.160 --> 00:01:14.240]  凡從聖靈生的也是如此
[00:01:14.240 --> 00:01:16.240]  彌哥底姆問他說
[00:01:16.240 --> 00:01:18.040]  怎能有這事呢?
[00:01:18.040 --> 00:01:19.600]  耶穌回答說
[00:01:19.600 --> 00:01:22.880]  你是以色列人的先生
[00:01:22.880 --> 00:01:25.160]  還不明白這是麼?
[00:01:25.320 --> 00:01:27.320]  我實實在在的告訴你
[00:01:27.320 --> 00:01:30.240]  我們所說的是我們知道的
[00:01:30.240 --> 00:01:33.800]  我們所見證的是我們見過的
[00:01:33.800 --> 00:01:36.800]  你們卻不領受我們的見證
[00:01:36.800 --> 00:01:39.120]  我對你們說地上的事
[00:01:39.120 --> 00:01:40.760]  你們尚且不信
[00:01:40.760 --> 00:01:42.320]  若說天上的事
[00:01:42.320 --> 00:01:43.720]  如何能信呢?
[00:01:43.720 --> 00:01:45.640]  除了從天降下
[00:01:45.640 --> 00:01:47.720]  仍舊在天的人子
[00:01:47.720 --> 00:01:49.520]  沒有人升過天
[00:01:49.520 --> 00:01:52.360]  摩西在曠野怎樣舉蛇
[00:01:52.560 --> 00:01:55.520]  人子也必照樣被舉起來
[00:01:55.520 --> 00:01:58.920]  叫一切信他的都得永生
