
[00:00:00.000 --> 00:00:03.760]  今日講到的經文是記載在希伯來書
[00:00:03.760 --> 00:00:09.520]  十章十九節至到十一章三節
[00:00:09.520 --> 00:00:12.000]  聖經這樣說
[00:00:12.000 --> 00:00:13.600]  弟兄們
[00:00:13.600 --> 00:00:16.200]  我們既因耶穌的血
[00:00:16.200 --> 00:00:20.000]  得以坦然進入至聖所
[00:00:20.000 --> 00:00:23.120]  是藉著他給我們開了一條
[00:00:23.120 --> 00:00:25.920]  又新又活的路
[00:00:25.920 --> 00:00:28.400]  從萬子經過
[00:00:28.400 --> 00:00:32.200]  這萬子就是他的身體
[00:00:32.200 --> 00:00:36.200]  又有一位大祭司治理神的家
[00:00:36.200 --> 00:00:39.600]  並我們心中天良的虧欠
[00:00:39.600 --> 00:00:41.800]  已經灑去
[00:00:41.800 --> 00:00:45.120]  身體用清水洗淨了
[00:00:45.120 --> 00:00:47.520]  就當存著誠心
[00:00:47.520 --> 00:00:52.120]  和充足的信心來到神面前
[00:00:52.120 --> 00:00:56.400]  也要堅守我們所承認的指望
[00:00:56.400 --> 00:00:59.200]  不致動搖
[00:00:59.200 --> 00:01:03.400]  因為那應許我們的是信實的
[00:01:03.400 --> 00:01:06.200]  又要彼此相顧
[00:01:06.200 --> 00:01:08.320]  激發愛心
[00:01:08.320 --> 00:01:11.120]  勉勵行善
[00:01:11.120 --> 00:01:13.920]  你們不可停止聚會
[00:01:13.920 --> 00:01:17.800]  可像那些停止慣了的人
[00:01:17.800 --> 00:01:20.200]  都要彼此勸勉
[00:01:20.200 --> 00:01:22.920]  既知道那日子臨近
[00:01:22.920 --> 00:01:26.320]  就更當如此
[00:01:26.320 --> 00:01:29.120]  因為我們得知真道以後
[00:01:29.120 --> 00:01:31.120]  若故意犯罪
[00:01:31.120 --> 00:01:35.320]  贖罪的祭就再沒有了
[00:01:35.320 --> 00:01:38.120]  唯有戰具等候審判
[00:01:38.120 --> 00:01:41.920]  和那消滅眾敵人的烈火
[00:01:41.920 --> 00:01:44.520]  人干犯摩西的律法
[00:01:44.520 --> 00:01:47.320]  憑兩三個見證人
[00:01:47.320 --> 00:01:50.520]  尚且不得連戌而死
[00:01:50.520 --> 00:01:53.520]  何況人踐踏神的兒子
[00:01:53.520 --> 00:01:56.920]  將那使他成性滋藥的血
[00:01:56.920 --> 00:01:59.120]  當作平常
[00:01:59.120 --> 00:02:02.520]  又洩漫私恩的聖靈
[00:02:02.520 --> 00:02:05.320]  你們想他要受的刑罰
[00:02:05.320 --> 00:02:08.520]  該怎樣加重呢?
[00:02:08.520 --> 00:02:11.120]  因為我們知道誰說
[00:02:11.120 --> 00:02:13.120]  「申冤在我」
[00:02:13.120 --> 00:02:15.320]  「我必報應」
[00:02:15.320 --> 00:02:16.520]  又說
[00:02:16.520 --> 00:02:19.120]  主要審判他的百姓
[00:02:19.120 --> 00:02:21.920]  落在永生神的手裡
[00:02:21.920 --> 00:02:24.920]  真是可怕
[00:02:24.920 --> 00:02:27.520]  你們要追念往日
[00:02:27.520 --> 00:02:29.520]  蒙了光照以後
[00:02:29.520 --> 00:02:33.120]  所忍受大爭戰的各樣苦難
[00:02:33.120 --> 00:02:35.320]  一面被毀謗
[00:02:35.320 --> 00:02:36.920]  遭患難
[00:02:36.920 --> 00:02:38.920]  成了氣境
[00:02:38.920 --> 00:02:41.320]  叫眾人觀看
[00:02:41.320 --> 00:02:45.520]  一面陪伴那些受這樣苦難的人
[00:02:45.520 --> 00:02:50.120]  因為你們體恤了那些被困所的人
[00:02:50.120 --> 00:02:54.120]  並且你們的家業被人搶去
[00:02:54.120 --> 00:02:56.520]  也甘心忍受
[00:02:56.520 --> 00:03:01.320]  知道自己有更美長存的家業
[00:03:01.320 --> 00:03:02.520]  所以
[00:03:02.520 --> 00:03:06.120]  你們不可丟棄勇敢的心
[00:03:06.120 --> 00:03:10.920]  存這樣的心必得大上前
[00:03:10.920 --> 00:03:13.120]  你們必須忍耐
[00:03:13.120 --> 00:03:16.520]  使你們行完了神的旨意
[00:03:16.520 --> 00:03:20.720]  就可以得著所應許的
[00:03:20.720 --> 00:03:23.520]  因為還有一點點時候
[00:03:23.520 --> 00:03:25.920]  那要來的就來
[00:03:25.920 --> 00:03:27.920]  並不遲延
[00:03:27.920 --> 00:03:31.920]  只是二人必因順得生
[00:03:31.920 --> 00:03:33.720]  他若退後
[00:03:33.720 --> 00:03:36.920]  我心裡就不喜歡他
