
[00:00:00.000 --> 00:00:06.880]  今天的經文是在《新命記》第31章
[00:00:06.880 --> 00:00:11.280]  我將會讀出第一至第八節
[00:00:11.280 --> 00:00:18.000]  在《舊約聖經》252頁
[00:00:18.000 --> 00:00:22.920]  《新命記》31章1至8節
[00:00:22.920 --> 00:00:26.600]  摩西去告訴以色列眾人說
[00:00:26.600 --> 00:00:31.400]  「我現在一百二十歲了,不能照常出入」
[00:00:31.400 --> 00:00:33.680]  耶和華也曾對我說
[00:00:33.680 --> 00:00:37.480]  「你必不得過這約旦河」
[00:00:37.480 --> 00:00:41.880]  耶和華「你們的神必引導你們過去
[00:00:41.880 --> 00:00:46.440]  將這些國民在你們面前滅絕
[00:00:46.440 --> 00:00:49.480]  你們就得他們的地」
[00:00:49.480 --> 00:00:52.840]  「約書亞必引導你們過去」
[00:00:52.840 --> 00:00:55.600]  正如耶和華所說的
[00:00:55.600 --> 00:00:57.840]  耶和華必待他們
[00:00:57.840 --> 00:01:00.920]  如同從前待他所滅絕的
[00:01:00.920 --> 00:01:04.440]  阿摩利、二王、西弘與我
[00:01:04.440 --> 00:01:07.000]  以及他們的國一樣
[00:01:07.000 --> 00:01:10.240]  耶和華必將他們交給你們
[00:01:10.240 --> 00:01:14.880]  你們要照我所吩咐的一切命令待他們
[00:01:14.880 --> 00:01:17.600]  你們當剛強壯膽
[00:01:17.600 --> 00:01:19.120]  不要害怕
[00:01:19.120 --> 00:01:21.400]  也不要畏懼他們
[00:01:21.400 --> 00:01:25.880]  因為耶和華「你的神和你同去
[00:01:25.880 --> 00:01:29.880]  他必不撇下你,也不挑起你」
[00:01:29.880 --> 00:01:32.880]  摩西照了約書亞來
[00:01:32.880 --> 00:01:36.680]  在以色列眾人眼前對他說
[00:01:36.680 --> 00:01:39.080]  「你當剛強壯膽
[00:01:39.080 --> 00:01:44.080]  因為你要和這百姓一同進入耶和華
[00:01:44.080 --> 00:01:46.200]  向他們列祖
[00:01:46.200 --> 00:01:49.080]  起誓應許所賜之地
[00:01:49.080 --> 00:01:54.600]  你們要使他們承受那地為業」
[00:01:54.600 --> 00:01:57.080]  耶和華必在你面前行
[00:01:57.080 --> 00:01:59.280]  他必與你同在
[00:01:59.280 --> 00:02:00.800]  必不撇下你
[00:02:00.800 --> 00:02:02.800]  必不挑起你
[00:02:02.800 --> 00:02:04.200]  不要懼怕
[00:02:04.200 --> 00:02:06.200]  也不要驚怕
[00:02:18.200 --> 00:02:20.200]  弟兄姊妹平安
[00:02:20.200 --> 00:02:25.200]  我們今天繼續用《新命記》第31章
[00:02:25.200 --> 00:02:28.600]  來作一個基本上這個系列裡
[00:02:28.600 --> 00:02:31.000]  差不多最後兩次的總結
[00:02:31.000 --> 00:02:33.200]  在我們看這段經文之前
[00:02:33.200 --> 00:02:34.800]  近來有這樣的經驗
[00:02:34.800 --> 00:02:38.200]  踏入六月份有很多學校的畢業禮
[00:02:38.200 --> 00:02:41.200]  早幾個星期前
[00:02:41.200 --> 00:02:44.200]  飛機去到意大利看神學院的畢業禮
[00:02:44.200 --> 00:02:47.800]  這幾個星期就會有不同的學校
[00:02:47.800 --> 00:02:49.800]  教會合作的學校也好
[00:02:49.800 --> 00:02:52.200]  自己的女兒也畢業了
[00:02:52.200 --> 00:02:56.800]  一邊看或者參與不同的畢業禮
[00:02:56.800 --> 00:02:59.200]  我發現有一個很重要的體會
[00:02:59.200 --> 00:03:03.800]  對於我們這些在旁的參與者
[00:03:03.800 --> 00:03:06.400]  我看到在台上所說的
[00:03:06.400 --> 00:03:11.200]  特別是不同學校的師長所說的話
[00:03:11.200 --> 00:03:15.400]  他們是充滿了很多語重心長的說話
[00:03:15.400 --> 00:03:17.800]  如果對著一些學生
[00:03:17.800 --> 00:03:22.800]  在這六年或者很多年的相處裡
[00:03:22.800 --> 00:03:26.400]  這班師長對學生也有相當的掌握
[00:03:26.400 --> 00:03:29.800]  通常他們給的那些勸勉
[00:03:29.800 --> 00:03:31.800]  都是度身訂做的
[00:03:31.800 --> 00:03:34.800]  有些學生頑皮一點的就笑笑笑
[00:03:34.800 --> 00:03:37.400]  有很多那些頑皮的片段
[00:03:37.400 --> 00:03:39.800]  但是如果懂得聽的也知道
[00:03:39.800 --> 00:03:41.800]  很多學生特別是大學的
[00:03:41.800 --> 00:03:45.400]  他們會完全的體會和領受
[00:03:45.400 --> 00:03:48.200]  有時候也會勾起他們的眼淚
[00:03:48.200 --> 00:03:52.400]  我看到也有神學院的老師
[00:03:52.400 --> 00:03:58.200]  來分享他們畢業的感言
[00:03:58.200 --> 00:04:00.200]  是不是有些聲音
[00:04:00.200 --> 00:04:03.200]  有些歌聲
[00:04:03.200 --> 00:04:05.400]  畢業感言裡面
[00:04:05.400 --> 00:04:07.600]  特別對神學院的師長
[00:04:07.600 --> 00:04:13.400]  對於將要去到侍奉的一班牧者
[00:04:13.400 --> 00:04:15.600]  他們做一個按手猜拳
[00:04:15.600 --> 00:04:17.600]  和講語重心長的說話
[00:04:17.600 --> 00:04:20.200]  那裡是很深情的
