
[00:00:00.000 --> 00:00:05.480]  今日的經訓系記載在希伯來書8章1至13節
[00:00:05.480 --> 00:00:12.240]  「我們所講的事,其中第一要緊的
[00:00:12.240 --> 00:00:15.720]  就是我們有這樣的大祭事
[00:00:15.720 --> 00:00:20.560]  已經坐在天上至大者寶座的右邊
[00:00:20.560 --> 00:00:26.080]  在聖所,就是真帳幕裡作執事
[00:00:26.080 --> 00:00:29.680]  這帳幕是主所知的
[00:00:30.080 --> 00:00:31.800]  不是人所知的
[00:00:31.800 --> 00:00:38.040]  凡大祭司都是為獻禮物和祭物而設立的
[00:00:38.040 --> 00:00:43.400]  所以這位大祭司也必須有所獻的
[00:00:43.400 --> 00:00:48.680]  他若在地上,必不得為祭司
[00:00:48.680 --> 00:00:53.280]  因為已經有照律法獻禮物的祭司
[00:00:54.080 --> 00:01:01.280]  他們供奉的是本是天上的事的形狀和影像
[00:01:01.280 --> 00:01:05.600]  正如摩西將要做帳幕的時候
[00:01:05.600 --> 00:01:08.280]  蒙神警誡他說:
[00:01:08.280 --> 00:01:10.680]  「你要謹慎
[00:01:10.680 --> 00:01:16.680]  作各樣的物件都要照著在山上指示你的樣式」
[00:01:16.680 --> 00:01:22.040]  如今,耶穌所得的職任是更美的
[00:01:22.880 --> 00:01:26.840]  正如他作更美之約的中寶
[00:01:26.840 --> 00:01:31.520]  這約願是憑更美之英許立的
[00:01:31.520 --> 00:01:36.200]  那前約若沒有瑕疵
[00:01:36.200 --> 00:01:38.920]  就無需尋求後約了
[00:01:38.920 --> 00:01:43.080]  所以主指責他的百姓說
[00:01:43.080 --> 00:01:45.240]  日子將到
[00:01:45.240 --> 00:01:50.560]  我要與以色列家和猶大家另立新約
[00:01:52.080 --> 00:01:55.200]  不像我拉著他們祖宗的手
[00:01:55.200 --> 00:01:57.600]  令他們出埃及的時候
[00:01:57.600 --> 00:01:59.480]  與他們所立的約
[00:01:59.480 --> 00:02:03.640]  因為他們不幸心守我的約
[00:02:03.640 --> 00:02:05.800]  我也不理他們
[00:02:05.800 --> 00:02:08.280]  這是主說的
[00:02:08.280 --> 00:02:11.080]  主又說
[00:02:11.080 --> 00:02:12.960]  那些日子以後
[00:02:12.960 --> 00:02:17.880]  我與以色列家所立的約乃是這樣
[00:02:19.480 --> 00:02:22.800]  我要將我的律法放在他們裡面
[00:02:22.800 --> 00:02:25.440]  寫在他們心上
[00:02:25.440 --> 00:02:28.040]  我要作他們的神
[00:02:28.040 --> 00:02:30.880]  他們要作我的子民
[00:02:30.880 --> 00:02:35.840]  他們不用各人教導自己的香輪
[00:02:35.840 --> 00:02:38.040]  和自己的弟兄說
[00:02:38.040 --> 00:02:40.320]  「你該認識主
[00:02:40.320 --> 00:02:47.440]  因為他們從最小的到最大的都別認識我」
[00:02:48.920 --> 00:02:51.040]  我要寬恕他們的不義
[00:02:51.040 --> 00:02:54.080]  不再紀念他們的罪險
[00:02:54.080 --> 00:03:01.280]  既說新約就以前約為舊了
[00:03:01.280 --> 00:03:05.080]  但那佔舊佔衰的
[00:03:05.080 --> 00:03:08.240]  就必快歸無有了
[00:03:08.240 --> 00:03:13.200]  今日我們繼續希伯來書的訊息
[00:03:13.200 --> 00:03:17.640]  題目是「超越的基督 新約的中堡」
[00:03:17.800 --> 00:03:19.120]  請陳明荃牧師
[00:03:19.120 --> 00:03:21.120]  (主席)
[00:03:21.120 --> 00:03:28.120]  (主席)
[00:03:28.120 --> 00:03:30.680]  感謝主基督耶穌復活了
[00:03:30.680 --> 00:03:33.400]  我們生命因著基督耶穌的復活
[00:03:33.400 --> 00:03:35.480]  我們生命的詮釋
[00:03:35.480 --> 00:03:36.840]  對我們的過去
[00:03:36.840 --> 00:03:38.840]  對人類整個的歷史
[00:03:38.840 --> 00:03:42.200]  對每一個人生命深處裡面的遺憾
[00:03:42.200 --> 00:03:44.280]  因著基督耶穌的救贖
[00:03:44.280 --> 00:03:47.760]  我們生命可以脫胎換骨地去改變
[00:03:48.120 --> 00:03:49.760]  因著這位為我們
[00:03:49.760 --> 00:03:52.200]  死在十字架上的基督耶穌
[00:03:52.200 --> 00:03:54.200]  並在第三天復活
[00:03:54.200 --> 00:03:57.000]  我們可以看著他的生命
[00:03:57.000 --> 00:03:59.440]  我們知道我們將來的日子
[00:03:59.440 --> 00:04:01.920]  他要將屬天的榮耀
[00:04:01.920 --> 00:04:06.800]  交給每一個上帝所選照的子女和百姓
[00:04:06.800 --> 00:04:10.640]  我們今日我們一齊的來得享這份光榮
[00:04:10.640 --> 00:04:12.080]  得享這份喜樂
[00:04:12.080 --> 00:04:15.200]  從來不是人的努力可以換取回來的
[00:04:15.200 --> 00:04:19.120]  一切都是坐在高天的這位大祭司
[00:04:19.120 --> 00:04:24.640]  將這個生命充滿快樂的因典賜給我們每一個
[00:04:24.640 --> 00:04:27.000]  所以今天我們是歡喜快樂
[00:04:27.000 --> 00:04:29.760]  我們的心裡面帶著一份興奮
[00:04:29.760 --> 00:04:33.800]  帶著一份新的詮釋來看我們自己的生命
[00:04:33.800 --> 00:04:37.800]  在希伯來書的作者同樣都是用這個角度
[00:04:37.800 --> 00:04:39.600]  來幫助一班
[00:04:39.600 --> 00:04:42.520]  以前可能經歷過很多軟弱
[00:04:42.520 --> 00:04:46.160]  或者生命裡面好像停滯不前的一班基督徒
[00:04:46.160 --> 00:04:47.760]  希伯來書的作者
[00:04:47.760 --> 00:04:50.880]  他看基督耶穌的受死復活
[00:04:50.880 --> 00:04:54.120]  他不是純粹聚焦在一個事件
[00:04:54.120 --> 00:04:56.120]  或者一個單元裡面
[00:04:56.120 --> 00:04:59.120]  希伯來書的作者用一個更闊的鏡頭
[00:04:59.120 --> 00:05:01.760]  由耶穌降臣肉身
[00:05:01.760 --> 00:05:04.320]  接著在地上的來到去生活
[00:05:04.320 --> 00:05:06.840]  接著在十字架上面受苦
[00:05:06.840 --> 00:05:08.520]  接著再升天
[00:05:08.520 --> 00:05:12.160]  整個的歷程是一個獻祭的歷程
[00:05:12.160 --> 00:05:17.440]  他將耶穌基督在地上的那33年的日子
