
[00:00:00.000 --> 00:00:03.000]  我們以下要聆聽神的說話
[00:00:03.000 --> 00:00:10.000]  今天我們要聽聽經文是記載在約書亞記第一章的一至九節
[00:00:10.000 --> 00:00:13.000]  約書亞記第一章
[00:00:13.000 --> 00:00:17.000]  耶和華的僕人摩西死了以後
[00:00:17.000 --> 00:00:20.000]  耶和華曉遇摩西的幫手
[00:00:20.000 --> 00:00:24.000]  亂的兒子約書亞說
[00:00:24.000 --> 00:00:26.000]  我的僕人摩西死了
[00:00:26.000 --> 00:00:31.000]  現在你要起來和眾百姓過這約旦河
[00:00:31.000 --> 00:00:35.000]  和我所有次級以色列人的地去
[00:00:35.000 --> 00:00:38.000]  凡你們腳掌所達之地
[00:00:38.000 --> 00:00:43.000]  我都照著我所應許摩西的話次級你們了
[00:00:43.000 --> 00:00:49.000]  從曠野或者黎巴嫩直到巴拉大河
[00:00:49.000 --> 00:00:53.000]  下人的全地有到大海日落之處
[00:00:53.000 --> 00:00:55.000]  都要作你們的警戒
[00:00:55.000 --> 00:00:58.000]  你平生的日子
[00:00:58.000 --> 00:01:01.000]  必無一人能在你面前站立的住
[00:01:01.000 --> 00:01:04.000]  我怎樣與摩西同在
[00:01:04.000 --> 00:01:07.000]  也必照樣與你同在
[00:01:07.000 --> 00:01:09.000]  我必不撇下你
[00:01:09.000 --> 00:01:11.000]  也不丟棄你
[00:01:11.000 --> 00:01:14.000]  你當剛強壯膽
[00:01:14.000 --> 00:01:18.000]  因為你必使這百姓承受那地為業
[00:01:18.000 --> 00:01:20.000]  就是我向他們列祖
[00:01:20.000 --> 00:01:23.000]  起誓應許設給你們的地
[00:01:23.000 --> 00:01:26.000]  只要剛強大大壯膽
[00:01:26.000 --> 00:01:31.000]  謹守遵行我僕人摩西所吩咐你的一切律法
[00:01:31.000 --> 00:01:33.000]  不可偏離左右
[00:01:33.000 --> 00:01:38.000]  使你無論往哪裡去都可以順利
[00:01:38.000 --> 00:01:41.000]  這律法書不可離開你的口
[00:01:41.000 --> 00:01:43.000]  總要就耶思上
[00:01:43.000 --> 00:01:48.000]  好使你們遵守遵行這書上所寫的一切話
[00:01:48.000 --> 00:01:51.000]  如此你的道路就可以亨通
[00:01:51.000 --> 00:01:53.000]  凡事順利
[00:01:53.000 --> 00:01:56.000]  我希末有吩咐你摩
[00:01:56.000 --> 00:01:58.000]  你當剛強壯膽
[00:01:58.000 --> 00:01:59.000]  不要懼怕
[00:01:59.000 --> 00:02:00.000]  也不要驚惶
[00:02:00.000 --> 00:02:03.000]  因為你無論往哪裡去
[00:02:03.000 --> 00:02:06.000]  耶華華你的神必與你同在
[00:02:06.000 --> 00:02:08.000]  聖經獨筆
[00:02:08.000 --> 00:02:18.000]  (主持)各位姐妹平安
[00:02:18.000 --> 00:02:23.000]  本來這星期梁家倫院長來到港島
[00:02:23.000 --> 00:02:25.000]  但因為他還在外地
[00:02:25.000 --> 00:02:26.000]  趕不及回港
[00:02:26.000 --> 00:02:28.000]  所以在講壇內有少少調配
[00:02:28.000 --> 00:02:30.000]  今天我們先回到
[00:02:30.000 --> 00:02:33.000]  「正視情緒」系列的宣講
[00:02:33.000 --> 00:02:36.000]  今天我們會透過剛才所讀的經文約書亞記
[00:02:36.000 --> 00:02:38.000]  第一章來到去
[00:02:38.000 --> 00:02:41.000]  我們說人生難免會遇到一些
[00:02:41.000 --> 00:02:43.000]  你害怕或懼怕的事情
[00:02:43.000 --> 00:02:47.000]  我們怎樣來到去透過信仰
[00:02:47.000 --> 00:02:50.000]  向上帝支取足夠的勇氣
[00:02:50.000 --> 00:02:51.000]  來面對呢?
[00:02:51.000 --> 00:02:53.000]  正正是今天想和大家分享
[00:02:53.000 --> 00:02:55.000]  如果你剛才留意
[00:02:55.000 --> 00:02:58.000]  經文一開始交代了時空背景
[00:02:58.000 --> 00:03:00.000]  第一句就說
[00:03:00.000 --> 00:03:03.000]  耶和華的僕人摩西
[00:03:03.000 --> 00:03:04.000]  怎樣?
[00:03:04.000 --> 00:03:05.000]  死了
[00:03:05.000 --> 00:03:07.000]  如果你留意
[00:03:07.000 --> 00:03:09.000]  耶和華的僕人
[00:03:09.000 --> 00:03:13.000]  在聖經內不是一個普遍的稱呼
[00:03:13.000 --> 00:03:14.000]  不同我們今天說
