
[00:00:00.000 --> 00:00:03.400]  今日我們所選的經訓
[00:00:03.400 --> 00:00:07.000]  在新約的《馬太福音》
[00:00:07.000 --> 00:00:11.200]  四章十八節至二十五節
[00:00:11.200 --> 00:00:15.800]  是教會的聖經第四至五頁
[00:00:15.800 --> 00:00:20.000]  聖經是這樣說的
[00:00:20.000 --> 00:00:24.000]  耶穌在加利利海邊行走
[00:00:24.000 --> 00:00:26.200]  看見弟兄二人
[00:00:26.200 --> 00:00:31.800]  就是那稱呼彼得的西門和他兄弟安德烈
[00:00:31.800 --> 00:00:34.200]  在海裡撒網
[00:00:34.200 --> 00:00:37.000]  他們本是打魚的
[00:00:37.000 --> 00:00:39.400]  耶穌對他們說
[00:00:39.400 --> 00:00:41.600]  來 跟從我
[00:00:41.600 --> 00:00:46.400]  我要叫你們得人如得魚一樣
[00:00:46.400 --> 00:00:49.600]  他們就立刻捨了網
[00:00:49.600 --> 00:00:51.600]  跟從了他
[00:00:51.600 --> 00:00:54.000]  從那裡往前走
[00:00:54.000 --> 00:00:57.400]  又看見弟兄二人
[00:00:57.400 --> 00:01:04.000]  就是西比太的兒子亞各和他兄弟約翰
[00:01:04.000 --> 00:01:09.800]  和他們的父親西比太在船上保網
[00:01:09.800 --> 00:01:12.800]  耶穌就招呼他們
[00:01:12.800 --> 00:01:15.600]  他們立刻捨了船
[00:01:15.600 --> 00:01:17.400]  別了父親
[00:01:17.400 --> 00:01:20.200]  跟從了耶穌
[00:01:20.200 --> 00:01:23.000]  耶穌走遍加利利
[00:01:23.000 --> 00:01:26.000]  在各會堂裡教訓人
[00:01:26.000 --> 00:01:28.800]  傳天國的福音
[00:01:28.800 --> 00:01:32.400]  醫治百姓各樣的病症
[00:01:32.400 --> 00:01:36.600]  他的名聲就傳遍了敘利亞
[00:01:36.600 --> 00:01:40.000]  那裡的人把一切害病的
[00:01:40.000 --> 00:01:43.000]  就是害各樣疾病
[00:01:43.000 --> 00:01:45.000]  各樣疼痛的
[00:01:45.000 --> 00:01:47.400]  和被鬼附的
[00:01:47.400 --> 00:01:49.000]  癲癇的
[00:01:49.000 --> 00:01:50.400]  癱瘓的
[00:01:50.400 --> 00:01:52.400]  都帶了來
[00:01:52.400 --> 00:01:55.400]  耶穌就治好了他們
[00:01:55.400 --> 00:01:57.800]  當下有許多人
[00:01:57.800 --> 00:01:59.400]  從加利利
[00:01:59.400 --> 00:02:01.000]  底加波利
[00:02:01.000 --> 00:02:02.800]  耶路撒冷
[00:02:02.800 --> 00:02:04.000]  猶太
[00:02:04.000 --> 00:02:07.800]  約旦河外來跟著他
[00:02:07.800 --> 00:02:22.800]  (音樂)
[00:02:22.800 --> 00:02:23.800]  弟兄姊妹平安
[00:02:23.800 --> 00:02:24.800]  平安
[00:02:24.800 --> 00:02:28.800]  感謝主我們今天可以一齊來領受上帝的華語
[00:02:28.800 --> 00:02:30.200]  之前中了COVID
[00:02:30.200 --> 00:02:33.800]  還有一點鼻子有些嗡聲
[00:02:33.800 --> 00:02:35.200]  有些爛聲
[00:02:35.200 --> 00:02:36.800]  大家多多忍耐
[00:02:36.800 --> 00:02:40.800]  希望今天的聲音可以令我不會咳嗽
[00:02:40.800 --> 00:02:43.800]  可以完成今天的宣講
[00:02:43.800 --> 00:02:46.400]  在接下來我們踏入新的一年
[00:02:46.400 --> 00:02:47.800]  2023年
[00:02:47.800 --> 00:02:50.800]  我們教會的主題就叫做門徒不斷
[00:02:50.800 --> 00:02:52.800]  或者門訓不斷
[00:02:52.800 --> 00:02:54.400]  你訓練就有門徒了
[00:02:54.400 --> 00:02:55.800]  你不訓練就不會有的
[00:02:55.800 --> 00:02:56.800]  所以
[00:02:56.800 --> 00:02:57.800]  門訓也好
[00:02:57.800 --> 00:02:58.800]  或者門徒也好
[00:02:58.800 --> 00:03:02.200]  這個生生不息的門徒生活
[00:03:02.200 --> 00:03:04.800]  是經歷過教會裏面
[00:03:04.800 --> 00:03:06.800]  刻意訓練
[00:03:06.800 --> 00:03:09.400]  以致讓頂姐妹可以起來
[00:03:09.400 --> 00:03:14.800]  成為上帝所使用的器皿
[00:03:14.800 --> 00:03:17.400]  不過說起門徒訓練或者門訓
[00:03:17.400 --> 00:03:18.800]  其實坊間有很多書
[00:03:18.800 --> 00:03:20.800]  不同的書
[00:03:20.800 --> 00:03:24.400]  或者不同教會在做的門徒訓練
[00:03:24.400 --> 00:03:26.800]  大家都是同樣的字眼
[00:03:26.800 --> 00:03:31.400]  但是內涵或者大家所看的東西可以很不同
[00:03:31.400 --> 00:03:33.400]  有些教會藉著門徒訓練
