
[00:00:00.000 --> 00:00:07.040]  今天選讀的經訓是在《士師記》十六章第一至四節
[00:00:07.040 --> 00:00:10.320]  以及二十五至三十一節
[00:00:10.320 --> 00:00:14.080]  在舊約聖經的三百二十二開始
[00:00:14.080 --> 00:00:18.360]  請聽我讀出
[00:00:18.360 --> 00:00:21.800]  三孫到了加薩
[00:00:21.800 --> 00:00:25.720]  在那裡看見一個妓女就與她親近
[00:00:25.720 --> 00:00:28.160]  有人告訴加薩人說
[00:00:28.160 --> 00:00:30.400]  三孫到這裡來了
[00:00:30.400 --> 00:00:33.000]  他們就把她團團圍住
[00:00:33.000 --> 00:00:35.680]  中夜在城門悄悄埋伏
[00:00:35.680 --> 00:00:39.720]  說等到天亮我們便殺她
[00:00:39.720 --> 00:00:43.160]  三孫睡到半夜起來
[00:00:43.160 --> 00:00:46.480]  將城門的門扇、門窗、門衫
[00:00:46.480 --> 00:00:47.880]  一起拆下來
[00:00:47.880 --> 00:00:49.360]  剛在肩上
[00:00:49.360 --> 00:00:52.480]  剛到希伯倫前的山頂上
[00:00:52.480 --> 00:00:58.320]  後來三孫後來後來後來後來…
[00:00:58.320 --> 00:01:23.880]  (三孫的名字)
[00:01:23.880 --> 00:01:43.520]  (三孫的童子說)
[00:01:43.520 --> 00:01:46.840]  三孫求告耶和華說
[00:01:46.840 --> 00:01:50.440]  主耶和華求祢眷念我
[00:01:50.440 --> 00:01:53.840]  神啊,求祢賜我這一次的力量
[00:01:53.840 --> 00:01:56.520]  使我在非理士人身上
[00:01:56.520 --> 00:01:59.280]  布那碗我雙眼的仇
[00:01:59.280 --> 00:02:03.320]  三孫就抱著托房的那兩根柱子
[00:02:03.320 --> 00:02:04.840]  左手抱一根
[00:02:04.840 --> 00:02:06.440]  右手抱一根
[00:02:06.440 --> 00:02:10.600]  說我情願與非理士人同死
[00:02:10.600 --> 00:02:12.840]  就盡力屈身
[00:02:12.840 --> 00:02:14.440]  防止倒塌
[00:02:14.440 --> 00:02:17.880]  壓在首領和房內的眾人
[00:02:17.880 --> 00:02:20.840]  這樣三孫死時所殺的人
[00:02:20.840 --> 00:02:23.760]  比活著所殺的還多
[00:02:23.760 --> 00:02:26.880]  三孫的弟兄和他父的全家
[00:02:26.880 --> 00:02:29.400]  都下去取他的屍首
[00:02:29.400 --> 00:02:30.520]  抬上來
[00:02:30.520 --> 00:02:33.960]  葬在所拉和耳實圖中間
