
[00:00:00.000 --> 00:00:03.000]  接著是經訓時間
[00:00:03.000 --> 00:00:07.000]  今天我們選讀的經文是新約聖經羅馬書
[00:00:07.000 --> 00:00:13.000]  新約聖經羅馬書第八章三十一至三十九節
[00:00:13.000 --> 00:00:18.000]  聖經是這樣說
[00:00:18.000 --> 00:00:22.000]  「既是這樣,還有什麼說的呢?
[00:00:22.000 --> 00:00:27.000]  神若幫助我們,誰能抵擋我們?
[00:00:27.000 --> 00:00:33.000]  神既不愛惜自己的兒子,為我們眾人捨了
[00:00:33.000 --> 00:00:39.000]  豈不也把萬物和他一同白白地賜給我們嗎?
[00:00:39.000 --> 00:00:43.000]  誰能控告神所揀選的人?
[00:00:43.000 --> 00:00:46.000]  有神稱他們為異了
[00:00:46.000 --> 00:00:49.000]  誰能定他們的罪?
[00:00:49.000 --> 00:00:53.000]  有基督耶穌已經死了
[00:00:53.000 --> 00:01:02.000]  而且從死裡復活,現今在神的右邊也替我們祈求
[00:01:02.000 --> 00:01:06.000]  誰能使我們與基督的愛隔絕呢?
[00:01:06.000 --> 00:01:10.000]  難道是患難嗎?是困苦嗎?
[00:01:10.000 --> 00:01:13.000]  是迫不得已嗎?是飢餓嗎?
[00:01:13.000 --> 00:01:19.000]  是赤身怒體嗎?是危險嗎?是刀劍嗎?
[00:01:19.000 --> 00:01:26.000]  如經上所記,我們為你的緣故終日被殺
[00:01:26.000 --> 00:01:29.000]  人看我們如張載的羊
[00:01:29.000 --> 00:01:33.000]  然而,靠著愛我們的主
[00:01:33.000 --> 00:01:37.000]  在這一切的事上已經得勝有餘了
[00:01:37.000 --> 00:01:45.000]  因為我深信,無論是死、是生、是天事、是掌權的、是有能的
[00:01:45.000 --> 00:01:53.000]  是現在的事、是將來的事、是高處的、是低處的、是別的受造之物
[00:01:53.000 --> 00:01:57.000]  都不能叫我們與神的愛隔絕
[00:01:57.000 --> 00:02:02.000]  這愛是在我們的主基督耶穌裡的
[00:02:12.000 --> 00:02:15.000]  頂子會平安
[00:02:15.000 --> 00:02:19.000]  可否再用一種復活的心態來回應
[00:02:19.000 --> 00:02:21.000]  頂子會平安
[00:02:21.000 --> 00:02:24.000]  感謝主
[00:02:24.000 --> 00:02:28.000]  在二千多年前,基督耶穌從死裡復活
[00:02:28.000 --> 00:02:32.000]  耶穌第一樣對著門徒說:願你們平安
[00:02:32.000 --> 00:02:36.000]  我相信門徒回應聽到耶穌問的這句話
[00:02:36.000 --> 00:02:42.000]  大概他們在幾天裡經歷過山車一樣的情感
[00:02:42.000 --> 00:02:47.000]  但是看到復活的主,他們的心裡滿懷確信
[00:02:47.000 --> 00:02:54.000]  在二千多年來,基督教裡有很多的詩歌描述基督耶穌的受苦
[00:02:54.000 --> 00:02:59.000]  但是有更多的詩歌描述因著基督耶穌的復活
[00:02:59.000 --> 00:03:05.000]  他是得著榮耀的萬王之王、萬主之主
[00:03:05.000 --> 00:03:10.000]  每一個信靠他的頂子們,我們的生命都可以變得良麗
[00:03:10.000 --> 00:03:13.000]  從此我們的生命不再活在黑暗當中
[00:03:13.000 --> 00:03:15.000]  因為信靠這個復活的主
[00:03:15.000 --> 00:03:19.000]  我們人生的價值觀念,我們看善物
[00:03:19.000 --> 00:03:23.000]  又或者我們生命裡怎麼去普捨我們的人生
[00:03:23.000 --> 00:03:27.000]  通通因著基督耶穌完全改喚過來
[00:03:27.000 --> 00:03:30.000]  所以今天是很值得慶賀的日子
[00:03:30.000 --> 00:03:37.000]  今天也是我們心靈裡永遠要銘記的一個復活節
[00:03:37.000 --> 00:03:40.000]  今天跟大家去看的這段經文
[00:03:40.000 --> 00:03:42.000]  剛才Pelton幫我們讀的時候
[00:03:42.000 --> 00:03:49.000]  我們看到裡面寫到一個很豪邁、豪情壯語
[00:03:49.000 --> 00:03:55.000]  洋洋灑灑將整個福音信息呈現給大家
[00:03:55.000 --> 00:04:03.000]  不過這不單止是說一種聚得聖面的心靈體驗
[00:04:03.000 --> 00:04:07.000]  更加說到一個基督徒作為一個信靠主的人
[00:04:07.000 --> 00:04:11.000]  可以挺起胸膛,面對著世界上有很多的凶猛
[00:04:11.000 --> 00:04:14.000]  他都能夠有力量去面對
[00:04:14.000 --> 00:04:17.000]  保羅用勝利這個字眼來描述
[00:04:17.000 --> 00:04:23.000]  所有基督徒的生命都是一個德勝有餘的生命
[00:04:23.000 --> 00:04:25.000]  不知說起勝利、德勝有餘
[00:04:25.000 --> 00:04:27.000]  你怎樣看自己的人生
[00:04:27.000 --> 00:04:31.000]  你相不相信自己的人生是一個勝利的人生
[00:04:31.000 --> 00:04:34.000]  你會不會覺得自己是人生的勝利組呢?
[00:04:34.000 --> 00:04:37.000]  還是你覺得人生都是一個受害者
[00:04:37.000 --> 00:04:40.000]  或者我是被外面的社會、這個世界
[00:04:40.000 --> 00:04:43.000]  或者人的際遇來管轄
[00:04:43.000 --> 00:04:46.000]  有時候想發圍,但卻是無力
[00:04:46.000 --> 00:04:48.000]  不過在聖經裡卻是說到
[00:04:48.000 --> 00:04:50.000]  每一個基督徒是一個德勝者
[00:04:50.000 --> 00:04:53.000]  靠著基督耶穌我們德勝有餘
[00:04:53.000 --> 00:04:55.000]  這個德勝的體會
[00:04:55.000 --> 00:05:03.000]  不是純粹是說取得了什麼外在的得益或者成就
[00:05:03.000 --> 00:05:06.000]  更加是一種心靈的狀態
[00:05:06.000 --> 00:05:09.000]  我記得中學的時候有一位男孩子
[00:05:09.000 --> 00:05:10.000]  你當是我吧
