
[00:00:00.000 --> 00:00:06.000]  今日講到的經文是約翰福音六章二十四至五十九節
[00:00:06.000 --> 00:00:09.000]  不過我們只選讀其中的三段
[00:00:09.000 --> 00:00:12.000]  就是二十四至二十七節
[00:00:12.000 --> 00:00:14.000]  三十二至三十五節
[00:00:14.000 --> 00:00:17.000]  還有四十八至五十九節
[00:00:17.000 --> 00:00:20.000]  六章二十四節
[00:00:20.000 --> 00:00:25.000]  眾人見耶穌和門徒都不在那裡
[00:00:25.000 --> 00:00:30.000]  就上鳥說:我加伯隆去找耶穌
[00:00:30.000 --> 00:00:33.000]  既在海那邊找著鳥
[00:00:33.000 --> 00:00:39.000]  就對他說:拉比,是幾時到這裡來的?
[00:00:39.000 --> 00:00:44.000]  耶穌回答說:我實實在在的告訴你們
[00:00:44.000 --> 00:00:49.000]  你們找我並不是因見了神徵
[00:00:49.000 --> 00:00:52.000]  乃是因吃餅得飽
[00:00:52.000 --> 00:00:55.000]  不要為那必壞的食物勞力
[00:00:55.000 --> 00:00:59.000]  要為那全到永生的食物勞力
[00:00:59.000 --> 00:01:03.000]  就是人子要賜給你們的
[00:01:03.000 --> 00:01:08.000]  因為人子是父神所印證的
[00:01:08.000 --> 00:01:10.000]  三十二節
[00:01:10.000 --> 00:01:15.000]  耶穌說:我實實在在的告訴你們
[00:01:15.000 --> 00:01:21.000]  那從天上來的糧不是摩西賜給你們的
[00:01:21.000 --> 00:01:26.000]  乃是我父將天上來的真糧賜給你們
[00:01:26.000 --> 00:01:34.000]  因為神的糧就是那從天上降下來賜生命給世界的
[00:01:34.000 --> 00:01:39.000]  他們說:主啊,上將這糧賜給我們
[00:01:39.000 --> 00:01:43.000]  耶穌說:我就是生命的糧
[00:01:43.000 --> 00:01:45.000]  到我這裡來的
[00:01:45.000 --> 00:01:47.000]  必定不餓
[00:01:47.000 --> 00:01:50.000]  信我的,永遠不渴
[00:01:50.000 --> 00:01:52.000]  第四十八節
[00:01:52.000 --> 00:01:55.000]  我就是生命的糧
[00:01:55.000 --> 00:01:59.000]  你們的祖宗在曠野吃過晚了
[00:01:59.000 --> 00:02:01.000]  還是死了
[00:02:01.000 --> 00:02:04.000]  這是從天上降下來的糧
[00:02:04.000 --> 00:02:07.000]  叫人吃了就不死
[00:02:07.000 --> 00:02:11.000]  我是從天上降下來生命的糧
[00:02:11.000 --> 00:02:16.000]  人若吃這糧就必永遠活著
[00:02:16.000 --> 00:02:18.000]  我所要賜的糧
[00:02:18.000 --> 00:02:20.000]  就是我的肉
[00:02:20.000 --> 00:02:23.000]  為世人之生命所賜的
[00:02:23.000 --> 00:02:27.000]  因此猶太人彼此爭論說
[00:02:27.000 --> 00:02:31.000]  這個人怎能把他的肉給我們吃呢
[00:02:31.000 --> 00:02:35.000]  耶穌說:我實實在在的告訴你們
