
[00:00:00.000 --> 00:00:06.680]  今日經訓在希伯來書第九章一至十四節
[00:00:06.680 --> 00:00:13.740]  是在新約聖經希伯來書第九章一至十四節
[00:00:13.740 --> 00:00:15.860]  請聽我讀出
[00:00:15.860 --> 00:00:21.340]  原來前曰有禮拜的條例和屬世界的聖幕
[00:00:21.340 --> 00:00:24.100]  因為有預備的帳幕
[00:00:24.100 --> 00:00:26.740]  頭一層叫作聖所
[00:00:26.740 --> 00:00:31.740]  裏面有燈台、桌子和陳設餅
[00:00:31.740 --> 00:00:35.200]  第二晚之後又有一層帳幕
[00:00:35.200 --> 00:00:37.440]  叫作至聖所
[00:00:37.440 --> 00:00:39.440]  有金香爐
[00:00:39.440 --> 00:00:41.440]  有包金的藥櫃
[00:00:41.440 --> 00:00:44.640]  櫃裏有聖瑪拿的金冠
[00:00:44.640 --> 00:00:47.640]  和亞倫法幹娜的像
[00:00:47.640 --> 00:00:49.840]  並兩塊藥板
[00:00:49.840 --> 00:00:53.640]  櫃上面有榮耀基督帕的影
[00:00:53.640 --> 00:00:55.640]  罩著施恩座
[00:00:55.640 --> 00:01:00.640]  這幾件我現在不能一一細說
[00:01:00.640 --> 00:01:04.340]  這些物件既如此預備齊了
[00:01:04.340 --> 00:01:08.140]  眾祭司就常進投一層帳幕
[00:01:08.140 --> 00:01:10.140]  行拜神的禮
[00:01:10.140 --> 00:01:12.440]  至於第二層帳幕
[00:01:12.440 --> 00:01:17.140]  唯有大祭司一年一次獨自進去
[00:01:17.140 --> 00:01:23.140]  沒有不帶著血為自己和百姓的過錯獻上
[00:01:23.140 --> 00:01:25.440]  聖靈如此指明
[00:01:25.440 --> 00:01:26.940]  投一層帳幕
[00:01:26.940 --> 00:01:28.940]  迎傳的時候
[00:01:28.940 --> 00:01:32.940]  進入至聖所的路還未顯明
[00:01:32.940 --> 00:01:35.540]  那投一層帳幕
[00:01:35.540 --> 00:01:38.040]  作現今的一個表樣
[00:01:38.040 --> 00:01:40.640]  所獻的禮物和祭物
[00:01:40.640 --> 00:01:42.640]  就著良心說
[00:01:42.640 --> 00:01:46.640]  都不能叫禮拜的人得以圓全
[00:01:46.640 --> 00:01:49.140]  這些是連那飲食
[00:01:49.140 --> 00:01:51.640]  和珠缽洗作的規矩
[00:01:51.640 --> 00:01:54.640]  都不過是屬肉體的條例
[00:01:54.640 --> 00:01:58.440]  命定到振興的時候為止
[00:01:58.440 --> 00:02:01.140]  但現在基督已經來到
[00:02:01.140 --> 00:02:04.340]  作了將來美事的寨祭司
[00:02:04.340 --> 00:02:07.640]  經過那更大更傳遍的帳幕
[00:02:07.640 --> 00:02:09.840]  不是人手所做
[00:02:09.840 --> 00:02:12.540]  也不是屬乎這世界的
[00:02:12.540 --> 00:02:16.140]  並且不用山羊和牛毒的血
[00:02:16.140 --> 00:02:18.140]  乃用自己的血
[00:02:18.140 --> 00:02:20.340]  只一次進入聖所
[00:02:20.340 --> 00:02:23.240]  成了永遠贖罪的事
[00:02:23.240 --> 00:02:25.640]  若三羊和公牛的血
[00:02:25.640 --> 00:02:27.440]  並沒有牛毒的灰
[00:02:27.440 --> 00:02:29.840]  灑在不潔的人身上
[00:02:29.840 --> 00:02:33.540]  尚且叫人乘勝身體潔淨
[00:02:33.540 --> 00:02:36.640]  何況基督藉著永遠的靈
[00:02:36.640 --> 00:02:40.840]  將自己無憾無恥獻給神
[00:02:40.840 --> 00:02:44.940]  他的血豈不更能洗淨你們的心
[00:02:44.940 --> 00:02:47.040]  除去你們的死痕
[00:02:47.040 --> 00:02:50.640]  使你們侍奉那永生神嗎?
[00:02:50.640 --> 00:03:06.640]  (記者拋出墊子)
[00:03:06.640 --> 00:03:07.640]  各位姐妹平安
[00:03:07.640 --> 00:03:09.340]  (各位姐妹平安)
