
[00:00:00.000 --> 00:00:02.320]  因為「著崇拜」要讀的經訓
[00:00:02.320 --> 00:00:04.600]  是記載在我們舊約聖經裡的
[00:00:04.600 --> 00:00:08.680]  《史詩記》第二章第六節至三章六節
[00:00:08.680 --> 00:00:10.520]  我們可以打向我們的聖經
[00:00:10.520 --> 00:00:14.240]  舊約聖經第299頁至300頁
[00:00:14.240 --> 00:00:23.160]  《史詩記》第二章第六節內容是這樣說的
[00:00:23.160 --> 00:00:27.720]  「從前約書亞打發以色列人百姓去的時候
[00:00:27.720 --> 00:00:30.280]  他們各歸自己的地業
[00:00:30.280 --> 00:00:31.960]  佔據地土
[00:00:31.960 --> 00:00:35.600]  約書亞在世和約書亞死後
[00:00:35.600 --> 00:00:40.440]  那些見耶和華為以色列人所行大事的長老
[00:00:40.440 --> 00:00:42.800]  還在的時候
[00:00:42.800 --> 00:00:45.760]  百姓都侍奉耶和華
[00:00:45.760 --> 00:00:47.360]  耶和華的僕人
[00:00:47.360 --> 00:00:49.840]  亂的兒子約書亞
[00:00:49.840 --> 00:00:53.640]  正一百一十歲就死了
[00:00:53.640 --> 00:00:59.760]  以色列人將他葬在他地業的境內
[00:00:59.760 --> 00:01:04.960]  就是在以法連山地的亭南基列
[00:01:04.960 --> 00:01:08.640]  在加什山的北邊
[00:01:08.640 --> 00:01:13.280]  那世代的人也都歸了自己的列祖
[00:01:13.280 --> 00:01:16.720]  後來有別的世代興起
[00:01:16.720 --> 00:01:21.320]  也不知道耶和華
[00:01:21.320 --> 00:01:25.120]  為以色列人所行的事
[00:01:25.120 --> 00:01:30.320]  以色列人行耶和華眼中看來惡的事
[00:01:30.320 --> 00:01:32.840]  去侍奉朱巴力
[00:01:32.840 --> 00:01:37.560]  彌起了領他們出埃及地的耶和華
[00:01:37.560 --> 00:01:41.640]  他們列祖的神去後拜別神
[00:01:41.640 --> 00:01:44.600]  就是四位列國的神
[00:01:44.600 --> 00:01:46.920]  惹耶和華發怒
[00:01:46.920 --> 00:01:53.600]  並彌起耶和華去侍奉巴力和阿斯他祿
[00:01:53.600 --> 00:01:57.400]  耶和華的怒氣向以色列人發作
[00:01:57.400 --> 00:02:03.040]  就把他們交在搶奪他們的人手中
[00:02:03.040 --> 00:02:07.400]  又將他們賦予四位仇敵的手中
[00:02:07.400 --> 00:02:12.240]  甚至他們在仇敵面前再不能站立得住
[00:02:12.240 --> 00:02:15.040]  他們無論往何處去
[00:02:15.040 --> 00:02:19.360]  耶和華都以災禍攻擊他們
[00:02:19.360 --> 00:02:22.560]  正如耶和華所說的話
[00:02:22.560 --> 00:02:26.160]  「由於耶和華向他們所起的誓
[00:02:26.160 --> 00:02:30.160]  他們必極其困苦」
[00:02:30.160 --> 00:02:32.040]  耶和華興起示師
[00:02:32.040 --> 00:02:34.440]  示師就拯救他們脫離
[00:02:34.440 --> 00:02:36.960]  搶奪他們人的手
[00:02:36.960 --> 00:02:39.760]  他們卻不聽從示師
[00:02:39.760 --> 00:02:42.360]  竟隨從叩拜別神
[00:02:42.360 --> 00:02:44.360]  行了邪人
[00:02:44.360 --> 00:02:49.360]  速速的偏離他們列祖所行的道
[00:02:49.360 --> 00:02:53.360]  不如他們列祖順從耶和華的命令
[00:02:53.360 --> 00:02:56.960]  耶和華為他們興起示師
[00:02:56.960 --> 00:02:59.560]  就與那示師同在
[00:02:59.560 --> 00:03:02.960]  示師在世的一切日子
[00:03:02.960 --> 00:03:07.960]  耶和華拯救他們脫離仇敵的手
[00:03:07.960 --> 00:03:10.760]  他們因受欺壓
[00:03:10.760 --> 00:03:14.160]  繞開就哀聲嘆氣
[00:03:14.160 --> 00:03:17.160]  所以耶和華後悔了
[00:03:17.160 --> 00:03:19.760]  及至示師死後
[00:03:19.760 --> 00:03:22.560]  他們就轉去行惡
[00:03:22.560 --> 00:03:25.360]  被他們列祖更神
[00:03:25.360 --> 00:03:27.960]  去侍奉叩拜別神
[00:03:27.960 --> 00:03:32.760]  總不斷絕還梗的惡行
[00:03:32.760 --> 00:03:37.960]  於是耶和華的怒氣向以色列人發作
[00:03:37.960 --> 00:03:44.160]  他說:因者民違背我吩咐他們列祖所守的約
[00:03:44.160 --> 00:03:46.160]  不聽從我的話
[00:03:46.160 --> 00:03:49.360]  所以約書亞死的時候
[00:03:49.360 --> 00:03:51.160]  所剩下的各族
[00:03:51.160 --> 00:03:54.960]  我必不再從他們面前趕出
[00:03:54.960 --> 00:03:58.760]  惟要藉此試驗以色列人
[00:03:58.760 --> 00:04:04.760]  看他們肯照他們列祖謹守遵行我的道不幸
[00:04:04.760 --> 00:04:08.160]  這樣,耶和華留下各族
[00:04:08.160 --> 00:04:12.360]  不將他們速速趕出
[00:04:12.360 --> 00:04:15.960]  也沒有交付約書亞的手
[00:04:15.960 --> 00:04:18.560]  耶和華留下這幾族
[00:04:18.560 --> 00:04:25.960]  惟要試驗那不曾知道與加南征戰之時的以色列人
[00:04:25.960 --> 00:04:28.560]  好叫以色列的後代
[00:04:28.560 --> 00:04:30.960]  又知道又學習
[00:04:30.960 --> 00:04:33.560]  未曾曉得的戰事
[00:04:33.560 --> 00:04:35.560]  所留下的就是
[00:04:35.560 --> 00:04:41.760]  非理士的五個首領和一切加南人、西頓人
[00:04:41.760 --> 00:04:45.560]  並住黎巴嫩山的希美人
[00:04:45.560 --> 00:04:50.160]  從巴力克門山直到哈馬口
[00:04:50.160 --> 00:04:54.960]  留下這幾族惟要試驗以色列人
[00:04:54.960 --> 00:04:58.360]  知道他們肯聽從耶和華
[00:04:58.360 --> 00:05:02.560]  藉摩西吩咐他們列祖的誡命不幸
[00:05:02.560 --> 00:05:15.560]  以色列人竟住在加南人、黑人、阿摩尼人、比利西人、希美人、耶布斯人中間
[00:05:15.560 --> 00:05:17.760]  取他們的女兒為妻
[00:05:17.760 --> 00:05:21.160]  將自己的女兒嫁給他們的兒子
[00:05:21.160 --> 00:05:23.560]  並侍奉他們的神
[00:05:23.560 --> 00:05:35.560]  (字幕)
[00:05:35.560 --> 00:05:37.560]  各位弟兄姊妹平安
[00:05:37.560 --> 00:05:45.160]  早前我看了一篇由崇基神學院副教授
[00:05:45.160 --> 00:05:48.160]  伯德.培木斯所寫的文章
[00:05:48.160 --> 00:05:52.560]  那篇文章的題目是「基督教在歐洲的衰落」
[00:05:52.560 --> 00:05:58.160]  當中提到他帶一些學生到歐洲遊學時
[00:05:58.160 --> 00:06:04.560]  看到教堂已經轉型成為其他機構和服務場所
[00:06:04.560 --> 00:06:07.160]  他們都感到很可惜
[00:06:07.160 --> 00:06:11.160]  他提到一樣不爭的事實
[00:06:11.160 --> 00:06:16.160]  他說淺行信仰的基督徒人數正在減少
[00:06:16.160 --> 00:06:21.160]  「位於鄉村或城市社區中心的大教堂內
[00:06:21.160 --> 00:06:24.760]  參加主日崇拜的會眾中
[00:06:24.760 --> 00:06:29.760]  都是由白髮滄滄的老人家組成
[00:06:29.760 --> 00:06:36.760]  他們的虛弱聲音被淹沒在管風琴的轟鳴之中」
