
[00:00:00.000 --> 00:00:03.920]  讓我們一起聆聽一段上帝的話語
[00:00:03.920 --> 00:00:10.200]  記載在《馬可福音》第八章二十七至三十八節
[00:00:10.200 --> 00:00:13.880]  及第九章三十至三十七節
[00:00:13.880 --> 00:00:18.600]  在大家手上的新約聖經第五十九及六十一月
[00:00:18.600 --> 00:00:25.600]  聖經這裡是這樣說
[00:00:28.000 --> 00:00:33.520]  耶穌和門徒出去往凱撒利亞肥勒比的村莊去
[00:00:33.520 --> 00:00:38.240]  在路上問門徒說:人說我是誰?
[00:00:38.240 --> 00:00:43.200]  他們說:有人說是施浸的約翰
[00:00:43.200 --> 00:00:45.600]  有人說是以利亞
[00:00:45.600 --> 00:00:49.040]  又有人說是先知裡的一位
[00:00:49.040 --> 00:00:53.680]  又問他們說:你們說我是誰?
[00:00:53.680 --> 00:00:57.520]  彼得回答說:你是基督
[00:00:57.520 --> 00:01:02.000]  耶穌就禁戒他們不要告訴人
[00:01:02.000 --> 00:01:05.840]  從此他教訓他們說
[00:01:05.840 --> 00:01:09.040]  人子必須受許多的苦
[00:01:09.040 --> 00:01:12.960]  被長老濟斯長和問世氣絕
[00:01:12.960 --> 00:01:14.800]  並且被殺
[00:01:14.800 --> 00:01:17.040]  過三天復活
[00:01:17.040 --> 00:01:20.240]  耶穌明明說者說
[00:01:20.240 --> 00:01:23.440]  彼得就拉著他勸他
[00:01:23.440 --> 00:01:28.400]  耶穌轉過來看著門徒就責備彼得
[00:01:28.400 --> 00:01:33.200]  說:撒旦退我後邊去吧
[00:01:33.200 --> 00:01:36.560]  因為你不體貼神的意思
[00:01:36.560 --> 00:01:39.200]  只體貼人的意思
[00:01:39.200 --> 00:01:43.920]  於是叫眾人和門徒來對他們說
[00:01:43.920 --> 00:01:46.560]  若有人要跟隨我
[00:01:46.560 --> 00:01:52.000]  就當捨己背起他的十字架來跟從我
[00:01:52.000 --> 00:01:55.280]  因為凡要救自己生命的
[00:01:55.280 --> 00:01:57.760]  必喪掉生命
[00:01:57.760 --> 00:02:01.840]  凡為我和福音喪掉生命的
[00:02:01.840 --> 00:02:04.160]  必救了生命
[00:02:04.160 --> 00:02:08.960]  人若賺得全世界賠上自己的生命
[00:02:08.960 --> 00:02:11.200]  有甚麼益處呢?
[00:02:11.200 --> 00:02:15.680]  人還能拿甚麼生命呢?
[00:02:15.680 --> 00:02:20.400]  凡在這淫亂罪惡的世代
[00:02:20.400 --> 00:02:23.920]  把我和我的道當作可恥的
[00:02:23.920 --> 00:02:27.120]  人只在他父的榮耀裡
[00:02:27.120 --> 00:02:30.880]  和聖天使降臨的時候
[00:02:30.880 --> 00:02:34.160]  也要把那人當作可恥的
[00:02:34.160 --> 00:02:37.680]  第九章三十節
[00:02:37.680 --> 00:02:43.680]  他們離開那地方經過加利利
[00:02:43.680 --> 00:02:46.640]  耶穌不願意人知道
[00:02:46.640 --> 00:02:49.680]  於是教訓門徒說
[00:02:49.680 --> 00:02:53.200]  人子將要被交在人手裡
[00:02:53.200 --> 00:02:55.360]  他們要殺害他
[00:02:55.360 --> 00:02:56.960]  被殺以後
[00:02:56.960 --> 00:02:59.280]  過三天他要復活
[00:02:59.280 --> 00:03:02.160]  門徒卻不明白這話
[00:03:02.160 --> 00:03:04.560]  又不敢問他
[00:03:04.560 --> 00:03:07.360]  他們來到加伯隆
[00:03:07.360 --> 00:03:10.560]  耶穌在屋裡問門徒說
[00:03:10.560 --> 00:03:14.320]  你們在路上議論的是甚麼?
[00:03:14.320 --> 00:03:16.640]  門徒不作聲
[00:03:16.640 --> 00:03:22.240]  因為他們在路上彼此爭論誰為大
[00:03:22.240 --> 00:03:24.000]  耶穌坐下
[00:03:24.000 --> 00:03:26.960]  叫十二個門徒來說
[00:03:26.960 --> 00:03:29.840]  若有人願意作首先的
[00:03:29.840 --> 00:03:32.640]  他必作眾人末後的
[00:03:32.640 --> 00:03:35.440]  作眾人的用人
[00:03:35.440 --> 00:03:38.560]  於是領過一個小孩子來
[00:03:38.560 --> 00:03:41.360]  叫他站在門徒中間
[00:03:41.360 --> 00:03:43.200]  又抱起他來
[00:03:43.200 --> 00:03:45.120]  對他們說
[00:03:45.120 --> 00:03:49.280]  凡為我名接待一個將者小孩子的
[00:03:49.280 --> 00:03:51.040]  則是接待我
[00:03:51.040 --> 00:03:52.800]  凡接待我的
[00:03:52.800 --> 00:03:54.560]  不是接待我
[00:03:54.560 --> 00:03:57.920]  乃是接待那差我來的
[00:03:57.920 --> 00:03:59.520]  聖經獨筆
[00:03:59.520 --> 00:04:01.600]  今天早上有陳美龍姑娘
[00:04:01.600 --> 00:04:04.560]  在我們當中分享剛才這段話語
[00:04:04.560 --> 00:04:07.360]  講題是「就當寫記」
[00:04:07.360 --> 00:04:18.240]  (字幕)
[00:04:18.240 --> 00:04:23.040]  各位頂姐妹早安
[00:04:23.040 --> 00:04:25.840]  內心覺得很開心
[00:04:25.840 --> 00:04:29.120]  因為我嫂嫂原來我有年紀
[00:04:29.120 --> 00:04:32.720]  沒有這樣跟大家分享訊息
[00:04:32.720 --> 00:04:36.560]  原來上年4月19日分享訊息
[00:04:36.560 --> 00:04:39.440]  當然不計其他
