
[00:00:00.000 --> 00:00:04.000]  我們要聽神給我們的說話
[00:00:04.000 --> 00:00:07.000]  我們要聆聽的是
[00:00:07.000 --> 00:00:12.000]  馬可福音第六章一至十三節
[00:00:12.000 --> 00:00:16.000]  馬可福音第六章第一節
[00:00:16.000 --> 00:00:23.000]  耶穌離開那裡,來到自己的家鄉,門徒也跟從他
[00:00:23.000 --> 00:00:31.000]  到你安息日,他在會堂裡教訓人,眾人聽見就甚稀奇,說:
[00:00:31.000 --> 00:00:42.000]  「這人從哪裡有這些事呢?所賜給他的是什麼智慧?他所作的是何等的藝能呢?
[00:00:42.000 --> 00:00:51.000]  這不是那木匠嗎?不是瑪利亞的兒子雅各約西猶大西門的長兄嗎?
[00:00:51.000 --> 00:00:58.000]  他們每門不也是在我們這裡嗎?他們就嫌棄他。」
[00:00:58.000 --> 00:01:00.000]  耶穌對他們說:
[00:01:00.000 --> 00:01:09.000]  「大凡先知,除了本地親屬、管家之外,沒有不被人尊敬的。」
[00:01:09.000 --> 00:01:18.000]  耶穌就在那裡不得行什麼藝能,不過按守在幾個病人身上治好他們
[00:01:18.000 --> 00:01:25.000]  他也詫異他們不信,就往周圍鄉村教訓人去了
[00:01:25.000 --> 00:01:27.000]  第七節
[00:01:27.000 --> 00:01:34.000]  耶穌叫到十二個門徒來,差遣他們兩個兩個的出去
[00:01:34.000 --> 00:01:41.000]  也賜給他們權柄、制服、烏龜,並且囑咐他們
[00:01:41.000 --> 00:01:46.000]  行路的時候不要帶食物和口袋,腰袋裡也不要帶錢
[00:01:46.000 --> 00:01:54.000]  除了拐杖以外什麼都不要帶,只要穿鞋,也不要穿兩件襪子
[00:01:54.000 --> 00:01:56.000]  又對他們說:
[00:01:56.000 --> 00:02:04.000]  「你們無論到哪兒都何處,盡要人的家就住在那裡,直到離開那地方
[00:02:04.000 --> 00:02:08.000]  那處的人不接待你們,不聽你們
[00:02:08.000 --> 00:02:16.000]  你們離開那裡的時候,就把腳上的塵土奪下去,對他們作見證。」
[00:02:16.000 --> 00:02:24.000]  門徒就出去傳道,叫人悔改,又趕出許多的鬼
[00:02:24.000 --> 00:02:29.000]  用油抹了許多病人,治好他們
[00:02:29.000 --> 00:02:31.000]  聖經獨筆
[00:02:31.000 --> 00:02:41.000]  頂姐妹平安
[00:02:41.000 --> 00:02:45.000]  我們接下來開始一個新的講道系列
[00:02:45.000 --> 00:02:51.000]  我們用了半年的時間一起去看摩西和整個以色列民族埃及
[00:02:51.000 --> 00:02:53.000]  在《生命記》裡面的記載
[00:02:53.000 --> 00:02:57.000]  但是到了下半年我們又轉換,一起讀新約
[00:02:57.000 --> 00:03:03.000]  在這個系列裡面,我們就叫這個叫耶穌給門徒的十課
[00:03:03.000 --> 00:03:07.000]  其實耶穌給門徒的課是不止十次的
[00:03:07.000 --> 00:03:12.000]  不過我們濃縮在《馬可福音》裡面,由第六章讀到第十章
[00:03:12.000 --> 00:03:19.000]  在這裡的門徒訓練,其實就記載著耶穌帶著門徒
[00:03:19.000 --> 00:03:25.000]  或者他差遣門徒去做很多不同的任務和使命
[00:03:25.000 --> 00:03:29.000]  在過程裡面會看到門徒自己的生命狀況
[00:03:29.000 --> 00:03:33.000]  當然在整個傳道的歷程裡面
[00:03:33.000 --> 00:03:39.000]  耶穌也會將很多很重要的一些侍奉的心路或者經歷
[00:03:39.000 --> 00:03:45.000]  透過門徒的實踐,耶穌也會預定地告訴他們
[00:03:45.000 --> 00:03:49.000]  今天我們上的第一課,我們第一個開始看的
[00:03:49.000 --> 00:03:53.000]  就在第六章,由第一節讀到第十三節
[00:03:53.000 --> 00:03:58.000]  有些弟兄姐妹問,穆斯林為什麼不由第一章開始讀起呢?
[00:03:58.000 --> 00:04:04.000]  那也是真的,一來我們篇幅所限,我們沒有辦法,整個《馬可福音》全部看完
[00:04:04.000 --> 00:04:09.000]  更加重要的是,我們這次特別要看這一段
[00:04:09.000 --> 00:04:13.000]  門徒開始落手落腳,由第一章到第五章
[00:04:13.000 --> 00:04:17.000]  其實過去裡面,門徒主要跟隨或者被耶穌呼召
[00:04:17.000 --> 00:04:21.000]  真的落手落腳去做,不是很多
[00:04:21.000 --> 00:04:27.000]  但是在這裡開始,門徒真的被差遣出去實踐
[00:04:27.000 --> 00:04:31.000]  就正如你學車一樣,如果你說學車不停學理論科學
[00:04:31.000 --> 00:04:36.000]  學take multi,那些選擇題,你不覺得自己在學車
[00:04:36.000 --> 00:04:42.000]  唯有開著車在路面裡面,你怎樣去駛那台軚,怎樣踩油門,怎樣踩煞車
[00:04:42.000 --> 00:04:47.000]  你有那種真實感覺,你就真的正式覺得自己在學車
[00:04:47.000 --> 00:04:52.000]  現在這裡都是一班新手的門徒,真的學車了
[00:04:52.000 --> 00:04:57.000]  耶穌教他們,第一個要出去的,要做什麼,要怎樣學呢?
[00:04:57.000 --> 00:05:02.000]  學生命什麼的經歷呢?今天要特別要他們學的就是學識被拒絕
[00:05:02.000 --> 00:05:06.000]  我們先祈禱求上帝幫我們,同心祈禱
[00:05:06.000 --> 00:05:10.000]  天父,願祢的話語成為我們的幫助
[00:05:10.000 --> 00:05:16.000]  帶領我們,讓我們能夠在祢的話語當中,讀得到生命的亮光
