
[00:00:00.000 --> 00:00:10.000]  今日要和大家誦讀的經文是在新約的已忽所書第二章第八到第十節
[00:00:10.000 --> 00:00:18.000]  新約的已忽所書第二章第八到第十節
[00:00:18.000 --> 00:00:38.000]  你們得救是本乎因,也因著信,這並不是出於自己,乃是神所賜的,也不是出於行為,免得有人自誇。
[00:00:38.000 --> 00:00:52.000]  我們原是他的工作,在基督耶穌裡造成的,為要叫我們行善,就是神所預備叫我們行的。
[00:00:52.000 --> 00:00:55.000]  願神的話語常在我們心中。
[00:01:05.000 --> 00:01:15.000]  弟兄姊妹平安,今日和大家分享一個主題,就是我們每一個都是上帝的傑作,你們認同嗎?
[00:01:15.000 --> 00:01:28.000]  我們每一個都是上帝的傑作,說起傑作,話說有一天我回到家,我兒子當我一進門口時,就對我說,
[00:01:28.000 --> 00:01:42.000]  爸爸,你看看我手上這件Lego,這是他親手造的機械人,你看看這隻手,你看看這武器,這關節,是不是很厲害,我自己造的,是不是很厲害?
[00:01:42.000 --> 00:01:54.000]  我看到他一卷嘴,說得眉飛色舞,於是當他停下來時,我就對他說,我說,這件真是你的傑作,
[00:01:54.000 --> 00:02:10.000]  他就說,是的,沒錯,於是他就繼續發表怎樣設計,到底這樣做有什麼目的,有什麼原因,說不停地跟我分享這件傑作。
[00:02:10.000 --> 00:02:17.000]  於是我就說,爸爸說到,不如借你這件作品來分享,好嗎?
[00:02:17.000 --> 00:02:29.000]  他說,好啊,讓我再改裝一下,修改一下,於是他就埋頭苦幹地繼續砌他的作品,所以現在你看到手上這件和Powerpoint那件已經不同了,又進化了。
[00:02:29.000 --> 00:02:50.000]  《鼎之回國實》,我想在很多人眼中,這件傑作很平凡,不過在設計者的心目中,他真的經過精心的計劃,他真的花時間去打造它,可以說是他一件愛不釋手的傑作。
[00:02:50.000 --> 00:03:03.000]  同樣地,我想透過今天這段經文來提醒,真的,你和我,不折不扣,是上帝親手打造,精心設計的一件作品。
