
[00:00:00.000 --> 00:00:03.880]  今日經訓是在兩段經文
[00:00:03.880 --> 00:00:10.000]  第一段是《仕途行傳》16章31至34節
[00:00:10.000 --> 00:00:13.200]  以及《約翰三書》第四節
[00:00:13.200 --> 00:00:20.000]  我首先讀出是《仕途行傳》16章31至34節
[00:00:20.000 --> 00:00:23.080]  在新約聖經186頁
[00:00:23.080 --> 00:00:27.520]  請聽我讀出第31節
[00:00:27.520 --> 00:00:30.480]  他們說:當送主耶穌
[00:00:30.480 --> 00:00:33.400]  你和你一家都必得救
[00:00:33.400 --> 00:00:35.440]  他們就把主的道
[00:00:35.440 --> 00:00:39.000]  講給他和他全家的人聽
[00:00:39.000 --> 00:00:41.640]  當夜就在那時候
[00:00:41.640 --> 00:00:44.240]  禁足把他們帶去
[00:00:44.240 --> 00:00:45.880]  洗他們的傷
[00:00:45.880 --> 00:00:49.960]  他和屬乎他的人立時都受了浸
[00:00:49.960 --> 00:00:54.480]  於是禁足令他們上自己家裡去
[00:00:54.480 --> 00:00:56.720]  給他們擺上飯
[00:00:56.720 --> 00:00:59.720]  他和全家因為信了
[00:00:59.720 --> 00:01:02.720]  神都肯喜樂
[00:01:02.720 --> 00:01:09.240]  我們接著在《約翰三書》第四節
[00:01:09.240 --> 00:01:12.840]  在新約聖經345頁
[00:01:12.840 --> 00:01:14.040]  第四節
[00:01:14.040 --> 00:01:18.040]  我聽見我的兒女們按真理而行
[00:01:18.040 --> 00:01:21.840]  我的喜樂就沒有比這個大的
[00:01:21.840 --> 00:01:22.960]  聖經獨筆
[00:01:22.960 --> 00:01:25.960]  願神的話語祝福大家
[00:01:25.960 --> 00:01:45.960]  (自我介紹)
[00:01:45.960 --> 00:01:49.960]  各位兄弟姐妹各位朋友平安
[00:01:49.960 --> 00:01:54.560]  我知道今天有些新朋友來到我們當中
[00:01:54.560 --> 00:01:57.280]  我知道他們手上會有一個
[00:01:57.280 --> 00:01:59.560]  我們送給他們的小飾物
[00:01:59.560 --> 00:02:03.080]  如果有新朋友請你揮揮手好不好?
[00:02:03.080 --> 00:02:03.680]  Hello
[00:02:03.680 --> 00:02:05.360]  那邊有幾位
[00:02:05.360 --> 00:02:06.080]  是的
[00:02:06.080 --> 00:02:06.880]  這裡也有
[00:02:06.880 --> 00:02:07.880]  我們歡迎你們
[00:02:07.880 --> 00:02:09.880]  歡迎你們
[00:02:09.880 --> 00:02:10.360]  是啊
[00:02:10.360 --> 00:02:12.560]  很開心見到大家
[00:02:12.560 --> 00:02:15.480]  今天是母親節
[00:02:15.480 --> 00:02:17.880]  今天是母親節福音主人
[00:02:17.880 --> 00:02:21.880]  我想知道在座有哪位是媽媽的?
[00:02:21.880 --> 00:02:24.880]  (笑聲)
[00:02:24.880 --> 00:02:25.880]  怎麼了?
[00:02:25.880 --> 00:02:26.880]  是
[00:02:26.880 --> 00:02:27.880]  好
[00:02:27.880 --> 00:02:32.880]  我在這裡衷心恭祝大家母親節快樂
[00:02:32.880 --> 00:02:34.880]  加上母親節喜樂
[00:02:34.880 --> 00:02:37.880]  因為今天的主題是喜樂家庭
[00:02:37.880 --> 00:02:39.880]  在節日裡
[00:02:39.880 --> 00:02:41.880]  我們很多時候都會祝人快樂
[00:02:41.880 --> 00:02:44.880]  母親節快樂、新年快樂
[00:02:44.880 --> 00:02:46.880]  我們很少祝人喜樂
[00:02:46.880 --> 00:02:47.880]  是不是?
[00:02:47.880 --> 00:02:51.880]  好像不知道是不是因為我們中國人、廣東人
[00:02:51.880 --> 00:02:54.880]  祝人喜樂好像和喜樂樂
[00:02:54.880 --> 00:03:00.880]  就是上上落落的諧音是一樣的
[00:03:00.880 --> 00:03:03.880]  好像你祝人母親節快樂
[00:03:03.880 --> 00:03:08.880]  好像說到你人生古事大喜大樂
[00:03:08.880 --> 00:03:09.880]  這樣不是很好
[00:03:09.880 --> 00:03:11.880]  我們很少這樣祝人喜樂
[00:03:11.880 --> 00:03:13.880]  但是我今天很想告訴你
[00:03:13.880 --> 00:03:15.880]  喜樂的意義在哪裡?
[00:03:15.880 --> 00:03:18.880]  我很想祝願在我們當中的媽媽
[00:03:18.880 --> 00:03:24.880]  她們的生命得到真真正正那種內心出來的喜樂
[00:03:24.880 --> 00:03:27.880]  不過我想說一件事
[00:03:27.880 --> 00:03:30.880]  其實人生有喜樂是不是常態?
[00:03:30.880 --> 00:03:32.880]  應該是吧?
[00:03:32.880 --> 00:03:34.880]  我覺得作為一個媽媽
[00:03:34.880 --> 00:03:35.880]  她一定喜樂
[00:03:35.880 --> 00:03:36.880]  為什麼呢?
[00:03:36.880 --> 00:03:38.880]  就是喜喜樂樂、上上落落的那個
[00:03:38.880 --> 00:03:41.880]  因為養兒一百歲
[00:03:41.880 --> 00:03:43.880]  長幼多少?
[00:03:43.880 --> 00:03:45.880]  九十九
[00:03:45.880 --> 00:03:49.880]  無可避免地我們都會被我們的子女
[00:03:49.880 --> 00:03:51.880]  我也是媽媽
