
[00:00:00.000 --> 00:00:02.380]  也是中讀經訓的時間
[00:00:02.380 --> 00:00:04.380]  今天所中讀的經文
[00:00:04.380 --> 00:00:10.760]  是薩姆爾記下的十五節至二十三節
[00:00:10.760 --> 00:00:14.440]  經文記載在程序表的內頁
[00:00:14.440 --> 00:00:16.440]  也可以翻開聖經
[00:00:16.440 --> 00:00:19.880]  唐用的聖經第三百九十二頁
[00:00:19.880 --> 00:00:26.400]  經文記載了大衛和拔士巴
[00:00:26.400 --> 00:00:29.800]  所得的兒子病逝的一段經文
[00:00:29.800 --> 00:00:37.080]  「那丹就回家去了
[00:00:37.080 --> 00:00:40.040]  耶和華擊打烏利亞妻
[00:00:40.040 --> 00:00:42.840]  及大衛所生的孩子
[00:00:42.840 --> 00:00:45.840]  使他得病重病
[00:00:45.840 --> 00:00:49.480]  所以大衛為這孩子懇求
[00:00:49.480 --> 00:00:53.800]  神而且禁食進入內室
[00:00:53.800 --> 00:00:56.520]  中夜躺在地上
[00:00:56.520 --> 00:01:00.800]  他家中的老臣來到他旁邊
[00:01:00.800 --> 00:01:04.400]  要把他從地上扶起來
[00:01:04.400 --> 00:01:06.800]  他卻不肯起來
[00:01:06.800 --> 00:01:09.800]  也不同他們吃飯
[00:01:09.800 --> 00:01:13.520]  到第七日孩子死了
[00:01:13.520 --> 00:01:18.520]  大衛的神僕不敢告訴他孩子死了
[00:01:18.520 --> 00:01:22.800]  因他們說孩子還活著的時候
[00:01:22.800 --> 00:01:24.520]  我們勸他
[00:01:24.520 --> 00:01:28.320]  他尚且不肯聽我們的話
[00:01:28.320 --> 00:01:31.120]  若告訴他孩子死了
[00:01:31.120 --> 00:01:33.800]  豈不更加憂傷?
[00:01:33.800 --> 00:01:38.200]  大衛見神僕彼此低聲說話
[00:01:38.200 --> 00:01:41.400]  就知道孩子死了
[00:01:41.400 --> 00:01:45.200]  問神僕說:孩子死了嗎?
[00:01:45.200 --> 00:01:47.600]  他們說:死了
[00:01:47.600 --> 00:01:50.600]  大衛就從地上起來
[00:01:50.600 --> 00:01:55.200]  沐浴、抹膏、換了衣裳
[00:01:55.200 --> 00:01:58.600]  進耶和華的殿敬拜
[00:01:58.600 --> 00:02:00.400]  然後回宮
[00:02:00.400 --> 00:02:02.800]  吩咐人擺飯
[00:02:02.800 --> 00:02:04.600]  他便吃了
[00:02:04.600 --> 00:02:06.600]  神僕問他說:
[00:02:06.600 --> 00:02:09.800]  你所行的是什麼意思?
[00:02:09.800 --> 00:02:12.200]  孩子活著的時候
[00:02:12.200 --> 00:02:14.600]  你禁食哭泣
[00:02:14.600 --> 00:02:16.400]  孩子死了
[00:02:16.400 --> 00:02:19.400]  你倒起來吃飯?
[00:02:19.400 --> 00:02:23.200]  大衛說:孩子還活著
[00:02:23.200 --> 00:02:25.800]  我禁食哭泣
[00:02:25.800 --> 00:02:28.000]  因為我想
[00:02:28.000 --> 00:02:30.600]  或者耶和華連恤我
[00:02:30.600 --> 00:02:35.000]  使孩子不死也未可知
[00:02:35.000 --> 00:02:37.000]  孩子死了
[00:02:37.000 --> 00:02:39.200]  我何必禁食?
[00:02:39.200 --> 00:02:43.200]  我豈能使他返回呢?
[00:02:43.200 --> 00:02:45.600]  我必往他那裡去
[00:02:45.600 --> 00:02:50.000]  他卻不能回我這裡來
[00:02:50.000 --> 00:02:52.200]  然神賜福常讀句話語
[00:02:52.200 --> 00:02:54.200]  並且進行的人
[00:02:54.200 --> 00:03:05.200]  弟兄姊妹平安
[00:03:05.200 --> 00:03:07.000]  我們今天繼續
[00:03:07.000 --> 00:03:11.000]  正視情緒系列的一系列講道
[00:03:11.000 --> 00:03:13.200]  很多弟兄姊妹曾經問過
[00:03:13.200 --> 00:03:14.600]  牧師日你講這個
[00:03:14.600 --> 00:03:16.800]  或者我們整個同工團隊
[00:03:16.800 --> 00:03:19.600]  他所講的正視情緒系列
[00:03:19.600 --> 00:03:21.200]  用意是什麼呢?
[00:03:21.200 --> 00:03:24.200]  其實情緒是我們生命的一部分
[00:03:24.200 --> 00:03:26.800]  我們每一個人生活在地上
[00:03:26.800 --> 00:03:30.800]  其實我們或多或少都會經歷一些事情
[00:03:30.800 --> 00:03:33.000]  牽動了我們的情緒
[00:03:33.000 --> 00:03:35.600]  而這個系列的目的就是
