
[00:00:00.000 --> 00:00:06.000]  今日經訓是《新命記》八章一至十節
[00:00:06.000 --> 00:00:11.000]  是記載在回眾的座位前面的聖經九曰部分
[00:00:11.000 --> 00:00:15.000]  224頁至225頁
[00:00:15.000 --> 00:00:20.000]  聖經這樣記載
[00:00:20.000 --> 00:00:26.000]  我今日所吩咐你一切戒明
[00:00:26.000 --> 00:00:32.000]  你們要謹守遵行,好叫你們存活,人數增多
[00:00:32.000 --> 00:00:38.000]  且進去得耶和華向你們列祖起誓應許的那地
[00:00:38.000 --> 00:00:45.000]  你也要紀念耶和華你的神,再抗夜引導你這四十年
[00:00:45.000 --> 00:00:51.000]  是要苦練你,試驗你,要知道你心內如何
[00:00:51.000 --> 00:00:58.000]  肯守他的戒明不懇,他苦練你,任你饑餓
[00:00:58.000 --> 00:01:04.000]  將你和你列祖所不認識的瑪拿賜給你吃
[00:01:04.000 --> 00:01:09.000]  使你知道人活著不是單靠食物
[00:01:09.000 --> 00:01:13.000]  乃是靠耶和華口裡所出的一切話
[00:01:13.000 --> 00:01:17.000]  這四十年你的衣服沒有穿破
[00:01:17.000 --> 00:01:20.000]  你的腳也沒有腫
[00:01:20.000 --> 00:01:25.000]  你心裡思想,耶和華你神管教你
[00:01:25.000 --> 00:01:28.000]  好像人管教兒子一樣
[00:01:28.000 --> 00:01:32.000]  你要跟守耶和華你神的戒明
[00:01:32.000 --> 00:01:36.000]  進行他的道,敬畏他
[00:01:36.000 --> 00:01:40.000]  因為耶和華你神領你進入美地
[00:01:40.000 --> 00:01:45.000]  那地有河,有泉,有源
[00:01:45.000 --> 00:01:48.000]  從山谷中流出水來
[00:01:48.000 --> 00:01:55.000]  那地有小麥,大麥,葡萄樹,無花果樹
[00:01:55.000 --> 00:01:59.000]  石榴樹,橄欖樹,黃麥
[00:01:59.000 --> 00:02:03.000]  你在那地不缺食物,一無所缺
[00:02:03.000 --> 00:02:06.000]  那地的石頭是鐵
[00:02:06.000 --> 00:02:11.000]  山內可以挖銅,你吃得飽足
[00:02:11.000 --> 00:02:14.000]  就要稱頌耶和華你的神
[00:02:14.000 --> 00:02:17.000]  因為他將那美地賜給你了
[00:02:17.000 --> 00:02:19.000]  (字幕:陳志全)
[00:02:19.000 --> 00:02:21.000]  (字幕:陳志全)
[00:02:21.000 --> 00:02:23.000]  (字幕:陳志全)
[00:02:23.000 --> 00:02:29.000]  弟兄姊妹平安
[00:02:29.000 --> 00:02:33.000]  剛才閻明弟兄所讀的這張生命記
[00:02:33.000 --> 00:02:36.000]  一共有二十節
[00:02:36.000 --> 00:02:39.000]  如果留意到聖經裡的記載
[00:02:39.000 --> 00:02:41.000]  剛才讀了上半部分
[00:02:41.000 --> 00:02:43.000]  一至第十節
[00:02:43.000 --> 00:02:47.000]  裡面提到提醒百姓要紀念
[00:02:47.000 --> 00:02:50.000]  上帝昔日在曠野四十年的作為
[00:02:50.000 --> 00:02:53.000]  並且以敬畏的態度
[00:02:53.000 --> 00:02:56.000]  去承受迦南地的福氣
[00:02:56.000 --> 00:02:58.000]  至於下半部分,稍後我們會說
[00:02:58.000 --> 00:03:00.000]  十一至二十節
[00:03:00.000 --> 00:03:02.000]  裡面就不同了
[00:03:02.000 --> 00:03:05.000]  裡面提醒百姓不要忘記
[00:03:05.000 --> 00:03:08.000]  摩西警誡百姓不要因為
[00:03:08.000 --> 00:03:10.000]  生活漸漸富足而忘本
[00:03:10.000 --> 00:03:12.000]  仍然要記得上帝
[00:03:12.000 --> 00:03:16.000]  事實上紀念可以說是這張聖經
[00:03:16.000 --> 00:03:19.000]  貫穿了主題
[00:03:19.000 --> 00:03:21.000]  貫穿了段落
[00:03:21.000 --> 00:03:25.000]  紀念是聖經常常提到的
[00:03:25.000 --> 00:03:28.000]  常常出現的題目
[00:03:28.000 --> 00:03:31.000]  當然不只是回憶
[00:03:31.000 --> 00:03:33.000]  上帝以前做了什麼
[00:03:33.000 --> 00:03:37.000]  其實紀念有一個很重要的意思
[00:03:37.000 --> 00:03:39.000]  就是你要重新檢視
[00:03:39.000 --> 00:03:42.000]  你和上帝的關係到底是怎樣
[00:03:42.000 --> 00:03:45.000]  你和上帝的距離到底是近還是遠
[00:03:45.000 --> 00:03:48.000]  紀念是說
[00:03:48.000 --> 00:03:51.000]  我們和上帝立過什麼約
[00:03:51.000 --> 00:03:55.000]  並且在這份約的內容是什麼
[00:03:55.000 --> 00:03:58.000]  譬如說上帝應許了他要做什麼
[00:03:58.000 --> 00:04:00.000]  另一方面
[00:04:00.000 --> 00:04:02.000]  上帝又要求我們怎樣守約
[00:04:02.000 --> 00:04:04.000]  並且說明
[00:04:04.000 --> 00:04:05.000]  如果你遵守的時候
[00:04:05.000 --> 00:04:07.000]  上帝會應許什麼
[00:04:07.000 --> 00:04:09.000]  反過來你不遵守的時候
[00:04:09.000 --> 00:04:10.000]  違約的時候
[00:04:10.000 --> 00:04:13.000]  上帝又會怎樣做
[00:04:13.000 --> 00:04:15.000]  紀念驅使我們
[00:04:15.000 --> 00:04:18.000]  更加認識上帝是怎樣的神
[00:04:18.000 --> 00:04:22.000]  你要更加委身忠心於上帝
[00:04:22.000 --> 00:04:26.000]  並且願意遵從他所說的話
[00:04:26.000 --> 00:04:30.000]  讓上帝的話語塑造你日常生活
[00:04:30.000 --> 00:04:31.000]  那個態度
[00:04:31.000 --> 00:04:34.000]  那個優先次序和價值觀念
[00:04:34.000 --> 00:04:35.000]  所以我們說
[00:04:35.000 --> 00:04:37.000]  聖經裡面說的紀念
[00:04:37.000 --> 00:04:39.000]  一定不是靜態
[00:04:39.000 --> 00:04:42.000]  不只是腦袋的運轉
[00:04:42.000 --> 00:04:44.000]  紀念是透過你回顧
[00:04:44.000 --> 00:04:46.000]  上帝在你生命裡面的作為
[00:04:46.000 --> 00:04:48.000]  你一定有相應的行動
[00:04:48.000 --> 00:04:51.000]  來配合上帝的吩咐
[00:04:51.000 --> 00:04:52.000]  正如今天我們所看的
[00:04:52.000 --> 00:04:54.000]  生命記第八章
