
[00:00:00.000 --> 00:00:03.720]  今天經課是記載於《約翰福音》第十章
[00:00:03.720 --> 00:00:06.520]  「我實實在在的告訴你們
[00:00:06.520 --> 00:00:10.240]  人進羊圈不從門進去
[00:00:10.240 --> 00:00:13.000]  倒從別處爬進去
[00:00:13.000 --> 00:00:16.720]  那人就是賊,就是強盜
[00:00:16.720 --> 00:00:20.720]  從門進去的才是羊的牧人
[00:00:20.720 --> 00:00:24.120]  開門的就給他開門
[00:00:24.120 --> 00:00:26.400]  羊也聽他的聲音
[00:00:26.400 --> 00:00:31.000]  他按著鳴叫自己的羊把羊領出來
[00:00:32.040 --> 00:00:34.040]  既放出自己的羊來
[00:00:34.040 --> 00:00:36.040]  就在前頭走
[00:00:36.040 --> 00:00:38.040]  羊也跟著他
[00:00:38.040 --> 00:00:40.440]  因為認得他的聲音
[00:00:40.440 --> 00:00:43.360]  羊不跟著生人
[00:00:43.360 --> 00:00:45.840]  因為不認得他的聲音
[00:00:45.840 --> 00:00:47.840]  必要逃跑」
[00:00:47.840 --> 00:00:51.560]  耶穌將這比喻告訴他們
[00:00:51.560 --> 00:00:55.440]  但他們不明白所說的是什麼意思
[00:00:55.440 --> 00:00:58.560]  所以耶穌又對他們說
[00:00:59.640 --> 00:01:02.440]  「我實實在在的告訴你們
[00:01:02.440 --> 00:01:04.440]  我就是羊的門
[00:01:04.440 --> 00:01:06.840]  凡在我以先來的
[00:01:06.840 --> 00:01:09.240]  那是賊,是強盜
[00:01:09.240 --> 00:01:11.240]  羊卻不聽他們
[00:01:11.240 --> 00:01:13.240]  我就是門
[00:01:13.240 --> 00:01:15.240]  凡從我進來的
[00:01:15.240 --> 00:01:16.640]  必然得救
[00:01:16.640 --> 00:01:19.040]  並且出入得草吃
[00:01:19.040 --> 00:01:21.040]  盜賊來
[00:01:21.040 --> 00:01:24.640]  無非要偷竊、殺害、毀壞
[00:01:24.640 --> 00:01:26.040]  我來了
[00:01:26.040 --> 00:01:28.440]  是要讓得生命
[00:01:28.440 --> 00:01:31.440]  並且得的更豐盛
[00:01:31.440 --> 00:01:33.640]  我是好牧人
[00:01:33.640 --> 00:01:36.040]  好牧人為羊捨命
