
[00:00:00.000 --> 00:00:04.320]  我們以聆聽神的話來繼續敬拜
[00:00:04.320 --> 00:00:07.840]  今日的經訓是
[00:00:07.840 --> 00:00:12.800]  《馬太福音》第五章一至十節
[00:00:12.800 --> 00:00:20.080]  耶穌看見許多人上了山
[00:00:20.080 --> 00:00:23.040]  寄以坐下
[00:00:23.040 --> 00:00:25.040]  門徒到他跟前
[00:00:25.040 --> 00:00:28.080]  他就開口教訓他們說
[00:00:28.640 --> 00:00:30.880]  虛心的人有福了
[00:00:30.880 --> 00:00:33.760]  因為天國是他們的
[00:00:33.760 --> 00:00:36.480]  哀動的人有福了
[00:00:36.480 --> 00:00:39.360]  因為他們必得安慰
[00:00:39.360 --> 00:00:41.920]  溫柔的人有福了
[00:00:41.920 --> 00:00:45.120]  因為他們必承受地土
[00:00:45.120 --> 00:00:48.800]  饑渴無意的人有福了
[00:00:48.800 --> 00:00:51.520]  因為他們必得飽足
[00:00:51.520 --> 00:00:55.120]  連戌人的人有福了
[00:00:55.120 --> 00:00:58.080]  因為他們必蒙連戌
[00:00:58.080 --> 00:01:00.640]  清心的人有福了
[00:01:00.640 --> 00:01:03.520]  因為他們必得見神
[00:01:03.520 --> 00:01:06.560]  使人和睦的人有福了
[00:01:06.560 --> 00:01:09.920]  因為他們必稱為神的兒子
[00:01:09.920 --> 00:01:13.920]  為易受逼迫的人有福了
[00:01:13.920 --> 00:01:17.920]  因為天國是他們的
[00:01:17.920 --> 00:01:25.120]  今日仍然有幸福的宣講系列
[00:01:25.120 --> 00:01:29.920]  今日的講題是「幸福由溫柔開始」
[00:01:29.920 --> 00:01:32.400]  溫柔的人有福了
[00:01:32.400 --> 00:01:35.600]  因為他們必承受地土
[00:01:35.600 --> 00:01:40.640]  我們恭敬的請吳珍珍牧師來宣講
[00:01:40.640 --> 00:01:42.640]  我們聆聽上帝的話語
[00:01:53.920 --> 00:01:56.960]  今日「百福」來到第三講
[00:01:56.960 --> 00:01:58.960]  溫柔的人有福了
[00:01:58.960 --> 00:02:01.600]  因為他們必承受地土
[00:02:01.600 --> 00:02:06.480]  大家不要以為今天講溫柔
[00:02:06.480 --> 00:02:08.480]  是特意找我上來講
[00:02:08.480 --> 00:02:13.760]  因為很多人不會從我身上聯想到溫柔
[00:02:13.760 --> 00:02:16.000]  平時說話粗粗魯魯
[00:02:16.000 --> 00:02:19.200]  走路又大大咋咋
[00:02:19.200 --> 00:02:24.320]  不過我想說在我人生中
[00:02:24.320 --> 00:02:28.800]  和溫柔有幾年的時間是很接近的
[00:02:28.800 --> 00:02:31.120]  只有很近的距離
[00:02:31.120 --> 00:02:32.160]  是什麼呢?
[00:02:32.160 --> 00:02:33.920]  不知道大家有沒有聽過
[00:02:33.920 --> 00:02:38.880]  以下這一句話
[00:02:38.880 --> 00:02:44.480]  是關於幾間在廣州來的學校的學生
[00:02:44.480 --> 00:02:48.240]  就是「真光珠」「嶺南牛」「培正」「馬嬲頭」
[00:02:48.240 --> 00:02:50.240]  「培道女子」「溫柔柔」
[00:02:50.240 --> 00:02:53.120]  這裡有很多培正柔和馬嬲頭
[00:02:53.120 --> 00:02:57.280]  我不是培正柔,而是培道女子
[00:02:57.280 --> 00:03:01.840]  所以我和溫柔柔有很近的距離
[00:03:01.840 --> 00:03:05.600]  不過這純粹是題外話
[00:03:05.600 --> 00:03:09.680]  究竟我自己在培道中
[00:03:09.680 --> 00:03:14.480]  最感恩、得到最多的
[00:03:14.480 --> 00:03:18.960]  就是我在培道中學裡信了主
[00:03:18.960 --> 00:03:23.280]  在裡面,我真的學習從主的道裡
[00:03:23.280 --> 00:03:25.760]  學習如何做一個溫柔的人
[00:03:25.760 --> 00:03:28.480]  這是今天我們八福要說的題目
[00:03:28.480 --> 00:03:31.920]  「讓我們思一切祈禱」
[00:03:31.920 --> 00:03:34.080]  天父,我們感謝祢
[00:03:34.080 --> 00:03:38.400]  因為我們在祢的國度裡成為祢的子民
[00:03:38.400 --> 00:03:42.880]  我們可以有一個很超然的身份
[00:03:42.880 --> 00:03:46.080]  我們可以在祢裡面享受無限的福樂
[00:03:46.080 --> 00:03:47.840]  上帝大我求祢
[00:03:47.840 --> 00:03:50.320]  開我們的眼睛指教我們
[00:03:50.320 --> 00:03:52.320]  讓我們預備好我們的心
[00:03:52.320 --> 00:03:55.920]  去聽祢自己的教導和說話
[00:03:55.920 --> 00:03:57.440]  我們恭敬仰望交托
[00:03:57.440 --> 00:03:59.840]  奉主耶穌基督得勝,明治其球
[00:03:59.840 --> 00:04:01.840]  阿們
[00:04:01.840 --> 00:04:06.640]  在這個世代裡
[00:04:06.640 --> 00:04:10.400]  溫柔到底是怎樣的呢?
[00:04:10.400 --> 00:04:15.120]  溫柔是否有價值的呢?
[00:04:15.120 --> 00:04:16.880]  我很想和大家看一看
[00:04:16.880 --> 00:04:20.560]  1987年的一個運動廣告
[00:04:20.560 --> 00:04:23.440]  大家都看到這個廣告
[00:04:23.440 --> 00:04:27.200]  是一位籃球運動員
[00:04:27.200 --> 00:04:30.160]  他的名字叫查理斯·巴赫利
[00:04:30.160 --> 00:04:34.080]  他當年是NBA裡面一個好巨
[00:04:34.080 --> 00:04:40.800]  被公認為是一個好巨統治力的大前鋒之一
[00:04:40.800 --> 00:04:46.880]  然後這間運動公司就邀請他拍一個廣告
[00:04:46.880 --> 00:04:49.280]  我被這個廣告的題目
[00:04:49.280 --> 00:04:53.920]  這個標語深深地吸引了我的眼睛
[00:04:53.920 --> 00:04:56.480]  這個廣告的標語是什麼呢?
[00:04:56.480 --> 00:05:00.640]  The meek may inherit the earth
