
[00:00:00.000 --> 00:00:04.000]  願以我們以聆聽聖徒繼續我們的敬拜
[00:00:04.000 --> 00:00:07.400]  今日我們經訓有選了一段經文
[00:00:07.400 --> 00:00:09.000]  是在《舊約聖經》
[00:00:09.000 --> 00:00:12.000]  《舊約聖經》的詩篇第十三篇
[00:00:12.000 --> 00:00:14.500]  是一首由大衛作的詩
[00:00:14.500 --> 00:00:18.000]  交予當時的領長作為歌頌神
[00:00:18.000 --> 00:00:22.000]  詩篇第十三篇 請聽我讀出
[00:00:22.000 --> 00:00:27.000]  耶和華啊 你忘記我要到幾時呢
[00:00:27.000 --> 00:00:29.000]  要到永遠嗎
[00:00:29.000 --> 00:00:33.000]  你掩面不顧我 要到幾時呢
[00:00:33.000 --> 00:00:39.000]  我心裡愁酸 終日受苦 要到幾時呢
[00:00:39.000 --> 00:00:44.000]  我的仇敵 升高壓制我 要到幾時呢
[00:00:44.000 --> 00:00:50.000]  耶和華 我的神啊 求祢看顧我 應運我
[00:00:50.000 --> 00:00:55.000]  使我眼目光明 免得我沉睡至死
[00:00:55.000 --> 00:00:59.000]  免得我的仇敵說 我勝了他
[00:00:59.000 --> 00:01:04.000]  免得我的敵人在我搖動的時候起落
[00:01:04.000 --> 00:01:07.000]  但我倚靠祢的慈愛
[00:01:07.000 --> 00:01:11.000]  我的心因祢的救恩快樂
[00:01:11.000 --> 00:01:17.000]  我要向耶和華歌唱 因祂用厚恩待我
[00:01:24.000 --> 00:01:26.000]  弟兄姊妹平安
[00:01:26.000 --> 00:01:30.000]  感謝主我們今天一齊來到教會當中
[00:01:30.000 --> 00:01:32.000]  一齊來到敬拜上主
[00:01:32.000 --> 00:01:34.000]  剛才讀的一篇詩篇
[00:01:34.000 --> 00:01:37.000]  平時我們比較少讀的
[00:01:37.000 --> 00:01:39.000]  因為我們對於一些比較陽光
[00:01:39.000 --> 00:01:41.000]  比較亮麗的經文
[00:01:41.000 --> 00:01:44.000]  我們會容易吸引我們的注意
[00:01:44.000 --> 00:01:46.000]  如果剛才你認真去聽
[00:01:46.000 --> 00:01:48.000]  或者你去看的時候你會發覺
[00:01:48.000 --> 00:01:52.000]  在剛才的詩篇裡有一種陰沉在裡面
[00:01:52.000 --> 00:01:57.000]  雖然詩人最後都會有一種認順
[00:01:57.000 --> 00:02:00.000]  但在詩篇裡面特別呈現了
[00:02:00.000 --> 00:02:03.000]  詩人心裡面有一種哀愁
[00:02:03.000 --> 00:02:05.000]  有一種難以
[00:02:05.000 --> 00:02:08.000]  純粹用口說出來的那種沉鬱
[00:02:08.000 --> 00:02:11.000]  今天我們就用這段詩篇一齊思想
[00:02:11.000 --> 00:02:15.000]  今天這個系列裡面的第三個題目
[00:02:15.000 --> 00:02:18.000]  就是從聖經裡面看喜怒哀愁
[00:02:18.000 --> 00:02:20.000]  哀嘆中的仰望
[00:02:20.000 --> 00:02:23.000]  剛才讀的這篇詩篇
[00:02:23.000 --> 00:02:25.000]  可以在聖經歸類的文體裡
[00:02:25.000 --> 00:02:27.000]  我們叫做哀歌
[00:02:27.000 --> 00:02:29.000]  如果你有心
[00:02:29.000 --> 00:02:31.000]  或者仔細去看聖經
[00:02:31.000 --> 00:02:33.000]  其實在詩篇裡面
[00:02:33.000 --> 00:02:35.000]  有些學者粗略估計
[00:02:35.000 --> 00:02:38.000]  哀歌佔了詩篇裡面三分之一的篇幅
[00:02:38.000 --> 00:02:40.000]  大概在百五篇的詩篇裡面
[00:02:40.000 --> 00:02:42.000]  有五十篇
[00:02:42.000 --> 00:02:46.000]  是類似一種這樣的形態來表達的
[00:02:46.000 --> 00:02:48.000]  當然哀歌除了是在說
[00:02:48.000 --> 00:02:50.000]  詩人裡面的仇婦之外
[00:02:50.000 --> 00:02:52.000]  其實裡面也有一些出路
[00:02:52.000 --> 00:02:55.000]  我們感謝神給我們有哀歌
[00:02:55.000 --> 00:02:58.000]  人生裡總不會所有時間都是平順的
[00:02:58.000 --> 00:03:00.000]  在低潮的日子
[00:03:00.000 --> 00:03:02.000]  或者有時候在生命裡面
[00:03:02.000 --> 00:03:05.000]  有一些失落哀愁的日子裡面
[00:03:05.000 --> 00:03:07.000]  藉著這些哀歌
