
[00:00:00.000 --> 00:00:10.320]  主持人:今日的經訓記載在約翰福音第十二章二十至三十六節,請留意聖經的話語。
[00:00:10.320 --> 00:00:39.600]  那時,上內閣接禮拜的人中,有幾個希利利希臘人,他們來見加利利伯塞大的斐力,求他說:「先生,我們願意見耶穌。」斐力去告訴安德烈,安德烈和斐力去告訴耶穌,耶穌說:「人子得榮耀的時候到了,我實實在在的告訴你們,
[00:00:39.600 --> 00:01:02.240]  一粒墨紙不落在地上死了,仍舊是一粒,若是死了,就結出許多紙粒來。愛惜自己生命的,就失喪生命;在這世上,幸護自己生命的,就要保守生命到永生。若有人服侍我,就當跟從我。
[00:01:02.240 --> 00:01:22.880]  我在那裡,服侍我的人也要在那裡。若有人服侍我,我忽必尊重他。我現在心裡憂愁,我說什麼才好呢?父啊,救我脫離這時候,但我原是為這時候來的。
[00:01:22.880 --> 00:01:42.160]  父啊,願祢永耀祢的名。」當時就有聲音從天上來說:「我已經榮耀了我的名,還要再榮耀。」站在旁邊的眾人聽見就說:「打雷了。」還有人說:「有天使對他說話。」
[00:01:42.160 --> 00:02:00.000]  耶穌說:「這聲音不是為我,是為你們來的。現在這世界受審判,這世界的王要被趕出去。我若從地上被舉起來,就要吸引萬人來歸我。」
[00:02:00.000 --> 00:02:19.520]  耶穌這話原是指著自己將要怎樣死說的。眾人回答說:「我們聽見律法上有話說,基督是永存的。你怎麼說,人子必須被舉起來呢?這人子是誰呢?」
[00:02:19.520 --> 00:02:45.280]  耶穌對他們說:「光在你們中間,還有不多的時候。應當趁著有光行走,免得黑暗淋到你們。那在黑暗裡行走的,不知道往何處去。你們應當趁著有光,頌循這光,使你們成為光明之子。」
[00:02:45.280 --> 00:02:49.600]  聖經獨筆,請聆聽上帝的話言。
[00:03:15.280 --> 00:03:43.280]  第一,這些希臘人應該是猶太教徒來的,他們來到耶路撒冷的聖殿首逾節,不是猶太教徒,應該不會來過節的,也沒辦法進入聖殿的內院去參與各種的禮儀,當然有一些解經者就搞得複雜一點的,他說他們可能並未完全歸化猶太教的,只是對猶太教有好感的。
[00:03:43.280 --> 00:04:10.480]  我不會排除這些可能性,不過我很討厭這樣的討論,你們禮拜天上來六樓的會堂,假設有些人可能是迷路的,不小心迷路了進來,想著去摩門教堂就不小心坐進來,有這個可能性,但是我想你這樣做什麼?你們來到這裡,我就假設你們是來敬拜的,對不對?
[00:04:10.480 --> 00:04:18.480]  所以我就很討厭這些很複雜的迂迴曲折的解說,所以我相信這些希臘人應該是猶太教徒來的。
[00:04:18.480 --> 00:04:44.480]  聖經說他們是希臘人,但是不一定是指他們是來自希臘的,而是多數是指他們是講希臘話,所以他們可以是來自講希臘話的任何地方。有建議,由於21節很特別的提到他們找肥力,那個肥力是來自加里尼的白菜帶。
[00:04:44.480 --> 00:05:04.480]  這班希臘人先去找肥力,跟肥力拉關係,然後想去靠近耶穌,他們應該就可能,聖經特別提到白菜帶,可能他們應該是來自靠近白菜帶的一個希臘城市,例如底加玻利。
[00:05:04.480 --> 00:05:22.480]  當然這些都是猜測,沒有任何實質證據的,無論如何,耶路撒冷不是一個國際城市來的,真正的外國人很少的,往來這裡的多數都是猶太人,那些來自各地,每年幾次來首節的猶太人。
[00:05:22.480 --> 00:05:36.480]  他們各自操不同的方言,好像肖行尊第二章講,他們在外國定居了很多年,都不會講阿蘭話的了,所以他們講他們自己的方言。
