
[00:00:00.000 --> 00:00:10.000]  《創世紀》第28章十至二十二節
[00:00:10.000 --> 00:00:14.000]  陳明荃牧師為我們宣講信息
[00:00:14.000 --> 00:00:16.000]  《以石為記》
[00:00:16.000 --> 00:00:18.000]  《伯特利的錦首石》
[00:00:18.000 --> 00:00:31.000]  足夠法定人數
[00:00:31.000 --> 00:00:35.000]  請丙姐妹打開今日的經文
[00:00:35.000 --> 00:00:37.000]  記載在《創世紀》
[00:00:37.000 --> 00:00:45.000]  在我們唐用聖經第34頁
[00:00:45.000 --> 00:00:48.000]  聖經的第一卷書《創世紀》
[00:00:48.000 --> 00:00:52.000]  請聽我讀出
[00:00:53.000 --> 00:00:54.000]  第十節
[00:00:54.000 --> 00:01:23.000]  (主持人讀書)
[00:01:23.000 --> 00:01:52.000]  (主持人讀書)
[00:01:52.000 --> 00:02:14.000]  (主持人讀書)
[00:02:14.000 --> 00:02:33.000]  (主持人讀書)
[00:02:33.000 --> 00:02:49.000]  (主持人讀書)
[00:02:49.000 --> 00:03:00.000]  (主持人讀書)
[00:03:00.000 --> 00:03:19.000]  (主持人讀書)
[00:03:19.000 --> 00:03:20.000]  經文讀筆
[00:03:20.000 --> 00:03:31.000]  (主持人讀書)
[00:03:31.000 --> 00:03:33.000]  弟兄姊妹平安
[00:03:33.000 --> 00:03:35.000]  感謝主我們今天來到教會當中
[00:03:35.000 --> 00:03:38.000]  我們由今個月開始
[00:03:38.000 --> 00:03:40.000]  連續十次
[00:03:40.000 --> 00:03:43.000]  我們會開展一個新的講道系列
[00:03:43.000 --> 00:03:45.000]  《以石為記》
[00:03:45.000 --> 00:03:48.000]  這個主題是講什麼呢?
[00:03:48.000 --> 00:03:50.000]  我們想做一些新意思
[00:03:50.000 --> 00:03:52.000]  過往我們去講道
[00:03:52.000 --> 00:03:54.000]  都會就著一個神學主題
[00:03:54.000 --> 00:03:58.000]  或者有一個方向去組織
[00:03:58.000 --> 00:04:01.000]  或者有一個書卷去講道
[00:04:01.000 --> 00:04:04.000]  今次這個系列我們有少許不同
[00:04:04.000 --> 00:04:06.000]  我們這個系列
