
[00:00:00.000 --> 00:00:10.000]  今日經訓記載於《哥林多後書》十二章十九至十三章四節
[00:00:10.000 --> 00:00:17.000]  在您手上的《聖經》新約二百五十五至二百五十六頁
[00:00:17.000 --> 00:00:23.000]  《哥林多後書》十二章十九節
[00:00:24.000 --> 00:00:30.000]  你們到如今還想我們是向你們分數
[00:00:30.000 --> 00:00:37.000]  我們本是在基督裡神面前說話
[00:00:37.000 --> 00:00:43.000]  親愛的弟兄啊!一切的事都是為你為造就你們
[00:00:43.000 --> 00:00:50.000]  我相信我來的時候是你們不合我所想望的
[00:00:50.000 --> 00:00:54.000]  你們見我也不合你們所想望的
[00:00:54.000 --> 00:01:05.000]  又怕有紛爭、嫉妒、擾亂、結黨、毀謗、殘嚴、狂傲混亂的事
[00:01:05.000 --> 00:01:11.000]  且怕我來的時候我的神叫我在你們面前談鬼
[00:01:11.000 --> 00:01:20.000]  又因許多人從前犯罪、行污穢、奸淫、邪道的事不肯悔改
[00:01:20.000 --> 00:01:22.000]  我就憂愁
[00:01:22.000 --> 00:01:24.000]  十三章一節
[00:01:24.000 --> 00:01:29.000]  這是我第三次要到你們那裡去
[00:01:29.000 --> 00:01:32.000]  憑兩三個人的口作見證
[00:01:32.000 --> 00:01:35.000]  句句都要定準
[00:01:35.000 --> 00:01:37.000]  我從前說過
[00:01:37.000 --> 00:01:41.000]  如今不在你們那裡遊說
[00:01:41.000 --> 00:01:46.000]  正如我第二次見你們的時候所說的一樣
[00:01:46.000 --> 00:01:52.000]  就是對那犯了罪的和其餘的人說
[00:01:52.000 --> 00:01:55.000]  我若在內必不寬容
[00:01:55.000 --> 00:02:01.000]  你們既然尋求基督在我裡面說話的憑據
[00:02:01.000 --> 00:02:03.000]  我必不寬容
[00:02:03.000 --> 00:02:08.000]  因為基督在你們身上不是軟弱的
[00:02:08.000 --> 00:02:11.000]  在你們裡面是有大能的
[00:02:11.000 --> 00:02:15.000]  他因軟弱被釘在十字架上
[00:02:15.000 --> 00:02:19.000]  卻因神的大能仍然活著
[00:02:19.000 --> 00:02:23.000]  我們也是這樣同他軟弱
[00:02:23.000 --> 00:02:29.000]  但因神向你們所顯的大能也必與他同活
[00:02:29.000 --> 00:02:41.000]  (十三章一節)
[00:02:41.000 --> 00:02:44.000]  各位姐妹連續兩個星期都是我
[00:02:44.000 --> 00:02:45.000]  請大家原諒
[00:02:45.000 --> 00:02:48.000]  繼續說聖誕快樂
[00:02:48.000 --> 00:02:50.000]  雖然今天是boxing day
[00:02:50.000 --> 00:02:52.000]  但對我們來說
[00:02:52.000 --> 00:02:55.000]  其實每天都是慶祝耶穌基督誕生的日子
[00:02:55.000 --> 00:02:59.000]  上星期的講到哪裡
[00:02:59.000 --> 00:03:03.000]  都收到一些弟兄姐妹的反應和回響問題
[00:03:03.000 --> 00:03:05.000]  今天先做一點Q&A
[00:03:05.000 --> 00:03:08.000]  兩個很有意思的問題
[00:03:08.000 --> 00:03:10.000]  值得簡單認一認
[00:03:10.000 --> 00:03:12.000]  第一個問題
[00:03:12.000 --> 00:03:14.000]  有弟兄問我
[00:03:14.000 --> 00:03:18.000]  上次我說到宗教或者基督教
[00:03:18.000 --> 00:03:20.000]  特別是聖誕節
[00:03:20.000 --> 00:03:23.000]  在非宗教世界就被商業化
[00:03:23.000 --> 00:03:25.000]  在基督教世界就被宗教化
[00:03:25.000 --> 00:03:27.000]  他問不知道宗教化是什麼意思
[00:03:27.000 --> 00:03:29.000]  宗教化是什麼問題
[00:03:29.000 --> 00:03:31.000]  宗教化簡單說
