
[00:00:00.000 --> 00:00:08.000]  今日的經訓是記載在新約《雅各書》五章一至六節
[00:00:08.000 --> 00:00:15.000]  在你們手上的聖經是在三百二十四節與三百二十五頁
[00:00:15.000 --> 00:00:18.000]  上帝的話語這樣說
[00:00:18.000 --> 00:00:25.000]  你們這些富足人啊 應當哭泣、豪圖
[00:00:25.000 --> 00:00:29.000]  因為將有苦難臨到你們身上
[00:00:29.000 --> 00:00:35.000]  你們的財物壞了 衣服也被從子咬了
[00:00:35.000 --> 00:00:38.000]  你們的金銀都長了瘦
[00:00:38.000 --> 00:00:41.000]  那瘦要證明你們的不是
[00:00:41.000 --> 00:00:46.000]  又要吃你們的肉 兒童火燒
[00:00:46.000 --> 00:00:51.000]  你們在這末世只知積攢錢財
[00:00:51.000 --> 00:00:54.000]  工人給你們收割莊稼
[00:00:54.000 --> 00:00:57.000]  你們虧欠他們的工錢
[00:00:57.000 --> 00:01:00.000]  這工錢有聲音呼叫
[00:01:00.000 --> 00:01:04.000]  並且那收割之人的怨聲
[00:01:04.000 --> 00:01:08.000]  已經入了萬軍之主的耳了
[00:01:08.000 --> 00:01:13.000]  你們在世上享美福 豪而樂
[00:01:13.000 --> 00:01:18.000]  當宰割的日子竟驕讓你們的心
[00:01:18.000 --> 00:01:22.000]  你們定了二人的罪 把他殺害
[00:01:22.000 --> 00:01:25.000]  他也不抵擋你們
[00:01:25.000 --> 00:01:27.000]  謝謝各位評判
[00:01:27.000 --> 00:01:29.000]  (字幕:陳志全)
[00:01:29.000 --> 00:01:31.000]  (字幕:陳志全)
[00:01:31.000 --> 00:01:33.000]  (字幕:陳志全)
[00:01:33.000 --> 00:01:35.000]  (字幕:陳志全)
[00:01:36.000 --> 00:01:38.000]  謝謝各位評判
[00:01:38.000 --> 00:01:40.000]  (字幕:陳志全)
[00:01:40.000 --> 00:01:44.000]  很快亞國書的系列只剩下兩講
[00:01:44.000 --> 00:01:48.000]  連同今次 下星期明珠牧師會講最後一講
