
[00:00:00.000 --> 00:00:11.000]  今日要讀的聖經是新命紀第十六章一至四節和九至十七節
[00:00:11.000 --> 00:00:20.000]  在聖經舊約第二百三十四至二百三十五頁
[00:00:20.000 --> 00:00:24.000]  這裡記錄了以色列人三個節日
[00:00:24.000 --> 00:00:31.000]  如月節、七七收穫節和駐彭節他們所遵守的一些條例
[00:00:31.000 --> 00:00:35.000]  請聽聖經的記載
[00:00:35.000 --> 00:00:38.000]  新命紀十六章第一節
[00:00:38.000 --> 00:00:46.000]  你要注意亞畢月向耶和華你的神守如月節
[00:00:46.000 --> 00:00:54.000]  因為耶和華你的神在亞畢月夜間領你出埃及
[00:00:54.000 --> 00:01:00.000]  你當在耶和華所選擇要納為他命的居所
[00:01:00.000 --> 00:01:09.000]  從牛群羊群中將如月節的祭生獻給耶和華你的神
[00:01:09.000 --> 00:01:15.000]  你吃這祭生不可吃有教的餅
[00:01:15.000 --> 00:01:21.000]  七日之內要吃無教餅就是困苦餅
[00:01:21.000 --> 00:01:24.000]  你本是急忙出了埃及地
[00:01:24.000 --> 00:01:31.000]  要叫你一生一世紀念你從埃及地出來的日子
[00:01:31.000 --> 00:01:37.000]  在你四境之內七日不可見面教
[00:01:37.000 --> 00:01:45.000]  頭一日晚上所獻的肉一點不可留到早晨
[00:01:45.000 --> 00:01:47.000]  第九節
[00:01:47.000 --> 00:01:55.000]  你要計算七七日從你開廉收穫和嫁時算起
[00:01:55.000 --> 00:01:57.000]  共計七七日
[00:01:57.000 --> 00:02:02.000]  你要照耶和華你神所賜你的福
[00:02:02.000 --> 00:02:09.000]  守女拿著金心祭獻在耶和華你的神面前
[00:02:09.000 --> 00:02:11.000]  守七七節
[00:02:11.000 --> 00:02:18.000]  你和你兒女瀑被並住在你城裡的利美人
[00:02:18.000 --> 00:02:24.000]  以及在你們中間寄居的如孤兒寡婦
[00:02:24.000 --> 00:02:31.000]  都要在耶和華你神所選擇納為他命的居所
[00:02:31.000 --> 00:02:35.000]  在耶和華你的神面前歡樂
[00:02:35.000 --> 00:02:40.000]  你也要紀念你在埃及作過奴僕
[00:02:40.000 --> 00:02:45.000]  你要謹守遵行這些律例
[00:02:45.000 --> 00:02:51.000]  你把和祥的菊酒榨的酒收藏以後
[00:02:51.000 --> 00:02:55.000]  就要守住彭節七日
[00:02:55.000 --> 00:02:57.000]  守節的時候
[00:02:57.000 --> 00:03:03.000]  你和你兒女瀑被並住在你城裡的利美人
[00:03:03.000 --> 00:03:09.000]  以及寄居的孤兒寡婦都要歡樂
